str_yes|Oui.
; str_retirement_text_9|As a reward for your competent and loyal service, your liege lord decrees that you be given a hereditary title, joining the major nobility of the realm. Soon you complete your investiture as lord of {s7}, and you become one of your liege's close advisors and adjutants. Your renown garners you much subtle pull and influence as well as overt political power. Now you spend your days playing the games of power, administering your great fiefs, and recounting the old times of adventure and glory.
; str_retirement_text_10|Though you started from humble beginnings, your liege lord holds you in high esteem, and a ripple of shock passes through the realm when he names you to the hereditary title of {reg59?ducessa:dux} of {s9}. Vast fiefs and fortunes are now yours to rule. You quickly become your liege's most trusted advisor, almost his equal. You are charged with much of the running of his realm, and you sit upon a throne in your own splendourous palace as one of the most powerful figures in Britannia and Hibernia.
; str_loot_village|attack innocent people
; str_steal_from_villagers|steal from poor people
str_rob_caravan|dévaliser une caravane marchande
str_sell_slavery|vendre des personnes comme esclaves
str_men_hungry|que nos hommes manquent de nourriture
str_men_unpaid|que nos hommes ne reçoivent pas leur solde
str_excessive_casualties|que chaque bataille se transforme en bain de sang pour nos hommes
str_surrender|se rendre
str_flee_battle|fuir le combat
str_pay_bandits|payer quoi que ce soit à des bandits
; str_fail_quest|fail a quest that we undertook on word of honour
; str_treason_one|honour
; str_missed_npc|fail.
str_squander_money|dilapider l'argent que l'on nous a confié
str_murder_merchant|nous impliquer dans un assassinat
str_round_up_serfs|rassembler des serfs pour le compte d'un noble
str_battle_fate_1|Nous avons été séparés dans le feu de l'action
str_battle_fate_2|J'ai été blessé puis laissé pour mort
str_battle_fate_3|J'ai été assommé par l'ennemi
str_battle_fate_4|J'ai été capturé et rançonné
str_battle_fate_5|J'ai été capturé mais j'ai finalement réussi à m'enfuir
; str_npc_morale_report|I'm {s6} your choice of companions, {s7} your style of leadership, and {s8} the general state of affairs.
; str_happy|happy with
str_content|content de
str_concerned|concerné par
; str_not_happy|not at all happy with
str_miserable|franchement consterné par
str_morale_reg1| Moral : {reg1}
str_bar_enthusiastic|                   Enthousiaste
str_bar_content|              Satisfait
str_bar_weary|          Las
str_bar_disgruntled|     Maussade
str_bar_miserable|  Malheureux
str_here_plus_space|ici 
; str_npc1_intro|Salve, Warlord. My name is Caio. My father sent me.
; str_npc2_intro|Heill! My name is Egil.
; str_npc3_intro|{reg59?Who sent you? I'll never go back!:Do not come close to me. I am tired of being abused by every person that crosses my path!}
str_npc4_intro|Oui ?
; str_npc5_intro|Hello, traveler. Would you join me for a drink?
; str_npc6_intro|I have things to tell you. Listen carefully.
str_npc7_intro|Qu'il y a-t-il ? Gardez vos distances.
str_npc8_intro|Que voulez-vous ?
; str_npc9_intro|You there, good {reg59?woman:man}. Be so kind as to fetch me another drink, eh?
; str_npc10_intro|God thee mid sie, {reg59?madame:sir}! Here's to the doom and downfall of all Welsh!
; str_npc11_intro|Heill, {reg59?my pretty:handsome}. I've been watching you a while.
; str_npc12_intro|Heill, {reg59?madame:sir}. Nice to meet you.
; str_npc13_intro|Yes? What do you need?
; str_npc14_intro|Hail, traveller. I am Ailchu, a Gael warrior. No doubt you've heard of me.
; str_npc15_intro|Yeia sou! Yeia sou! To your health, {reg59?madame:sir}. My name is Agathinos. Are you by any chance heading out of this place any time soon?
; str_npc16_intro|Ah... you... I...
; str_npc1_intro_response_1|Yes, I know. Tell me about yourself.
; str_npc2_intro_response_1|Speak, Egil.
; str_npc3_intro_response_1|Calm down. I intend you no harm. Why are you so afraid?
; str_npc4_intro_response_1|You're not very talkative, are you?
str_npc5_intro_response_1|Certainement, avec qui ai-je le plaisir de boire ?
; str_npc6_intro_response_1|Continue, friend.
str_npc7_intro_response_1|Mes excuses. Je me disais simplement que ce n'est pas votre jour de chance.
; str_npc8_intro_response_1|Merely to pass the time of day, foreigner, if you're not otherwise engaged.
; str_npc9_intro_response_1|You must have me confused with another person, sir.
; str_npc10_intro_response_1|Why do you say that, man?
; str_npc11_intro_response_1|Who are you, and why are you watching me?
; str_npc12_intro_response_1|So nice to meet you.
; str_npc13_intro_response_1|To pass the time of day with a fellow traveler, if you permit.
str_npc14_intro_response_1|Hum, je ne pense pas.
; str_npc15_intro_response_1|I am. What concern is it of yours, may I ask?
; str_npc16_intro_response_1|Are you tongue-tied?
; str_npc1_intro_response_2|Yes, I know that he wants you to join me, but I do not need you. Farewell.
str_npc2_intro_response_2|J'ai mieux à faire.
; str_npc3_intro_response_2|Run along now, girl. I have real work to do -- not whatever it is you fear I'll do.
str_npc4_intro_response_2|Non.
str_npc5_intro_response_2|Je n'ai pas de temps à perdre.
str_npc6_intro_response_2|J'ai mieux à faire.
str_npc7_intro_response_2|Soit, je ne vous ennuierai plus alors.
str_npc8_intro_response_2|Absolument rien, vous m'avez fait passer l'envie de vous parler, bonne journée à vous.
str_npc9_intro_response_2|Allez le chercher vous-même !
