qstr_Breaking_camp...|Lager wird abgebrochen ...
; qstr__Possible_Rebellion__|(Possible Rebellion) Rumors say that {s14} is stockpiling weapons and is seeking support among the Franks.
; qstr__Possible_Rebellion__R|(Possible Rebellion) Rumors say that {s14} meets in secret with his faithful.
; qstr__Possible_Rebellion__Ru|(Possible Rebellion) Rumors say that people favor the restoration of {s14}.
; qstr__Possible_Rebellion__Rum|(Possible Rebellion) Rumors say that {s14} is gathering an army to regain his throne.
; qstr__Possible_Rebellion__Rumo|(Possible Rebellion) Rumors say that {s14} is stockpiling weapons.
qstr__| 
; qstr_Congratulations!_You|Congratulations! You've managed to imprison seven or more lords at {s13}. You really are a true dungeon master.
; qstr_Dungeon_master_Achie|Dungeon master Achievement
; qstr_Congratulations!_You_|Congratulations! You've managed to make five or more women your lovers. Ladies must be heads over heels for you, so certainly you must feel proud to be in such a demand. Keep up the good work!
; qstr_Skirt_Chaser_Achieve|Skirt Chaser Achievement
qstr_Congratulations!_You_v|Herzliche Glückwünsche! Ihr habt es geschafft, 25 oder mehr Fässer Wein in Ihrem Haushalt zu lagern. Eine große Leistung, wenn man bedenkt, dass Sie in der Teil der Welt bekannt für Met und Bier sind. Entweder haben Sie ein Trinkproblem, oder Sie sind ein echter Weinkenner.
; qstr_Wine_Connoisseur_Ach|Wine Connoisseur Achievement
; qstr_{s33}_revokes_your_r|{s33} revokes your right to recruit in {s34} due to bad relations between you two.
; qstr_The_village_leader_o|The village leader of {s34} revokes your right to recruit due to bad relations between you and his village.
; qstr_fixing_banners;_plea|fixing banners; please reset your banner
; qstr_unable_to_restore_ba|unable to restore banner {reg0} assigned to troop {reg1}
; qstr_Prisoners_revolted!_|Prisoners revolted! near {s33}
; qstr_Your_gift_sent_to_{s|Your gift sent to {s13} appeared to improve your relations with him.
; qstr_Gift_Sent_to_Lord|Gift Sent to Lord
qstr_Tutorial|Tutorial
; qstr_Recruiting_warriors|Recruiting warriors
; qstr_Your_troops_feel_ref|Your troops feel refreshed from the night's rest.
; qstr_Your_men_need_rest_o|Your men need rest or their morale will suffer.
; qstr_Foragers|Foragers
qstr_Scouts|Kundschafter
qstr_Morale|Moral
; qstr_Each_day_of_the_sieg|Each day of the siege, you need to cover a number of expenses. You pay for rewards, digging latrines, cleaning stables, buying and bringing water and food, cooking, entertaining the troops...
; qstr_You_do_not_have_mone|You do not have money to cover the basic expenses of a siege. This greatly undermines morale.
qstr_{reg65?my_Lady:my_Lo|{reg65?Meine Fürstin:Mein Fürst}
qstr_{reg65?My_Lady:My_Lo|{reg65?Meine Fürstin:Mein Fürst}
qstr_{reg65?madame:sir}|{reg65?Meine Dame:Mein Herr}
qstr_{reg65?Madame:Sir}|{reg65?Meine Dame:Mein Herr}
qstr_Dog|Hund
; qstr_Welcome_landlubber._|Welcome, landlubber. I am the shipwright here.
; qstr_Welcome_{reg59?lady:|Welcome, {reg59?lady:lord} {playername}.
; qstr_Welcome_{reg59?madam|Welcome, {reg59?madame:sir}.
; qstr_Welcome.|Welcome.
; qstr_Your_ship_is_in_a_ba|Your ship is in a bad condition. You should consider repairing it here in my shipyard.
; qstr_The_{s7}_is_the_most|The {s7} is the most glorious ship I have ever seen. It is a great honour, my {reg59?lady:lord}, to have her here in our port.
; qstr_Your_ship_is_of_poor|Your ship is of poor quality. You may want to consider buying a better ship from me.
; qstr_That_s_a_decent_ship|That's a decent ship you have there.
; qstr_Your_ship_the_{s7}_i|Your ship, the {s7}, is marvellous. My workers could apply some fresh varnish and paint if you like.
; qstr_The_{s7}_is_a_wonder|The {s7} is a wonderful ship. I'm happy to see her in my port.
qstr_{s2}_{s3}|{s2} {s3}
; qstr_You_are_already_in_{|You are already in {s1}.
; qstr__and_your_troops| and your troops
; qstr_There_is_a_ship_that|There is a ship that can bring you{s3} to the port of {s1} for {reg1} peningas.
qstr_I_changed_my_mind.|Ich habe meine Meinung geändert.
qstr_For_a_ship_of_this_s|Für ein Schiff dieser Größe habe ich nicht genug Holz, Teer und Wolle. Deshalb brauche ich Euch, um mir diese zusätzlichen Gegenstände zu bringen. 
; qstr___He_indicates_the_f|--He indicates the far side of the bay with his arm.--
; qstr_Now_you_must_join_th|Now you must join the fleet led by Sven Bull Neck and Harald Haraldsson, which soon leaves Ribe for Englaland. Your destiny once again leads you to other lands.
; qstr___His_eyes_shine.__|--His eyes shine.--
; qstr_The_port_master_of_R|The port master of Ribe gave you the location of Sven's hideout: southeast of {s3}. Go there to rescue the Woden Ric prisoners.
; qstr___He_approaches_you_|--He approaches you until you can smell the cheap beer on his breath.--
; qstr___He_looks_with_a_pe|--He looks with a perverse look.--
; qstr_The_port_master_of_Ri|The port master of Ribe wants a book called 'The Cathach of Colum Cille,' which is in Gleann Da Loch, a monastery near {s3}, in Eriu, Hibernia.
; qstr_The_port_master_from|The port master from Ribe gave you the location of Sven's hideout: southeast of {s3}. Go there to rescue the Woden Ric prisoners.
; qstr___He_gives_you_a_str|--He gives you a strange look.--
; qstr_The_port_master_of_{|The port master of {s4} wants you to deliver a pack of furs to {s3} in Eriu, to the local merchant, called Hogni.
; qstr_The_port_master_from_|The port master from {s4} gave you the location of Odin's cave: near {s3}. Go there to recover Bodo's letter.
; qstr_The_port_master_from_R|The port master from Ribe gave you the location of Odin's cave: near {s3}. Go there to recover Bodo's letter.
; qstr_Embark_on_your_boat_|Embark on your boat, join the fleet, and lead it to Douar-an-Enez.
; qstr_Perhaps_there_is_a_l|Perhaps there is a little time left until the end of the world. (Phlegmatic)
; qstr_You_re_right!_The_co|You're right! The coming of the Vikings shows that it's truly the End! (Melancholic)
; qstr_The_Bible_also_says_|The Bible also says that a king will unite all the earth. I am that king. (Choleric)
; qstr_A_change_in_the_worl|A change in the world just makes more opportunity for the bold, that's all. (Sanguine)
; qstr_I_appreciate_your_re|I appreciate your reassuring words, but I'm afraid that the end of the world has already been set, and nothing that we do or say will alter it. All we can do is wait and fight until the armies of God come.
; qstr_Exactly!_West_Seaxe_|Exactly! West Seaxe is the last bastion of the faithful, but it will succumb to the hordes despite all its efforts. We're all going to die! Leave me alone, I do not want to talk any more.
; qstr_Your_self_confidence|Your self-confidence comforts me, but I must inform you that the king will be defeated by the army of evil. Only the arrival of the army of God will save the world. However, if you ever become the king, it will be a pleasure to fight and die beside you.
; qstr_I_m_surprised_that_y|I'm surprised that you can see any benefit in the misfortunes of others. You're definitely more ruthless than I had thought.
; qstr_You_need_to_rid_your|You need to rid yourself of arrogance. (Phlegmatic)
qstr_I_am_always_willing_|Ich bin immer bereit zu lernen. Vielen Dank, Egil. (Melancholisch)
; qstr_I_think_it_s_clear_t|I think it's clear that Fate is more favorable to me than to you. (Choleric)
; qstr_Silence!_You_shall_n|Silence! You shall not disrespect my authority! (Sanguine)
; qstr_Yes_I_pretended_to_b|Yes, I pretended to be modest. Well, it's something that comes naturally to me, but arrogance is good for a leader. You should learn to be a bit arrogant when needed -- that is part of my advice -- and men should see your confidence. Your orders must be sharp, and anyone who does not follow them has to be punished. This is what I value in a leader, and I'm glad you listened. But enough talking.
; qstr_I_understand._Someon|I understand. Someone like you does not have my experience and my knowledge. It is important that you try to learn from me, {playername}. Try to be like me, someone whom people admire and respect. I would also suggest that you be the first into battle, setting an example for your men, and share silver with your men without greed. Those are my tips. Now I have things to do.
; qstr_Your_men_see_the_way|Your men see the way Egil treats you, and you lose authority.
; qstr_And_people_say_that_|And people say that I'm arrogant! But what can I say? Well, I like it. That's what I value most in a leader: his ability to demonstrate self-confidence and to convince others with his charisma. You're right. I have nothing to teach you.
; qstr_I_only_pretended_to_|I only pretended to give advice, but it is clear you do not wish to listen. Well, you gave an order, demonstrating your authority, but that doesn't mean you're a good leader. I'll comply, shut up and return to my chores.
; qstr_I_am_just_a_poor_far|I am just a poor farmer here. Talk to the farmstead reeve over there.
; qstr_I_just_work_the_fiel|I just work the fields here. Talk to the farmstead reeve over there.
; qstr_Stranger_go_talk_to_|Stranger, go talk to the farmstead reeve over there if you want to do business here.
qstr__Relation:_{reg0}| Beziehung: {reg0}
; qstr_{s12}I_want_to_plund|{s12}I want to plunder and retain {s1} for myself. {s2}
qstr__no_fiefs_|(keine Lehen)
qstr__fiefs:_{s0}_|(Lehen: {s0})
; qstr___The_child_looks_at|--The child looks at you with funny eyes and laughs.--
qstr_My_mother_told_me_no|Meine Mutter sagte mir, ich solle nicht mit Fremden reden. Tschüs!!
; qstr_Running_is_fun!_I_ca|Running is fun! I can run faster than you can! Do you want to race me?
; qstr_We_are_landless_poor|We are landless, poor and persecuted. Life has led us to this, {reg59?girlie:mate}. No sudden moves or we'll run you through.
qstr_Luckily_for_you_you_|Ihr habt Glück, ich habe gute Laune. Gib uns all Eurer Geld, und wir lassen Euch vielleicht leben.
qstr_This_a_robbery_eh?_I|Das ist ein Überfall, verstanden? Ich geb Euch eine Chance, mir alles zu geben, was Ihr habt, oder ich und meine Kumpels bringen Euch um die Ecke. Kapiert?
qstr_big|Groß
qstr_medium_sized|mittelgroß
qstr_small|Klein
qstr_don_t_|nicht
; qstr_Note_4:_{s9}_has_sen|Note 4: {s9} has sent men to kill you. They ambushed you by the river, and although you have survived their attack, you sleep less calmly now.
qstr___A_large_group_of_S|--Eine große Gruppe von Sachsen steht im Weg. Ihr Anführer tritt vor und hebt eine Hand.--
qstr_we_have_made_very_li|wir haben bis jetzt sehr wenige Fortschritte gemacht
; qstr_we_have_succeeded_in|we have succeeded in gaining some ground, but we still have a long way to go
qstr_we_have_become_a_sig|wir sind eine beachtliche Truppe geworden und haben eine echte Siegchance
qstr_we_are_winning_the_w|wir gewinnen den Krieg, aber unsere Feinde sind noch starrsinnig.
qstr_we_are_on_the_verge_|wir haben den Sieg so gut wie in der Tasche. Die verbleibenden Feinde stellen keine Bedrohung dar, aber wir müssen sie trotzdem schnappen.
qstr_Warlord|Warlord
; qstr_Note_5:_You_fell_in_|Note 5: You fell in love with Morrigan.
qstr_{s21}_seems_happy._{|{S21} scheint glücklich zu sein. {S21} sieht zufrieden aus.
qstr___She_smiles.__|--Sie lächelt.--
; qstr___He_mutters_somethi|--He mutters something under his breath as if talking to someone unseen.--
qstr___He_seems_very_nerv|--Er scheint sehr nervös und ängstlich zu sein.--
; qstr_Please_calm_down._I_|Please calm down. I am not your enemy. Take a deep breath and tell me about my mother. (Phlegmatic)
; qstr_You_re_making_me_wor|You're making me worried... very worried... Please calm down and tell me about my mother. (Melancholic)
; qstr_Relax!_You_re_talkin|Relax! You're talking to a friend, and I can protect you from whoever would hurt you. (Choleric)
qstr_Calm_down_and_tell_m|Beruhige Euch und erzähl mir von meiner Mutter! Ansonsten schwöre ich Euch, wird Eure Leiche mit die Antworten geben. (Sanguine)
; qstr_Thank_you_for_being_|Thank you for being so understanding. I've had a hard day today. I'm better now. Listen, I have important things to say.
; qstr_Please_please_do_not|Please, please, do not be anxious! When Sven was anxious, he cut off the fingers of those who bothered him. Look, I'm better, and I'll tell you important things.
; qstr_Oh_well_yes_I_trust_|Oh, well, yes, I trust you. She told me to trust you. I'm going to tell you everything.
; qstr_Oh_my_god..._Do_not_|Oh my god... Do not kill me! Do not kill me! I'm very quiet. I'll kiss the ground you walk on. I will be your servant, even your slave. I'll tell you everything I know.
; qstr___He_seems_calmer.__|--He seems calmer.--
; qstr_In_Boar_Grove_you_fo|In Boar Grove, you found a priest named Beda who had been a slave of your mother. He was freed so that he could find you and remind you about your mother's love. You finally managed to get news about your mother. You are now one step closer to finding her.^^Finally, you are ready to sail to Douar-an-Enez. Talk to the old captain at the port. He is always near ships.
qstr___He_smiles.__|--Er lächelt.--
qstr___He_closes_his_eyes|--Er schließt für einige Sekunden seine Augen, als suche er nach den richtigen Worten.--
qstr___He_takes_a_deep_br|--Er atmet tief ein und antwortet langsam, ruhig.--
; qstr_Asbjorn_has_joined_y|Asbjorn has joined your party to make sure you join the fleet. Besides that, he has offered to accompany your band and serve as a physician. Now it is time to get the port master of {s3} to take you to the Viking fleet departing for Englaland.
; qstr___Bodo_seems_excited|--Bodo seems excited.--
qstr___He_smiles_at_you._|--Er lächelt Euch an.--
; qstr___He_takes_the_lette|--He takes the letter from your hands.--
; qstr___He_looks_up_from_t|--He looks up from the page and turns to you.--
; qstr_Bodo_s_letter_has_fa|Bodo's letter has fallen into your hands, and you have decided that you'll figure out what to do with it once you're done with the Assembly and current problems. For now, you will tell {s9} that the letter was burned in the attack on Odin's cave, to assure him that {s11} cannot use it against him.
; qstr_Brunhild_thinks_that|Brunhild thinks that you are a weak leader.
; qstr_Reginhard_thinks_tha|Reginhard thinks that you are a weak leader.
; qstr_Bodo_thinks_that_you|Bodo thinks that you are a weak leader.
; qstr_Brunhild_has_advised|Brunhild has advised that you go first to an enemy of {s9}, {s11}, for support before you place yourself in the hands of the son of Ragnar.
; qstr_I_m_not_sure_I_want_|I'm not sure I want to hear what you are going to say. (Phlegmatic)
; qstr_You_are_worrying_me_|You are worrying me, Bodo. What do you have to say? Out with it already! (Melancholic)
; qstr_I_m_very_calm..._Tru|I'm very calm... Trust me, you wouldn't like to see me nervous. I have little patience. Speak, or I'll beat you up. (Choleric)
; qstr_Whatever_you_have_to|Whatever you have to say, say it. I prepared myself for this moment a long time ago. (Sanguine)
; qstr_I_understand_my_frie|I understand, my friend, but you must know... everything.
; qstr_Stay_calm_please._I_|Stay calm, please. I'll tell you everything.
; qstr_No_need_to_be_aggres|No need to be aggressive. You know my loyalty to my friends is unquestionable. Now, open your ears.
; qstr_I_admire_your_strong|I admire your strong blood. I'll tell you everything.
; qstr___He_puts_his_hand_o|--He puts his hand on your shoulder and smiles sadly.--
; qstr___He_sighs_impatient|--He sighs impatiently.--
; qstr___He_steps_back_take|--He steps back, takes a deep breath, and looks you in the eyes.--
; qstr_Sven_wanted_you_but_|Sven wanted you, but how did he know where to find you? Who betrayed us? (Wisdom)
; qstr_Your_redemption_and_|Your redemption and my goal are coincident. (Fortitude)
; qstr_I_understand_that_wh|I understand that what happened was caused by you, but it's not your fault. (Temperance)
; qstr_You_re_responsible_f|You're responsible for what happened. After Sven, you shall pay with your life. (Justice)
; qstr___He_sighs_with_anno|--He sighs with annoyance.--
; qstr___He_lowers_his_head|--He lowers his head, embarrassed. His hands fidget.--
; qstr___He_strains_his_fac|--He strains his face and stares at you without blinking.--
; qstr_Info:|Info:
; qstr_Regarding_that_matte|Regarding that matter, I thought that the Woden Ric was safe, but I was wrong. (Wisdom)
; qstr_Note_Bodo:_Bodo_feel|Note Bodo: Bodo feels indirectly responsible for the death of the people of the Woden Ric.
; qstr_So_our_paths_have_me|So our paths have met, my friend. I'll tell you the rest. Then we can work together against our mutual enemy. (Fortitude)
; qstr_Note_Bodo:_Bodo_felt|Note Bodo: Bodo felt indirectly responsible for the death of the people of the Woden Ric, but you forgave him.
; qstr_Thanks_for_your_trus|Thanks for your trust. I hope to be worthy of it. (Temperance)
; qstr_That_would_be_just._|That would be just. I'd pay for the damage caused. When Sven Bull Neck is dead, I will put my neck under your sword. (Justice)
; qstr_Note_Bodo:_Bodo_is_i|Note Bodo: Bodo is indirectly responsible for the death of the people of the Woden Ric. Your sense of justice dictates that he must die when Sven Bull Neck is dead, to atone for his guilt. You've committed yourself to kill him.
; qstr___He_shrugs.__|--He shrugs.--
; qstr_Finally_all_roads_le|Finally, all roads lead to {s11} 'Snake in the Eye.' Sven Bull Neck has taken your mother to him, because {s11} wants an object that Bodo gave your mother and ask her for very important information he told her. Sven thinks your mother is the carrier of the object instead of Bodo. Therefore, she is still alive. You must hurry, before Sven discovers the deception and kills her.
; qstr_Finally_all_roads_lea|Finally, all roads lead to {s11} 'Snake in the Eye.' Sven Bull Neck has taken your mother with him, because {s11} wants an object that Bodo gave your mother and information he told her. Sven thinks your mother is the carrier of the object instead of Bodo. Therefore, she is still alive. You must hurry, before Sven discovers the deception and kills her.
; qstr___He_takes_the_mead_|--He takes the mead jug to his lips, drinks long, and then he just looks at you.--
; qstr_You_don_t_trust_me._|You don't trust me. I understand; I am new here. Maybe I should leave. (Phlegmatic)
; qstr_I_see..._Something_m|I see... Something makes you nervous. (Melancholic)
; qstr_Look_at_me._Who_else|Look at me. Who else that comes to this mead hall sits with you? Nobody! (Choleric)
; qstr_You_looked_like_some|You looked like someone that would appreciate a friend, but I can go again. (Sanguine)
; qstr_{s21}_seems_happy.|{s21} seems happy.
; qstr_Please_do_not_leave!|Please, do not leave! Let's keep talking and drinking together!
; qstr_Nervous?_Me?_No_mate|Nervous? Me? No, mate. I am dangerous.
; qstr_I_ve_just_gotten_to_|I've just gotten to know you. How do I know that someone has not sent you to extract information?
; qstr___He_smiles_drinks_a|--He smiles, drinks again, and you see the mead overflow his lips and course down his chin. He belches.--
; qstr___He_seems_not_hear_|--He seems not hear you. Joy crosses his face at an idea that he has in mind.--
; qstr_{s11}_wants_you_to_m|{s11} wants you to make a donation for Frisian widows and orphans to Adda in {s4}. Her shop is on the wharf.
; qstr___He_looks_happy_to_|--He looks happy to hear your words.--
; qstr___He_looks_at_you_wi|--He looks at you with deep concern.--
; qstr_You_have_decided_to_|You have decided to give the letter of the king of Asturias to the king of West Seaxe. Take it to {s11}.
; qstr_You_have_decided_to_g|You have decided to give the letter to Ragnar's sons. Take it to {s11}.
; qstr___Bodo_seems_overcom|--Bodo seems overcome with joy.--
; qstr_Note_Bodo:_With_your|Note Bodo: With your decision to deliver the letter of the king of Asturias to the Danish, Bodo felt betrayed. The Cantabrian has left your party and threatened you with death if you return to find him.
; qstr___His_face_goes_from|--His face goes from bewilderment to uncontrolled fury.--
; qstr___Brunhild_comes_up_|--Brunhild comes up to you and hugs you tightly.--
; qstr___His_eyes_are_a_wel|--His eyes are a well of sorrow, and tears ply his cheeks.--
; qstr___Egil_bares_his_tee|--Egil bares his teeth. He seems angry.--
; qstr_Note_Reginhard:_Regi|Note Reginhard: Reginhard betrayed you at the Assembly, and you had to kill him in a holmgang decreed by the Assembly. In the end, you drove Egil out of your party, offended by his insolence and disrespect.
