p_zendar|Zendar
p_village_27|Badon Ham
p_village_28|Escan Ham
p_village_29|Tref Towan
p_village_30|Tref Tagell
p_village_31|Tref Cathures
p_village_32|Tref Cuil
p_village_33|Tref Caradawg
p_village_34|Tref Gob
p_village_35|Bal Duim
p_village_36|Bal Foither
p_village_37|Bal Tauro
p_village_38|Bal Averte
p_village_39|Bal Onlaigh
p_village_40|Bal Muirchol
p_village_41|Tref Bych
p_village_42|Tref Bran
p_village_43|Tref Arth
p_village_44|Tref Erth
p_village_45|Tref Seniont
p_village_46|Tref Sws
p_village_47|Tref Ceincoed
p_village_48|Tref Went
p_village_49|Skyfa By
p_village_50|Vebjorg By
p_village_51|Huhelstath By
p_village_52|Heida By
p_village_53|Skiringssalr By
p_village_54|Horda By
p_village_55|Agdir By
p_village_56|Rogaland By
p_village_57|Tref Reghed
p_village_58|Bal Baitte
p_village_59|Tref Manaw
p_village_60|Bjarnaroy By
p_village_61|Orkneyjar By
p_village_62|Veisa By
p_village_63|Kennemer Terp
p_village_64|Vles Inge Terp
p_village_65|Bal Sebuirge
p_village_66|Bal Magh
p_village_67|Bal Magh Cobha
p_village_68|Bal Mor Nord
p_village_69|Bal Clochair
p_village_70|Bal Fearnmhaigh
p_village_71|Bal Macha
p_village_72|Bal Dumai
p_village_73|Bal Mor Süd
p_village_74|Bal Eachadha
p_village_75|Bal Breacain
p_village_76|Bal Crannoc
p_village_77|Bal Chomain
p_village_78|Bal Luighne
p_village_79|Bal Fiachrach Aidne
p_village_80|Bal Berchna
p_village_81|Bal Grian Airbh
p_village_82|Bal Les Mor
p_village_83|Bal Ciarraighe Luachra
p_village_84|Bal Muscraighe
p_village_85|Bal Na Mbarc
p_village_86|Bal Dara
p_village_87|Bal Liamhain
p_village_88|Bal Bolg
p_village_89|Bal Ros Mhic Treoin
p_village_90|Bal Mairg Laigen
p_village_91|Bal Tara
p_village_92|Cantwara Ham Nord
p_village_93|Cantwara Ham Süd
p_village_94|Cippan Ham Ost
p_village_95|Cippan West Ham
p_village_96|Eidyn Ham Ost
p_village_97|Edyn West Ham
p_village_98|Ribe By Norden
p_village_99|Ribe By Süden
p_village_100|Tuns By Osten
p_village_101|Tuns By Westen
p_village_102|Tref Breatann Osten
p_village_103|Tref Breatann West
p_village_104|Dubh Linn By Norden
p_village_105|Dubh Linn By  Süden
p_village_106|Tref Dyf Ost
p_village_107|Tref Dyf West
p_village_108|Eofer Ham Ost
p_village_109|Eofer West Ham
p_village_110|Dore Hem Osten
p_village_111|Dore Hem West
p_village_112|Lunden Ham Norden
p_village_113|Lunden Ham Süd
p_village_114|Tref Mo Ost
p_village_115|Tref Mo West
p_village_116|Dun Ham Nord
p_village_117|Dun Ham Süd
p_village_118|Bal Scuin Osten
p_village_119|Bal Scuin West
p_village_120|Regent Ham Nord
p_village_121|Regent Ham Süd
p_village_122|Tref Bodmine Osten
p_village_123|Tref Bodmine West
p_village_124|Bal Cainnighn Nord
p_village_125|Bal Cainnighn Süd
p_village_126|Bal Rigmonaid Nord
p_village_127|Bal Rigmonaid Süd
p_village_128|Bal Celtair Ost
p_village_129|Bal Celtair West
p_village_130|Bal Maistiu Ost
p_village_131|Bal Maistiu West
p_village_132|Tref Meguaidd Ost
p_village_133|Tref Meguaidd West
p_village_134|Tom Ham Ost
p_village_135|Tom Ham Süd
p_village_136|Bal Caiseal Ost
p_village_137|Bal Caiseal West
p_village_138|Bal Aileach Ost
p_village_139|Bal Aileach West
p_village_140|Tref Brycheiniog Ost
p_village_141|Tref Brycheiniog West
p_village_142|Bebban Ham Nord
p_village_143|Bebban Ham Süd
p_village_144|Bal Cruaghan Ost
p_village_145|Bal Cruaghan West
p_village_146|Bal Temair Nord
p_village_147|Bal Temair Süd
p_village_148|Cirren Ham Ost
p_village_149|Cirren West Ham
p_village_150|Doccinga
p_salt_mine|Salzmine
p_four_ways_inn|Taverne der vier Wege
p_test_scene|Test Szene
p_battlefields|Schlachtfelder
p_frisa_beach|Friesischer Strand
p_farmland|Ulf's Bauernhof
p_boar_grove|Wildschwein Wald
p_readingum|Readingum
p_aescesdun|Aescesdun
p_mega_danishrmy|Große Sommer Armee
p_battle_stones|Stein Zeile
p_farmland_special|Ackerland
p_roman_fort|Römische Festung
p_troll_bridge|Die Trollen Brücke
p_circle_mystic1|Mystischer Kreis
p_celidon_forest|Alte Steine
p_hidden_valley|Seltsame Ruinen
p_quarry1|Steinbruch
p_quarry2|Steinbruch
p_quarry3|Steinbruch
p_quarry4|Steinbruch
p_saltmine1|Salzmine
p_saltmine2|Salzmine
p_saltmine3|Salzmine
p_saltmine4|Salzmine
p_lumbercamp1|Holz Lager
p_lumbercamp2|Holz Lager
p_lumbercamp3|Holz Lager
p_lumbercamp4|Holz Lager
p_farmsteadsp1|Bauernhof
p_farmsteadsp2|Bauernhof
p_farmsteadsp3|Bauernhof
p_farmsteadsp4|Bauernhof
p_farmsteadsp5|Bauernhof
p_farmsteadsp6|Bauernhof
p_farmsteadsp7|Bauernhof
p_farmsteadsp8|Bauernhof
p_farmsteadsp9|Bauernhof
p_hadrian_wall1|Hadrianswall
p_bjorn_camp|Bjorns Lager
p_snotingaham_siege|Snotingaham im Belagerungszustand
p_odin_cave|Odins Höhle
p_stonemonumento|Stein Denkmal
p_forestbattle|Waldschlacht
p_the_thing|Die Versammlung
p_dhorak_keep|Dhorak Bergfried
p_training_ground|Trainingsgelände
p_training_ground_1|Trainingsfeld
p_training_ground_2|Trainings Dorf
p_training_ground_3|Trainingsfeld
p_training_ground_4|Training See
p_training_ground_5|Trainingslager
p_monasterio1|Ad Candida Casam
p_monasterio2|Willibrord
p_monasterio3|Dommoc
p_monasterio4|Lindisfarne
p_monasterio5|Aporcrosan
p_monasterio6|Petrus
p_monasterio7|Apurnethige
p_monasterio8|Llanteulyddog
p_monasterio9|Ynys Enlli
p_monasterio10|Eveshomme
p_monasterio11|Inderawuda
p_monasterio12|Hagustaldes
p_monasterio13|Briudun
p_monasterio14|Gudlac
p_monasterio15|Wochingas
p_monasterio16|Clofesho
p_monasterio17|Waerburh
p_monasterio18|Derhurst
p_monasterio19|Ythan
p_monasterio20|Petrockstow
p_monasterio21|Madshamstead
p_monasterio22|Cocheham
p_monasterio23|Patricius
p_monasterio24|Daire Calgaich
p_monasterio25|Finian
p_monasterio26|Raithean
p_monasterio27|Carthach
p_monasterio28|Scelic Mhichi
p_monasterio29|Gleann Da Loch
p_yourlair|Meine Zuflucht
p_thiaderd_lair|Thiaderd's Versteck
p_destroy1|Thiaderds Versteck, zerstört
p_destroy2|Svens Höhle, zerstört
p_destroy3|Aescesdun Schlachtfeld
p_followers_camp|Anhänger-Camp
p_ferry_1a|Fährhaus
p_ferry_2a|Fährhaus
p_ferry_3a|Fährhaus
p_ferry_4a|Fährhaus
p_ferry_1b|Fährhaus
p_ferry_2b|Fährhaus
p_ferry_3b|Fährhaus
p_ferry_4b|Fährhaus
p_looter_spawn_point|ihr Versteck
p_looter_spawn_point2|ihr Versteck
p_looter_spawn_point3|ihr Versteck
p_steppe_bandit_spawn_point|deren Longphort
p_taiga_bandit_spawn_point|deren Longphort
p_forest_bandit_spawn_point|Ihre Höhle
p_forest_bandit_spawn_point2|Ihre Höhle
p_forest_bandit_spawn_point4|Ihre Höhle
p_mountain_bandit_spawn_point|Ihr Lager
p_mountain_bandit_spawn_point3|Ihr Lager
p_sea_raider_spawn_point_1|Ihr Lager
p_sea_raider_spawn_point_2|deren Longphort
p_sea_raider_spawn_point_3|deren Longphort
p_desert_bandit_spawn_point|Ihr Lager
p_frank_looters_sp_1|Ihr Lager
p_frank_looters_sp_2|Ihr Lager
p_pagan_spawn_1|die Landschaft
p_pagan_spawn_2|die Landschaft
p_pagan_spawn_3|die Landschaft
p_pagan_spawn_4|die Landschaft
p_ship_raider_spawn_point_1|Der Kanal
p_ship_raider_spawn_point_2|Das Gebiet
p_ship_raider_spawn_point_3|Das Gebiet
p_ship_raider_spawn_point_4|Das Gebiet
p_ship_raider_spawn_point_5|Das Gebiet
p_ship_raider_spawn_point_6|Das Gebiet
p_landing_point|Landestelle
p_the_fleet|Die Flotte
p_transporter|Transporter
p_troop_camp_1|Truppelager
p_troop_camp_2|Truppelager
