str_yes|Ja.
str_relation_mnus_70|Hasserfüllt
str_relation_mnus_60|Feindselig
str_relation_mnus_50|Feindlich
str_relation_mnus_40|Wütend
str_relation_mnus_30|Verärgert
str_relation_mnus_20|Grimmig
str_relation_mnus_10|Misstrauisch
str_relation_plus_0|Gleichgültig
str_relation_plus_10|Kooperativ
str_relation_plus_20|Einladend
str_relation_plus_30|Wohlwollend
str_relation_plus_40|Befürwortend
str_relation_plus_50|Freundlich
str_relation_plus_60|Gnädig
str_relation_plus_70|Zugetan
str_relation_plus_80|Treu
str_relation_plus_90|Ergeben
str_relation_mnus_100_ns|{s60} ist Euer Todfeind.
str_relation_mnus_90_ns|{s60} hegt unverzeihlichen Hass auf Euch.
str_relation_mnus_80_ns|{s60} sinnt auf Rache.
str_relation_mnus_70_ns|{s60} verabscheut Euch.
str_relation_mnus_60_ns|{s60} ist Euch gegenüber feindselig.
str_relation_mnus_50_ns|{s60} ist Euch gegenüber feindlich.
str_relation_mnus_40_ns|{s60} ist wütend auf Euch.
str_relation_mnus_30_ns|{s60} ist verärgert auf Euch.
str_relation_mnus_20_ns|{s60} ist Euch gegenüber grimmig.
str_relation_mnus_10_ns|{s60} misstraut Euch.
str_relation_plus_0_ns|{s60} seid Ihr gleichgültig.
str_relation_plus_10_ns|{s60} kooperiert mit Euch.
str_relation_plus_20_ns|{s60} ist Euch gegenüber offen.
str_relation_plus_30_ns|{s60} ist Euch zugetan.
str_relation_plus_40_ns|{s60} befürwortet Euch.
str_relation_plus_50_ns|{s60} ist Euch freundlich gesonnen.
str_relation_plus_60_ns|{s60} ist Euch gnädig gesonnen.
str_relation_plus_70_ns|{s60} ist Euch zugetan.
str_relation_plus_80_ns|{s60} ist Euch treu.
str_relation_plus_90_ns|{s60} ist Euch ergeben.
str_relation_reg1| Beziehung: {reg1}
str_center_relation_mnus_100|^Die Bevölkerung hasst Euch mit inbrunst.
str_center_relation_mnus_90|^Die Bevölkerung ist verzehrt vor Rachsucht.
str_center_relation_mnus_80|^Die Bevölkerung hasst Euch sehr.
str_center_relation_mnus_70|^Die Bevölkerung hasst Euch.
str_center_relation_mnus_60|^Die Bevölkerung ist Euch gegenüber hasserfüllt.
str_center_relation_mnus_50|^Die Bevölkerung ist Euch gegenüber äußerst abweisend.
str_center_relation_mnus_40|^Die Bevölkerung ist Euch gegenüber sehr abweisend
str_center_relation_mnus_30|^Die Bevölkerung ist Euch gegenüber abweisend.
str_center_relation_mnus_20|^Die Bevölkerung ist gegen Euch.
str_center_relation_mnus_10|^Die Bevölkerung stimmt nicht mit Euch überein.
str_center_relation_plus_0|^Die Bevölkerung ist neutral.
str_center_relation_plus_10|^Die Bevölkerung akzeptiert Euch.
str_center_relation_plus_20|^Die Bevölkerung ist kooperativ.
str_center_relation_plus_30|^Die Bevölkerung unterstützt Euch etwas.
str_center_relation_plus_40|^Die Bevölkerung unterstützt Euch.
str_center_relation_plus_50|^Die Bevölkerung unterstützt Euch sehr.
str_center_relation_plus_60|^Die Bevölkerung ist zu Euch loyal.
str_center_relation_plus_70|^Die Bevölkerung ist Euch gegenüber sehr loyal.
str_center_relation_plus_80|^Die Bevölkerung ist Euch ergeben.
str_center_relation_plus_90|^Die Bevölkerung ist Euch sehr ergeben.
str_town_prosperity_0|^Die Armut der Stadt {s60} ist unerträglich.
str_town_prosperity_10|^Die Stadt {s60} ist verlassen und elend.
str_town_prosperity_20|^Die Stadt {s60} sieht wie ein erbärmlicher, desolater Platz aus.
str_town_prosperity_30|^Die Stadt {s60} sieht arm und verlassen aus.
str_town_prosperity_40|^Die Stadt {s60} scheint sich abzuplagen.
str_town_prosperity_50|^Die Stadt {s60} scheint unscheinbar.
str_town_prosperity_60|^Die Stadt {s60} scheint zu blühen.
str_town_prosperity_70|^Die reiche Stadt {s60} platzt vor Aktivität.
str_town_prosperity_80|^Die Stadt {s60} sieht reich und gepflegt aus.
str_town_prosperity_90|^Die Stadt {s60} ist opulent und überfüllt mit beschäftigten Menschen.
str_town_prosperity_100|^Die glanzvolle Stadt {s60} protzt mit ihrem großen Wohlstand.
str_fort_prosperity_0|^Die Armut der Burg {s60} ist unerträglich.
str_fort_prosperity_10|^Die Burg {s60} ist verlassen und elend.
str_fort_prosperity_20|^Die Burg {s60} sieht wie ein erbärmlicher, desolater Platz aus.
str_fort_prosperity_30|^Die Burg {s60} sieht arm und verlassen aus.
str_fort_prosperity_40|^Die Burg {s60} scheint sich abzuplagen.
str_fort_prosperity_50|^Die Burg {s60} scheint unscheinbar.
str_fort_prosperity_60|^Die Burg {s60} scheint zu blühen.
str_fort_prosperity_70|^Die reiche Burg {s60} platzt vor Aktivität.
str_fort_prosperity_80|^Die Burg {s60} sieht reich und gepflegt aus.
str_fort_prosperity_90|^Die Burg {s60} ist opulent und überfüllt mit beschäftigten Menschen.
str_fort_prosperity_100|^Die glanzvolle Burg {s60} protzt mit ihrem großen Wohlstand.
str_village_prosperity_0|^Die Armut des Dorfes {s60} ist unerträglich.
str_village_prosperity_10|^Das Dorf {s60} sieht arm und verlassen aus.
str_village_prosperity_20|^Das Dorf {s60} sieht sehr arm und brach aus.
str_village_prosperity_30|^Das Dorf {s60} sieht arm und verlassen aus.
str_village_prosperity_40|^Das Dorf {s60} scheint sich abzuplagen.
str_village_prosperity_50|^Das Dorf {s60} scheint unscheinbar.
str_village_prosperity_60|^Das Dorf {s60} scheint zu blühen.
str_village_prosperity_70|^Das Dorf {s60} scheint zu gedeihen.
str_village_prosperity_80|^Das Dorf {s60} sieht reich und gepflegt aus.
str_village_prosperity_90|^Das Dorf {s60} sieht sehr reich und wohlhabend aus.
str_village_prosperity_100|^Das Dorf {s60}, umgeben von riesigen, fruchtbaren Feldern, sieht äußerst reich aus.
str_town_alt_prosperity_0|Die paar auf dem Markt gehandelten Waren sind dem gewöhnlichen unterernährten Mann und seinem geschwächten Vieh zu teuer. Zwischen den baufälligen Häusern spielen Kinder in Lumpen mit Stöcken und Steinen.
str_town_alt_prosperity_20|Man kann Streitereien über zu hohe Preise auf dem Marktplatz hören, auf den Händlern die Waren ausgehen. In den Straßen betteln die Kinder jeden der vorbeikommt um ein Stück Brot oder irgendetwas von Wert an.
str_town_alt_prosperity_40|Die Waren am Markt sind von anständiger Qualität und die Händler bringen manchmal Luxusgüter für die wohlhabenderen Städter mit. Ein paar Häuser könnten Reperaturen vertragen, während andere in guter Form sind.
str_town_alt_prosperity_60|Auf dem Markt dröhnt es durch die Aktivitäten der Händler, die von weit weg anreisten, um zu handeln und wieder weiter zu reisen, während andere bleiben um ihr Glück zu versuchen.
str_town_alt_prosperity_80|Das Stroh und die Schindeln der Dächer sind in der ganzen Stadt gut gepflegt, und die Menschen sind in hochwertigem Gewand gekleidet. Jeden Tag kommen Scharen von Menschen an, um Arbeit und Wohlstand in dem blühenden Handelszentrum zu finden.
str_village_alt_prosperity_0|Kräftige, diensttaugliche Menschen sind rar, und die Felder sind mit Unkraut überwuchert. Viele sind aus der Siedlung geflohen und die Zugtiere werden gegessen oder sterben am Rande der Stadt, wo sie wilde Tiere anziehen.
str_village_alt_prosperity_20|Ein paar Farmer un Nutztiere arbeiten auf den Felern, aber viele sind auf der Suche nach einem besseren Leben abgewandert. Die Höfe sind abgenutzt und manche Felder sind von Unkraut überzogen.
str_village_alt_prosperity_40|Einigermaßen gesunde Dörfler und Tiere bewegen sich über die Felder und Weiden. Jedoch bedürfen manche Häuser einiger Reperaturen und so manche Felder sind nicht bestellt.
str_village_alt_prosperity_60|In den Feldern und Obstgärten wimmelt es vor Aktivität. Die prallen Säcke voll Korn und das getrocknete Fleisch spiegelt die Produktivität des Dorfes wieder.
str_village_alt_prosperity_80|Die Felder und Obstgärten sind voll mit kräftigen Arbeitern, gut genärhte Dörfler erweitern die Felder, um die vielen Hoftiere zu füttern. Zur Zeit kommen die Arbeiter in Scharen ins Dorf um zu arbeiten und sich dem Wohlstand anzuschließen.
str_oasis_village_alt_prosperity_0|Obstplantagen sind beinahe verlassen und die wenigen noch übrigen unterernährten Dörfler sehen besorgt aus. DIe Nutztiere sind schon vor langer Zeit verhungert oder wurden geschlachtet.
str_oasis_village_alt_prosperity_20|Nur wenige Dörfler sind bei den Obstgärten zu sehen, und macherorts übernimmt bereits der Wald das Gebiet. Büsche und Unkraut überwuchern die Obstgärten. Das Vieh ist wild geworden und ein paar ihrer Skelette liegen am Ortsrand, wo ihre Knochen von Wölfen angenagt werden.
str_oasis_village_alt_prosperity_40|Männer und Frauen arbeiten in den Obstgärten und schneiden das Heidekraut, welches in die Weidegebiete eindringt zurück. Die Herden sehen gesund aus, aber viele Höfe könnten einige Wartungsarbeiten gebrauchen.
str_oasis_village_alt_prosperity_60|In den Wäldern und Gärten streifen die fleißigen Farmer umher, welche sich glücklich grüßen, während sie die Bäume trimmen, Schafe schären und Kühe melken. Das Echo des Zimmermanns, wie er neue Zäune für das Vieh baut, untermauert den Wohlstand dieser Region.
str_oasis_village_alt_prosperity_80|In den Obstgärten wimmelt es vor Aktivität, da die Bauern Körbe mit Äpfel und Säcke mit Getreide für den Markt aufladen. Männer und Frauen sind hart am abeiten, um den Wald zu roden, damit neue Felder bestellt werden können.
str_acres_grain|Hektar Getreidefeldern
str_acres_orchard|Hektar Obst Waldungen
str_acres_oasis|Hektar Obstplantagen
str_looms|Webstühle
str_boats|Boote
str_head_cattle|Anzahl von Rind
str_head_sheep|Anzahl der Schafe
str_mills|Mühlen
str_kilns|Brennöfen
str_pans|Pfannen
str_deposits|Vorkommen
str_hives|Bienenstöcke
str_breweries|Brauereien
str_presses|Pressen
str_smithies|Schmieden
str_caravans|Überland-Karawanen
str_traps|Fallen
str_gardens|kleine Gärten
str_tanneries|Gerberlohen
str_master_miller|Mühlen-Vorarbeiter
str_master_brewer|Brauer-Vorarbeiter
str_master_presser|Pressen-Vorarbeiter
str_master_smith|SchmiedeVorarbeiter
str_master_tanner|Gerber-Vorarbeiter
str_master_weaver|Weber-Vorarbeiter
str_master_dyer|Färber-Vorarbeiter
str_war_report_minus_4|Wir sind dabei, den Krieg zu verlieren.
str_war_report_minus_3|die Situation sieht düster aus
str_war_report_minus_2|Die Dinge stehen nicht so gut für uns.
str_war_report_minus_1|Wir können den Krieg noch gewinnen, wenn wir uns sammeln.
str_war_report_0|Wir sind dem Feind ebenbürtig.
str_war_report_plus_1|Wir haben eine faire Chance diesen Krieg zu gewinnen.
str_war_report_plus_2|Die Dinge laufen ganz gut.
str_war_report_plus_3|wir sollten keine Schwierigkeiten haben sie zu besiegen
str_war_report_plus_4|Wir sind dabei den Krieg zu gewinnen.
str_persuasion_summary_very_bad|Ihr tut Euer Bestes, {s50} zu überzeugen, aber keins Eurer Argumente scheint zu fußen. Immer, wenn Ihr das Richtige sagen wollt, sagt Ihr genau das Falsche, was Euch dann noch mehr verwirrt. Zum Schluss Eurer Rede habt Ihr keinen einzigen Punkt zu Euren Gunsten vorbringen können, und Ihr erkennt, dass Ihr Euch nur noch tiefer in den Schlamassel geritten habt. {s50} sieht nicht beeindruckt aus, was auch nicht überrascht.
str_persuasion_summary_bad|Ihr versucht, {s50} zu überzeugen, doch {reg51?sie:er} manövriert Euch direkt von Beginn an aus. Selbst Eure besten Argumente klingen hohl in Euren eigenen Ohren. Und ebenso hat auch {s50} sich keine sehr hohe Meinung von Euren Ausführungen gemacht.
str_persuasion_summary_average|{s50} stellt sich als geschickter Orator mit scharfem Verstand heraus, und Ihr scheint nichts Konkretes hervorbringen zu können, das {reg51?sie:er} nicht durch Logik kontern kann. Zum Schluss gewinnt keiner von Euch in dieser Diskussion an Boden.
str_persuasion_summary_good|Durch rasches Denken und geschickte Argumentation schafft Ihr, Eure Sache gut darzulegen und {s50} zum Einlenken bei verschiedenen Punkten zu zwingen. Trotzdem hegt {reg51?sie:er} noch Zweifel über Euer Ansinnen.
str_persuasion_summary_very_good|Ihr legt eine leidenschaftliche Rede hin, die in den Ohren aller wie reinste Poesie klingt. Die Welt selbst scheint zu verstummen, um Euch besser hören zu können. Die inspirierenden Worte haben {s50} tief bewegt, und {reg51?sie:er} hat viel größeres Interesse daran, Euch zu helfen.
str_secret_sign_1|Der Schrank tanzt um Mitternacht...
str_secret_sign_2|Ich verkaufe diese feinsten Wandteppiche aus Konstantinopel. Möchtet Ihr welche kaufen?
str_secret_sign_3|Der Freund eines Freundes schickt mich...
str_secret_sign_4|Die Winde wehen stark aus dem Osten und der Fluss färbt sich rot...
str_countersign_1|Aber tanzt er für die Kommode oder den Kerzenhalter?
str_countersign_2|Ja, bitte, habt Ihr auch welche in blau?
str_countersign_3|Doch Freund, Euer Freundes Freund wird nie einen Freund wie mich haben.
str_countersign_4|Wart Ihr krank?
str_name_1|Aelle
str_name_2|Alduini
str_name_3|Berdun
str_name_4|Caedmon
str_name_5|Cearl
str_name_6|Coenred
str_name_7|Eadbald
str_name_8|Arthfael
str_name_9|Eafa
str_name_10|Earpwald
str_name_11|Hengist
str_name_12|Horsa
str_name_13|Osred
str_name_14|Thrydwulf
str_name_15|Wictred
str_name_16|Wuffa
str_name_17|Cyny
str_name_18|Cunedog
str_name_19|Idnerth
str_name_20|Dyfrig
str_name_21|Treni
str_name_22|Cadfan
str_name_23|Cadwgon
str_name_24|Rhiwallon
str_name_25|Hywel
str_surname_1|{s50} von Lundenwic
str_surname_2|{s50} von Dorce Ceaster
str_surname_3|{s50} von Bebbanburh
str_surname_4|{s50} von Caer Wenddoleu
str_surname_5|{s50} von Emain Macha
str_surname_6|{s50} von Cirren Ceaster
str_surname_7|{s50} von Din Draithou
str_surname_8|{s50} von Licidfelth
str_surname_9|{s50} von Caer Lloyw
str_surname_10|{s50} von Colne Ceaster
str_surname_11|{s50} von Din Erth
str_surname_12|{s50} von Norwic
str_surname_13|{s50} von Caer Riderch
str_surname_14|{s50} von Duin Ollaigh
str_surname_15|{s50} von Denisesburna
str_surname_16|{s50} von Dun Buicead
str_surname_17|{s50} von Swanawic
str_surname_18|{s50} von Wodetun
str_surname_19|{s50} von Badun
str_surname_20|{s50} von Leim an Eich
str_surname_21|{s50} der Lange
str_surname_22|{s50} der Magere
str_surname_23|{s50} Seidenbart
str_surname_24|{s50} der Sperling
str_surname_25|{s50} der Arme
str_surname_26|{s50} der Vernarbte
str_surname_27|{s50} der Gerechte
str_surname_28|{s50} der Grimmige
str_surname_29|{s50} der Rote
str_surname_30|{s50} der Schwarze
str_surname_31|{s50} der Große
str_surname_32|{s50} der Idealist
str_surname_33|{s50} der Furchtlose
str_surname_34|{s50} der Tapfere
str_surname_35|{s50} der Gerissene
str_surname_36|{s50} der Feigling
str_surname_37|{s50} der Schlaue
str_surname_38|{s50} der Schnelle
str_surname_39|{s50} der Minnesänger
str_surname_40|{s50} der Kühne
str_surname_41|{s50} der Hitzkopf
str_surnames_end|Familiennamen Ende
str_number_of_troops_killed_reg1|Anzahl der getöteten Truppen: {reg1}
str_number_of_troops_wounded_reg1|Anzahl der verwundeten Truppen: {reg1}
str_number_of_own_troops_killed_reg1|Anzahl der getöteten Verbündeten: {reg1}
str_number_of_own_troops_wounded_reg1|Anzahl der verwundeten Verbündeten: {reg1}
str_retreat|Rückzug!
str_siege_continues|Der Kampf geht weiter...
str_casualty_display|Eure Verluste: {s10}^Feindliche Verluste: {s11}{s12}
str_casualty_display_hp|^Ihr wurdet für {reg1} Trefferpunkte verwundet.
str_quest_log_updated|Auftragsliste wurde aktualisiert...
str_banner_selection_text|Man hat Euch das Recht verliehen, ein Banner zu tragen. Euer Banner wird Euren Status darstellen und Euch Ehre bringen. Welches Banner wählt Ihr?
str_retirement_text_1|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Ihr braucht nicht lange, um das Wenige zu vergeuden, das Ihr zu sparen gedachtet, und mehrere verzweifelte Versuche, die Abenteurerei wieder aufzunehmen, scheitern kläglich. Ihr endet als Bettler in {s9} und lebt von Almosen und der Barmherzigkeit der Kirche.
str_retirement_text_2|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Ihr braucht nicht lange, um das Wenige zu vergeuden, das Ihr zu sparen gedachtet. Als der letzte Pfennig durch Eure Hände gesickert ist, seid Ihr zu einem Leben als Gauner in den Gassen von {s9} gezwungen, wo Ihr Eure Fertigkeiten dazu einsetzt, Weibern und Armenhäuslern Kupferstücke zu stehlen.
str_retirement_text_3|Zu spät erkennt Ihr, dass Euer Geld nicht ausreicht. Ihr braucht nicht lange, um das Wenige zu vergeuden, das Ihr zu sparen gedachtet, und Ihr endet als mittelloser Landstreicher, der von Schänke zu Schänke zieht, um mit Kriegsgeschichten, die niemand je glaubt, gutmütige Gäste dazu zu bringen, Euch den einen oder anderen Becher auszugeben.
str_retirement_text_4|Euer Silber reicht nicht lange, aber Ihr habt genug zusammengekratzt, um ein Stück Land nahe dem Dorf {s7} zu kaufen. Dort werdet Ihr ein freier Bauer, und beginnt schon bald, potentielle {reg59?husbands:wives} anzuziehen. Mit der Zeit behandeln die Dörfler Euch als ihren lokalen Helden. Bei Festen setzt man Euch immer auf den Ehrenplatz, und Eure Taten werden ein ums andere Mal in den Schänken und Tavernen erzählt, auf dass Ihr den Kindern auf immer in Erinnerung bleibt.
str_retirement_text_5|Euer Silber reicht nicht lange, aber es ist genug, um eine kleine Schänke in {s9} zu erwerben. Obwohl die Anwohner Euch zuerst misstrauisch begegnen, akzeptieren sie Euch schon bald in ihrer Mitte. Mit der Zeit wird Eure stetig wachsende Schänke als Festhalle und Treffpunkt beliebt. Die Leute kommen von überall, um zu essen oder zu übernachten, alles wegen Eurer Bekanntheit und den Epen, die Ihr von Euren Abenteurertagen zum Besten gebt.
str_retirement_text_6|Ihr habt während Eurer Karriere sorgsam angespart, und nun erlauben Euch Euer Silber und Eure Intelligenz einige ausgezeichnete Investitionen zur Zementierung Eurer Zukunft. Nachdem Ihr mehrere Läden und Lagerhäuser in {s9} erworben habt, werdet Ihr dank Eurer Schläue zu einem der prominentesten Kaufleute der Stadt, und bald schon {reg59?eine wohlhabende Frau:ein wohlhabender Mann}, der gleichsam für sein Handelsimperium wie für seine Taten in der Schlacht bekannt ist.
