str_yes|Да.
; str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the place remains in enemy hands.
str_order_attack_success|Ваши люди храбро сражались и победили врага.
str_order_attack_failure|Вы в отчаянии смотрите, как враг убивает ваших людей и оттесняет горстку выживших.
str_order_attack_continue|Хотя стычка переросла в довольно крупное сражение, вашим войскам не удалось одержать победу.
str_join_order_attack_success|Ваши люди сражались бок о бок с союзниками и, победив врага, разделили с ними славу.
str_join_order_attack_failure|Вы в отчаянии смотрите, как враг убивает ваших людей и оттесняет горстку выживших.
str_join_order_attack_continue|Несмотря на крупную стычку, ни вашим, ни союзным войскам не удалось одержать победу.
; str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skillfully turning a seemingly sure defeat into a full-fledged victory.
str_siege_defender_order_attack_failure|Нападение быстро переходит в кровавую бойню. Отважный отпор не дает результатов: гарнизон слишком мал, чтобы удержать стены, и все защитники вскоре погибают от мечей врага.
str_siege_defender_order_attack_continue|Очередная попытка захватить поселение так ни к чему и не приводит, но врагов слишком много, чтобы защитники могли праздновать победу. Осада продолжается.
; str_hero_taken_prisoner|{s1} of the {s3} has been taken prisoner by the {s2}.
; str_hero_freed|{s1} of the {s3} has been freed from captivity by the {s2}.
; str_center_captured|The {s2} has taken {s1} from the {s3}.
str_troop_relation_increased|Ваши отношения с {s1} улучшаются с {reg1} до {reg2}.
str_troop_relation_detoriated|Ваши отношения с {s1} ухудшаются с {reg1} до {reg2}.
; str_faction_relation_increased|Your relation with the {s1} has increased from {reg1} to {reg2}. {s2}
; str_faction_relation_detoriated|Your relation with the {s1} has deteriorated from {reg1} to {reg2}. {s2}
str_party_gained_morale|Ваш отряд получает {reg1} очков боевого духа.
str_party_lost_morale|Ваш отряд теряет {reg1} очков боевого духа.
str_other_party_gained_morale|{s1} получает {reg1} единиц боевого духа.
str_other_party_lost_morale|{s1} теряет {reg1} единиц боевого духа.
str_qst_follow_spy_noticed_you|Шпион заметил вас! Он убегает!
str_duplicate|отец
str_s3s_s2|{s2} {s2}
str_s5_is_s51|{s5} - {s51}.
; str_s5_is_the_ruler_of_s51|{s5} is the ruler of the {s51}. 
; str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of the {s6}. 
; str_relation_mnus_100|Nemesis
; str_relation_mnus_90|Implacable
str_relation_mnus_80|Мстительные
str_relation_mnus_70|Ненавистные
; str_relation_mnus_60|Antagonistic
str_relation_mnus_50|Враждебные
str_relation_mnus_40|Сердитые
str_relation_mnus_30|Возмущенные
str_relation_mnus_20|Неприветливые
str_relation_mnus_10|Подозрительные
str_relation_plus_0|Безразличные
str_relation_plus_10|Отзывчивые
; str_relation_plus_20|Welcoming
str_relation_plus_30|Благосклонные
str_relation_plus_40|Поддерживающие
str_relation_plus_50|Дружелюбные
str_relation_plus_60|Любезные
str_relation_plus_70|Теплые
str_relation_plus_80|Верные
str_relation_plus_90|Преданные
; str_relation_mnus_100_ns|{s60} is your mortal enemy.
; str_relation_mnus_90_ns|{s60} is implacable towards you.
str_relation_mnus_80_ns|{s60} хочет вам отомстить.
str_relation_mnus_70_ns|{s60} ненавидит вас.
; str_relation_mnus_60_ns|{s60} is antagonistic towards you.
str_relation_mnus_50_ns|{s60} ненавидит вас.
str_relation_mnus_40_ns|{s60} злится на вас.
; str_relation_mnus_30_ns|{s60} is resentful towards you.
str_relation_mnus_20_ns|{s60} относится к вам неприветливо.
str_relation_mnus_10_ns|{s60} относится к вам подозрительно.
; str_relation_plus_0_ns|{s60} is indifferent towards you.
str_relation_plus_10_ns|{s60} относится к вам с отзывчивостью.
str_relation_plus_20_ns|{s60} относится к вам гостеприимно.
; str_relation_plus_30_ns|{s60} is favorable towards you.
; str_relation_plus_40_ns|{s60} is supportive of you.
; str_relation_plus_50_ns|{s60} is friendly towards you.
; str_relation_plus_60_ns|{s60} is gracious towards you.
str_relation_plus_70_ns|{s60} относится к вам тепло.
str_relation_plus_80_ns|{s60} - ваш надежный союзник.
str_relation_plus_90_ns|{s60} - ваш преданный друг.
str_relation_reg1|Отношение: {reg1}
; str_center_relation_mnus_100|^The populace hates you with a passion
; str_center_relation_mnus_90|^The populace hates you intensely
; str_center_relation_mnus_80|^The populace hates you strongly
; str_center_relation_mnus_70|^The populace hates you
; str_center_relation_mnus_60|^The populace is hateful to you
; str_center_relation_mnus_50|^The populace is extremely hostile to you
; str_center_relation_mnus_40|^The populace is very hostile to you
; str_center_relation_mnus_30|^The populace is hostile to you
; str_center_relation_mnus_20|^The populace is against you
; str_center_relation_mnus_10|^The populace is opposed to you
; str_center_relation_plus_0|^The populace is indifferent to you
; str_center_relation_plus_10|^The populace is acceptive to you
; str_center_relation_plus_20|^The populace is cooperative to you
; str_center_relation_plus_30|^The populace is somewhat supportive to you
; str_center_relation_plus_40|^The populace is supportive to you
; str_center_relation_plus_50|^The populace is very supportive to you
; str_center_relation_plus_60|^The populace is loyal to you
; str_center_relation_plus_70|^The populace is highly loyal to you
; str_center_relation_plus_80|^The populace is devoted to you
; str_center_relation_plus_90|^The populace is fiercely devoted to you
; str_town_prosperity_0|^The poverty of the town of {s60} is unbearable
; str_town_prosperity_10|^The town of {s60} is all but deserted to its squalor.
; str_town_prosperity_20|^The town of {s60} looks a wretched, desolate place.
; str_town_prosperity_30|^The town of {s60} looks poor and neglected.
; str_town_prosperity_40|^The town of {s60} appears to be struggling.
; str_town_prosperity_50|^The town of {s60} seems unremarkable.
; str_town_prosperity_60|^The town of {s60} seems to be flourishing.
; str_town_prosperity_70|^The prosperous town of {s60} is bustling with activity.
; str_town_prosperity_80|^The town of {s60} looks rich and well maintained.
; str_town_prosperity_90|^The town of {s60} is opulent and crowded with well-to-do people.
; str_town_prosperity_100|^The glittering town of {s60} openly flaunts its great wealth.
; str_fort_prosperity_0|^The poverty of the fort of {s60} is unbearable
; str_fort_prosperity_10|^The fort of {s60} is all but deserted to its squalor.
; str_fort_prosperity_20|^The fort of {s60} looks a wretched, desolate place.
; str_fort_prosperity_30|^The fort of {s60} looks poor and neglected.
; str_fort_prosperity_40|^The fort of {s60} appears to be struggling.
; str_fort_prosperity_50|^The fort of {s60} seems unremarkable.
; str_fort_prosperity_60|^The fort of {s60} seems to be flourishing.
; str_fort_prosperity_70|^The prosperous fort of {s60} is bustling with activity.
; str_fort_prosperity_80|^The fort of {s60} looks rich and well maintained.
; str_fort_prosperity_90|^The fort of {s60} is opulent and crowded with well-to-do people.
; str_fort_prosperity_100|^The glittering fort of {s60} openly flaunts its great wealth.
; str_village_prosperity_0|^The poverty of the village of {s60} is unbearable.
; str_village_prosperity_10|^The village of {s60} looks wretchedly poor and miserable.
; str_village_prosperity_20|^The village of {s60} looks very poor and desolate.
; str_village_prosperity_30|^The village of {s60} looks poor and neglected.
; str_village_prosperity_40|^The village of {s60} appears to be somewhat poor and struggling.
; str_village_prosperity_50|^The village of {s60} seems unremarkable.
; str_village_prosperity_60|^The village of {s60} seems to be flourishing.
; str_village_prosperity_70|^The village of {s60} appears to be thriving.
; str_village_prosperity_80|^The village of {s60} looks rich and well maintained.
; str_village_prosperity_90|^The village of {s60} looks very rich and prosperous.
; str_village_prosperity_100|^The village of {s60}, surrounded by vast, fertile fields, looks immensely rich.
; str_town_alt_prosperity_0|The few wares sold in the market are expensive to the malnourished common man and his weakened livestock. Among ramshackle houses, children in rags are playing with sticks and pebbles.
; str_town_alt_prosperity_20|Arguments over high prices are heard in the marketplace, where traders are running out of wares. In the streets, children are begging any passer-by for a little bread or anything of worth.
; str_town_alt_prosperity_40|Wares in the market are of decent quality, and traders sometime bring luxury items for the few wealthy townspeople. Some houses could use repair, while others are in good shape.
; str_town_alt_prosperity_60|The market is humming with activity as traders from far and wide come to do business and leave, while some migrants stay to seek their luck.
; str_town_alt_prosperity_80|The thatch and shingles of roofs are well maintained throughout the town, and the people are dressed in quality clothing. Every day flocks of people arrive to find work and wealth in the blooming trading hub.
; str_village_alt_prosperity_0|Able-bodied people are scarce, and fields are overgrown with weeds. Many have fled the settlement, and draft animals are eaten or dying at the outskirts of town, attracting wild animals.
; str_village_alt_prosperity_20|A few farmers and animals work in the fields, but many have emigrated in search of a better life. Farms are worn down, and weeds have taken over some of the fields.
; str_village_alt_prosperity_40|Fairly healthy villagers and animals move about the fields and pastures. However, some houses are in ill repair, and several fields are left unsown.
str_village_alt_prosperity_60|На полях и в садах деревни полно людей, которые трудятся от рассвета до заката. Амбары ломятся от зерна, а риги - от душистого сена. Земля дает хороший урожай, скот тучен, а жители готовы к завтрашнему дню.
; str_village_alt_prosperity_80|Fields and orchards are filled with able-bodied, well-fed villagers expanding the fields to feed the many farm animals. All the while, laborers are flocking to work and join the prosperity.
; str_oasis_village_alt_prosperity_0|Fruit groves lie virtually abandoned, and the few malnourished villagers that still remain seem worried. The draft animals have long since starved or been eaten.
; str_oasis_village_alt_prosperity_20|Few villagers can be seen tending to the fruit groves, and in some places, the forest is engulfing them. Shrubs and weeds invade all the orchards. The cattle have turned wild, and a few of their carcasses lie on the outskirts, their bones gnawed by wolves.
; str_oasis_village_alt_prosperity_40|Men and women work in the orchards and cut back the heather that invades the pasture areas. The herds look healthy, but many of the farms could use some maintenance.
; str_oasis_village_alt_prosperity_60|In the groves and orchards roam the busy farmers, who happily greet each other while trimming trees, shearing sheep and milking the cows. The echo of the carpenter’s building new livestock fences evokes the prosperity of the site.
; str_oasis_village_alt_prosperity_80|The fruit groves are humming with activity, as farmers load up baskets of apples and sacks of wheat for sale to the market. Men and women are hard at work clearing the forest and plowing new fields to create new farmland.
; str_acres_grain|acres of grain fields
; str_acres_orchard|acres of fruit groves
; str_acres_oasis|acres of orchards
str_looms|станков
str_boats|лодок
str_head_cattle|голов коров
str_head_sheep|голов овец
str_mills|мельниц
str_kilns|печей
str_pans|чанов
str_deposits|залежей
str_hives|ульев
str_breweries|пивоварен
str_presses|давилен
str_smithies|кузниц
str_caravans|наземных караванов
str_traps|ловушек
str_gardens|садиков
str_tanneries|дубильных чанов
; str_master_miller|Foreman miller
; str_master_brewer|Foreman brewer
; str_master_presser|Foreman presser
; str_master_smith|Foreman smith
; str_master_tanner|Foreman tanner
; str_master_weaver|Foreman weaver
; str_master_dyer|Foreman dyer
str_war_report_minus_4|мы почти проиграли войну
str_war_report_minus_3|положение незавидное
str_war_report_minus_2|наши дела идут не очень хорошо
str_war_report_minus_1|мы можем победить, если соберемся
str_war_report_0|наши и вражеские силы равны
str_war_report_plus_1|у нас есть все шансы выиграть войну
str_war_report_plus_2|дела идут хорошо
str_war_report_plus_3|мы с легкостью победим их
str_war_report_plus_4|мы почти выиграли войну
; str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seems to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking, you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|Вы проявляете чудеса убеждения, но {s50} гораздо красноречивее. В итоге ваши самые веские доводы перестают казаться убедительными даже вам. {s50}, ясное дело, остается при своем мнении.
str_persuasion_summary_average|{s50} искушен в спорах и на всякий ваш аргумент находит логичное возражение. В итоге разговор ни к чему вас не приводит.
str_persuasion_summary_good|Вы не лезете за словом в карман и приводите веские аргументы, так что {s50} приходится с вами согласиться. Однако {reg51?у нее:у него} еще остались некоторые сомнения касательно вашей просьбы.
; str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better. The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well disposed towards helping you.
str_secret_sign_1|Шкаф пляшет в ночи...
; str_secret_sign_2|I am selling these fine tapestries from Constantinople. Would you like to buy some?
str_secret_sign_3|Знакомый моего друга прислал...
str_secret_sign_4|С востока дует сильный ветер, и река становится красной...
str_countersign_1|Он танцует для шкафа или для подсвечника?
str_countersign_2|Да, синий есть?
str_countersign_3|Но, друг мой, у знакомого вашего друга никогда не будет такого друга, как я.
str_countersign_4|Вы заболели?
; str_name_1|Aelle
; str_name_2|Alduini
; str_name_3|Berdun
; str_name_4|Caedmon
; str_name_5|Cearl
; str_name_6|Coenred
; str_name_7|Eadbald
; str_name_8|Arthfael
; str_name_9|Eafa
; str_name_10|Earpwald
; str_name_11|Hengist
; str_name_12|Horsa
; str_name_13|Osred
; str_name_14|Thrydwulf
; str_name_15|Wictred
; str_name_16|Wuffa
; str_name_17|Cyny
; str_name_18|Cunedog
; str_name_19|Idnerth
; str_name_20|Dyfrig
; str_name_21|Treni
; str_name_22|Cadfan
; str_name_23|Cadwgon
; str_name_24|Rhiwallon
; str_name_25|Hywel
; str_surname_1|{s50} of Lundenwic
; str_surname_2|{s50} of Dorce Ceaster
; str_surname_3|{s50} of Bebbanburh
; str_surname_4|{s50} of Caer Wenddoleu
; str_surname_5|{s50} of Emain Macha
; str_surname_6|{s50} of Cirren Ceaster
; str_surname_7|{s50} of Din Draithou
; str_surname_8|{s50} of Licidfelth
; str_surname_9|{s50} of Caer Lloyw
; str_surname_10|{s50} of Colne Ceaster
; str_surname_11|{s50} of Din Erth
; str_surname_12|{s50} of Norwic
; str_surname_13|{s50} of Caer Riderch
; str_surname_14|{s50} of Duin Ollaigh
; str_surname_15|{s50} of Denisesburna
; str_surname_16|{s50} of Dun Buicead
; str_surname_17|{s50} of Swanawic
; str_surname_18|{s50} of Wodetun
; str_surname_19|{s50} of Badun
; str_surname_20|{s50} of Leim an Eich
str_surname_21|{s50} Каланча
str_surname_22|{s50} Верзила
; str_surname_23|{s50} Silky-Beard
str_surname_24|{s50} Ласточка
str_surname_25|{s50} Попрошайка
str_surname_26|{s50} Шрам
str_surname_27|{s50} Сойка
str_surname_28|{s50} Перепелка
str_surname_29|{s50} Лиса
str_surname_30|{s50} Дрозд
str_surname_31|{s50} Кикоть
str_surname_32|{s50} Звезда
str_surname_33|{s50} Перехрабр
str_surname_34|{s50} Юза
str_surname_35|{s50} Суслик
str_surname_36|{s50} Землеройка
; str_surname_37|{s50} the Bright
str_surname_38|{s50} Шиша
str_surname_39|{s50} Бард
str_surname_40|{s50} Лысый
str_surname_41|{s50} Горячая голова
str_surnames_end|фамилии окончены
str_number_of_troops_killed_reg1|Убито : {reg1}
str_number_of_troops_wounded_reg1|Ранено : {reg1}
str_number_of_own_troops_killed_reg1|Убито дружеских отрядов: {reg1}
str_number_of_own_troops_wounded_reg1|Ранено дружеских отрядов: {reg1}
str_retreat|Отступаем!
str_siege_continues|Бой продолжается...
str_casualty_display|Ваши потери: {s10}^Потери врага: {s11}{s12}
str_casualty_display_hp|^Вы ранены и потеряли {reg1} очков здоровья.
str_quest_log_updated|Журнал заданий обновлен.
str_banner_selection_text|Вам выпала честь нести стяг, который будет отражать ваш статус и принесет вам славу. Какой вы выберете?
str_retirement_text_1|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают, и вы вновь отчаянно кидаетесь на поиски приключений. Вы оканчиваете свою жизнь в {s9}, влача нищенское существование и живя за счет подаяний.
; str_retirement_text_2|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save. Once every pening has evaporated in your hands you are forced to start a life of crime in the back streets of {s9}, using your skills to eke out a living robbing coppers from women and poor townsmen.
str_retirement_text_3|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают, и вы отправляетесь бродяжничать по тавернам. Сердобольные посетители порой угощают вас выпивкой, чтобы послушать ваши рассказы о войне. Впрочем, вам уже давно никто не верит.
; str_retirement_text_4|The silver you've saved doesn't last long, but you manage to put together enough to buy some land near the village of {s7}. There you become a free farmer, and you soon begin to attract potential {reg59?husbands:wives}. In time, the villagers come to treat you as their local hero. You always receive a place of honour at feasts, and your exploits are told and retold in the pubs and taverns so that the children may keep a memory of you forever and ever.
; str_retirement_text_5|The silver you've saved doesn't last long, but it's enough to buy a small tavern in {s9}. Although the locals are wary of you at first, they soon accept you into their midst. In time, your growing tavern becomes a popular feast hall and meeting place. People come for miles to eat or stay there due to your sheer renown and the epic stories you tell of your adventuring days.
; str_retirement_text_6|You've saved wisely throughout your career, and now your silver and your intelligence allows you to make some excellent investments to cement your future. After buying several shops and warehouses in {s9}, your shrewdness turns you into one of the most prominent merchants in town, and you soon become a wealthy {reg59?woman:man} known as much for your trading empire as your exploits in battle.
str_retirement_text_7|У вас были земельные владения, пускай и небольшие, поэтому ваше будущее было более-менее предопределено. Вы обосновались в своем поместье {s7}, следили за деревней и полями, играли роль мирового судьи и выполняли обязанности перед сеньором. Вы были во главе его войск во время нескольких успешных кампаний, но к приключениям своей молодости вы так и не вернулись. У вас есть свой замок, земли и достаточно денег, так что вы можете позволить себе практически все, чего только пожелаете.
str_retirement_text_8|Вы отлично сумели позаботиться о себе. Ваши обширные владения и собранные в приключениях деньги позволят вам провести остаток жизни в богатстве. Вернувшись в свое имение {s8}, вы обращаетесь к политике и скоро становитесь значительной фигурой в королевстве вашего сеньора. Вы плетете интриги, охотитесь, пируете в роскошных залах, рассказывая гостям многочисленные истории о войне. Словом, все последующие годы проходят для вас просто отлично.
; str_retirement_text_9|As a reward for your competent and loyal service, your liege lord decrees that you be given a hereditary title, joining the major nobility of the realm. Soon you complete your investiture as lord of {s7}, and you become one of your liege's close advisors and adjutants. Your renown garners you much subtle pull and influence as well as overt political power. Now you spend your days playing the games of power, administering your great fiefs, and recounting the old times of adventure and glory.
; str_retirement_text_10|Though you started from humble beginnings, your liege lord holds you in high esteem, and a ripple of shock passes through the realm when he names you to the hereditary title of {reg59?ducessa:dux} of {s9}. Vast fiefs and fortunes are now yours to rule. You quickly become your liege's most trusted advisor, almost his equal. You are charged with much of the running of his realm, and you sit upon a throne in your own splendourous palace as one of the most powerful figures in Britannia and Hibernia.
; str_loot_village|attack innocent people
; str_steal_from_villagers|steal from poor people
str_rob_caravan|ограбить торговый караван
str_sell_slavery|продать людей в рабство
str_men_hungry|не иметь еды
str_men_unpaid|не иметь денег для жалованья
str_excessive_casualties|превращать любую битву в кровавую бойню для своих
str_surrender|сдаться врагу
str_flee_battle|сбежать с поля боя
str_pay_bandits|откупаться от бандитов
; str_fail_quest|fail a quest that we undertook on word of honour
; str_treason_one|honour
; str_missed_npc|fail.
str_squander_money|промотать доверенные деньги
str_murder_merchant|совершить хладнокровное убийство
str_round_up_serfs|поймать рабов по приказу аристократа
str_battle_fate_1|Мы разделились в пылу сражения
str_battle_fate_2|Меня ранили и оставили умирать
str_battle_fate_3|Удар врага лишил меня чувств
str_battle_fate_4|За меня требовали выкуп
str_battle_fate_5|Меня пленили, но мне удалось сбежать
; str_npc_morale_report|I'm {s6} your choice of companions, {s7} your style of leadership, and {s8} the general state of affairs.
; str_happy|happy with
str_content|нравится
str_concerned|не нравится
; str_not_happy|not at all happy with
str_miserable|отвратителен
str_morale_reg1|Боевой дух: {reg1}
str_bar_enthusiastic|люди в восторге
str_bar_content|люди довольны
str_bar_weary|люди устали
str_bar_disgruntled|люди недовольны
str_bar_miserable|люди в отчаянии
str_here_plus_space|тут
; str_npc1_intro|Salve, Warlord. My name is Caio. My father sent me.
; str_npc2_intro|Heill! My name is Egil.
; str_npc3_intro|{reg59?Who sent you? I'll never go back!:Do not come close to me. I am tired of being abused by every person that crosses my path!}
str_npc4_intro|Да?
; str_npc5_intro|Hello, traveler. Would you join me for a drink?
; str_npc6_intro|I have things to tell you. Listen carefully.
str_npc7_intro|Что вам надо? Не приближайтесь.
str_npc8_intro|Что тебе нужно?
; str_npc9_intro|You there, good {reg59?woman:man}. Be so kind as to fetch me another drink, eh?
; str_npc10_intro|God thee mid sie, {reg59?madame:sir}! Here's to the doom and downfall of all Welsh!
; str_npc11_intro|Heill, {reg59?my pretty:handsome}. I've been watching you a while.
; str_npc12_intro|Heill, {reg59?madame:sir}. Nice to meet you.
; str_npc13_intro|Yes? What do you need?
; str_npc14_intro|Hail, traveller. I am Ailchu, a Gael warrior. No doubt you've heard of me.
; str_npc15_intro|Yeia sou! Yeia sou! To your health, {reg59?madame:sir}. My name is Agathinos. Are you by any chance heading out of this place any time soon?
; str_npc16_intro|Ah... you... I...
; str_npc1_intro_response_1|Yes, I know. Tell me about yourself.
; str_npc2_intro_response_1|Speak, Egil.
; str_npc3_intro_response_1|Calm down. I intend you no harm. Why are you so afraid?
; str_npc4_intro_response_1|You're not very talkative, are you?
str_npc5_intro_response_1|С удовольствием. А с кем имею честь?...
; str_npc6_intro_response_1|Continue, friend.
str_npc7_intro_response_1|Простите. Мне показалось, что вы чем-то расстроены.
; str_npc8_intro_response_1|Merely to pass the time of day, foreigner, if you're not otherwise engaged.
; str_npc9_intro_response_1|You must have me confused with another person, sir.
; str_npc10_intro_response_1|Why do you say that, man?
; str_npc11_intro_response_1|Who are you, and why are you watching me?
; str_npc12_intro_response_1|So nice to meet you.
; str_npc13_intro_response_1|To pass the time of day with a fellow traveler, if you permit.
str_npc14_intro_response_1|Хм... Нет, не думаю.
; str_npc15_intro_response_1|I am. What concern is it of yours, may I ask?
; str_npc16_intro_response_1|Are you tongue-tied?
; str_npc1_intro_response_2|Yes, I know that he wants you to join me, but I do not need you. Farewell.
str_npc2_intro_response_2|Я найду занятие получше, приятель.
; str_npc3_intro_response_2|Run along now, girl. I have real work to do -- not whatever it is you fear I'll do.
str_npc4_intro_response_2|Нет.
str_npc5_intro_response_2|У меня нет на это времени.
str_npc6_intro_response_2|Я найду занятие получше, приятель.
str_npc7_intro_response_2|Ладно, ладно. Не смею вас беспокоить.
str_npc8_intro_response_2|Ничего, прекрасная госпожа. Ваш неприступный взгляд не оставляет мне ни малейшей надежды. Прощайте.
str_npc9_intro_response_2|Сам сбегаешь, приятель!
; str_npc10_intro_response_2|That's arrogant talk, and I'll hear none of it. Good day to you.
; str_npc11_intro_response_2|Oh, I have no time for this!
str_npc12_intro_response_2|Простите, но сейчас у меня есть другие дела.
str_npc13_intro_response_2|Ничего. Простите.
str_npc14_intro_response_2|Нет. И не горю желанием услышать, если честно.
str_npc15_intro_response_2|По-моему, это не ваше дело, господин.
; str_npc16_intro_response_2|I'm going. When you learn to talk, let me know.
; str_npc1_backstory_a|Warlord, I am the youngest son of the man known as the old Roman. As you know, my family is a legend in this area. We preserve the history of our ancestors, who patrolled Hadrian's Wall.
; str_npc2_backstory_a|I crave a little of your time, {reg59?madame:sir}. Listen to my story. I am important to you.
; str_npc3_backstory_a|I... I am sorry, but please understand. My life has been a living hell since I became a maid in the house of the jarl of Kennemer.
; str_npc4_backstory_a|I am a man of action. If you want a man of words, find a priest.
; str_npc5_backstory_a|I am Morgant from Bosvenegh. However, I am exiled from my homeland for now...
