
ui_music_volume|Volume de Música:
ui_casualties_sustained|Baixas Mantidas:
ui_advantage_change|Mudança de Vantagem = %c %d 
ui_overall_battle_casualties|Causalidades Gerais de Batalha:
ui_advantage_outnumbered| Você está desesperançosamente em desvantagem numérica.
ui_advantage_major_disadvantage| Você tem uma maior desvantagem.
ui_advantage_slight_disadvantage| Você está ligeiramente em desvantagem.
ui_advantage_balanced| A situação está equilibrada.
ui_advantage_fair_advantage| Você tem uma justa vantagem pra ganhar.
ui_advantage_greatly_favored| As chances de batalha o favorecem grandemente.
ui_tactical_advantage|Vantagem tática: %d (%s)
ui_order_group|Ordenar grupo:
ui_question_save_changes|Você fez alterações aos objetos. Você quer salvar as alterações?
ui_yes_save|Sim, salvar
ui_no_discard_changes|Não, descartar alterações
ui_everyone_control|Todos!
ui_everyone_around_control|Soldados próximos!
ui_others_control|Outros!
ui_question_give_up_fight|Desistir da luta?
ui_give_up|Desistir
ui_keep_fighting|Continuar lutando
ui_question_leave_area|Deixar Área
ui_cant_retreat_there_are_enemies_nearby|Não pode recuar. Há inimigos por perto!
ui_question_retreat_battle|Recuar da batalha?
ui_retreated_battle|%s foram afugentados.
ui_retreated_battle|%s foram afugentados.
ui_retreat|Recuar
ui_talk|Falar
ui_duel|Duelar
ui_mount|Montar
ui_riding_skill_not_adequate_to_mount|(Habilidade de equitação não adequada pra montar)
ui_dismount|Desmontar
ui_exit|Saída
ui_door_to|Porta para 
ui_open|Abrir
ui_equip|Equipar
ui_baggage|Bagagem
ui_access_inventory|Acessar Inventário
ui_chest|Baú
ui_passage|Passagem
ui_go|Ir
ui_retreat_battle|Recuar da Batalha
ui_leave_area|Deixar a Área
ui_reports|Quartel
ui_camp|Acampamento
ui_terrain|Terreno
ui_quests|Notas
ui_inventory|Inventário
ui_character|Personagem
ui_party|Exército
ui_paused|Pausado
ui_click_left_button_to_cancel_wait|Esperando... (Clique esquerdo para retornar)
ui_midnight|Meia-Noite
ui_late_night|Tarde da Noite
ui_dawn|Alvorada
ui_early_morning|De Manhã Cedo
ui_morning|Manhã
ui_noon|Meio-Dia
ui_afternoon|À Tarde
ui_late_afternoon|Fim de Tarde
ui_dusk|Crepúsculo
ui_evening|Noite
ui_midnight|Meia-Noite
ui_level_limit_reached|Nível Limite Atingido!
ui_explanation_level_limit|Saudação Aventureiro, Mount & Blade não foi ativado ainda e está sendo executado no modo de teste. Neste modo, o jogo é limitado ao nível 8. A fim de continuar a jogar, por favor reinicie o jogo e o ative com sua chave de série de 16 dígitos que está inclusa na caixa de sua cópia. Depois de ativar, você pode continuar jogando direto daqui. Agora, Mount & Blade irá salvar seu jogo e sair.
ui_time_limit_reached|Tempo Limite Atingido!
ui_explanation_time_limit|Saudação Aventureiro, Mount & Blade não foi ativado ainda e está sendo executado no modo de teste. Neste modo, o jogo é limitado a 30 dias de jogo. Na intenção de continuar a jogar, por favor reinicie o jogo e o ative com sua chave de série de 16 dígitos que está inclusa na caixa de sua cópia. Depois de ativar, você pode continuar jogando direto daqui. Agora, Mount & Blade irão salvar seu jogo e sair.
ui_target_lost|Alvo perdido
ui_waiting|Esperando.
ui_travelling_to|Viajando para 
ui_following|Seguindo
ui_accompanying|Acompanhando
ui_running_from|Fugindo de
ui_patrolling|Patrulhando
ui_patrolling_around|Patrulhando por aí
ui_holding|Segurando-se
ui_travelling|Viajando
ui_fighting_against|Lutando contra 
ui_speed_equals|Velocidade = %2.1f
ui_defenders|Guarnição:
ui_prisoners|Prisioneiros:
ui_1_hour|1 hora
ui_n_hours|%d horas
ui_between_hours|%d - %d horas
ui_combatants|Combatentes: %d
ui_party_size|Tamanho da Tropa: %d
ui_party_size_between|Tamanho da Tropa: %d - %d
ui_merchant|Mercador
ui_return|Retornar
ui_no_cost|Sem custo
ui_rename|Renomear
ui_use|Usar
ui_destroy|Destruir
ui_destructible_target|Alvo destrutível
ui_tutorial_inventory|Esta é a tela de comércio. Mantenha pressionada a tecla control enquanto clica em um item para rapidamente adquirir ou vender.
ui_head_armor|Armadura de Cabeça: %d
ui_body_armor|Armadura de Corpo: %d
ui_leg_armor|Armadura de Perna: %d
ui_encumbrance|Estorvo: %2.1f
ui_you_dont_have_value|Você não tem %s.
ui_merchant_cant_afford_value|%s: Não posso pagar %s. Eu tenho somente %s.
ui_merchant_pay_whatever|Tudo bem, pague o que puder.
ui_merchant_think_of_something_else|Hmm. Vamos pense em outra coisa.
ui_dumping_value_items|%d Itens serão perdidos permanentemente, tem certeza?
ui_dumping_value_item|Um item será perdido permanentemente, tem certeza?
ui_question_slaughter_food_and_eat|Abater este %s e comê-lo?
ui_money_value|Dinheiro: %s
ui_dump|Descartar
ui_outfit|Vestimenta
ui_arms|Braços
ui_horse|Cavalo
ui_food|Comida
ui_reclaim_your_sold_goods|Recupere sua mercadoria vendida antes de comprar isso!
ui_return_your_bought_goods|Devolva sua mercadoria comprada antes de vender isso!
ui_polearm_no_shield|Arma de Haste (sem escudo)
ui_polearm|Arma de Haste
ui_two_handed|Duas-Mãos
ui_two_handed_one_handed|Duas-Mãos / Uma-Mão
ui_one_handed|Uma-Mão
ui_return_price|Retornar preço: %d
ui_sell_price|Preço de Venda: %d
ui_reclaim_price|Recuperar preço: %d
ui_buying_price|Preço de Compra: %d
ui_default_item|Item padrão
ui_buying_price_free|Preço de compra: Grátis
ui_weight|Peso: %2.1f
ui_plus_value_to_head_armor|+%d para Armadura de Cabeça
ui_plus_value_to_body_armor|+%d para Armadura de Corpo
ui_plus_value_to_leg_armor|+%d para Armadura de Perna
ui_swing|Balanço: %d%s
ui_damage|Dano: %d%s
ui_thrust|Estocada: %d%s
ui_accuracy|Precisão: %d
ui_speed_rating|Velocidade estimada: %d
ui_value_to_damage|%c%d ao dano
ui_value_to_morale|+%1.1f para moral da Tropa
ui_resistance|Resistência: %d
ui_size|Tamanho: %d
ui_weapon_reach|Alcance da Arma: %d
ui_armor|Armadura: %d
ui_speed|Velocidade: %d
ui_maneuver|Manobra: %d
ui_charge|Colisão: %d
ui_hit_points|Vitalidade: %d/%d
ui_requires_value_difficulty|Requer %s: %d
ui_bonus_against_shields|Bônus contra escudos
ui_cant_be_used_to_block|Não pode ser usado pra bloquear
ui_troop_cant_use_item|%s: Eu não posso usar esse item!
ui_notification_riding_skill_not_enough|Sua Habilidade de Equitação não é alta o suficiente pra montar este cavalo.
ui_notification_requirements_not_met|Você não tem as habilidades necessárias ou atributos para esta arma.
ui_notification_payment_value|Você deve pagar %s.
ui_notification_payment_receive_value|Você receberá %s.
ui_one_handed_weapons|Armas de Uma-Mão
ui_two_handed_weapons|Armas de Duas-Mãos
ui_polearms|Armas de Haste
ui_archery|Arcos
ui_crossbows|Bestas
ui_throwing|Arremessos
ui_firearms|Fundas
ui_reset|Redefinir
ui_release_one|Liberar Um
ui_move_up|Mover pra Cma
ui_move_down| Mover pra Baixo
ui_upgrade_one|Promover Um
ui_party_skills|Habilidades de Grupo
ui_morale|Moral: %s
ui_terrible|Terrível
ui_very_low|Muito Baixa
ui_low|Baixa
ui_below_average|Abaixo da Média
ui_average|Média
ui_above_average|Acima da Média
ui_high|Alta
ui_very_high|Muito Alta
ui_excellent|Excelente
ui_starving|Morrendo de Fome! %d%%
ui_weekly_cost_value|Custo Semanal: %s
ui_company|Empresa: %d / %d
ui_prisoners_equal_value|Prisioneiros: %d / %d
ui_choose_prisoners|Escolher Prisioneiros
ui_choose_companions|Escolher Companheiros
ui_rescued_prisoners|Prisioneiros Resgatados
ui_captured_enemies|Inimigos Capturados
ui_disband|Dispensar
ui_take_prisoner|Levar Prisioneiro
ui_take_back|Pegar de Volta
ui_give|Conceder
ui_take|Pegar
ui_sell|Vender
ui_hire|Contratar
ui_notification_cant_hire|(Não pode contratar: sem dinheiro suficiente)
ui_uncapture|Liberar
ui_capture|Capturar
ui_party_capcity_reached|(Capacidade de Tropa Alcançada)
ui_all|Todos
ui_joining_cost_weekly_wage|Custo de Adesão: %d, Salário Semanal: %d
ui_weekly_wage|Salário Semanal: %d Peningas
ui_price|Preço: %d
ui_number_ready_to_upgrade|%d Prontos pra serem Promovidos.
ui_upgrade_to_value| Promover a %s (% dp)
ui_notification_no_slot_for_upgrade|Sem espaço para Promover a %s!
ui_shield_broken|Escudo Quebrado.
ui_shield_cracked|Escudo Rachado.
ui_shield_deformed|Escudo Quebrado.
ui_you_hit_a_friendly_troop|Você acertou uma tropa amigável!
ui_hit_shield_on_back|Escudo acertado nas costas!
ui_delivered_couched_lance_damage|Causou dano de lança deitada!
ui_received_couched_lance_damage|Recebeu dano de lança deitada!
ui_speed_bonus_plus|Bônus de velocidade: + %d %%
ui_speed_bonus|Bônus de velocidade: %d %%
ui_cant_reload_this_weapon_on_horseback|Não se pode recarregar esta arma a cavalo.
ui_no_more_bolts|Não há mais projéteis...
ui_you_are_not_carrying_any_bolts|Você não está carregando quaisquer projéteis.
ui_no_more_arrows|Não há mais flechas...
ui_you_are_not_carrying_any_arrows|Você não está carregando nenhuma flecha.
ui_head_shot|Tiro na Cabeça!
ui_delivered_number_damage|Você causou de Dano: %d.
ui_delivered_number_damage_to_horse|Você causou de Dano ao Cavalo: %d
ui_horse_charged_for_number_damage|Cavalo causou Dano de colisão: %d
ui_received_number_damage|Dano causado a Você: %d
ui_horse_received_number_damage|Dano causado ao  Cavalo: %d
ui_value_killed_teammate|%s matou um colega de equipe!
ui_horse_fell_dead|Cavalo caiu morto...
ui_horse_crippled|Cavalo Aleijado...
ui_shot_difficulty|Dificuldade do Tiro: %2.1f
ui_you_have_improved_your_proficiency_in_value_to_number|Você melhorou sua Proficiência em %s para %d.
ui_your_proficiency_in_value_has_improved_by_number_to_number|Sua proficiência em %s melhorou em +%d para %d.
ui_value_killed_by_value|%s morto por %s.
ui_value_fell_dead|%s caiu morto.
ui_value_knocked_unconscious_by_value|%s batido inconsciente por %s.
ui_value_fell_unconscious|%s caiu inconsciente.
ui_troop_routed|%s foram afugentados.
ui_troop_panicked|%s entraram em pânico.
ui_troop_fled|%s fugiram da batalha.
ui_you_got_number_experience|Experiência Obtida: %d.
ui_you_have_advanced_to_level_number|Você avançou para o nível %d !
ui_value_has_advanced_to_level_number|%s avançou para o nível %d.
ui_you_got_value|Você obteve %s.
ui_new_quest_taken|Nova Missão: %s.
ui_quest_completed_value|Missão Completa: %s.
ui_quest_succeeded_value|Missão Sucedida: %s.
ui_quest_failed_value|Missão falhada: %s.
ui_quest_concluded_value|Missão Concluída: %s.
ui_quest_cancelled_value|Missão cancelada: %s.
ui_lost_value| (Perdeu: %s)
ui_items_lost| (Itens perdidos:
ui_party_has_nothing_to_eat|A tropa não tem o que comer!
ui_days_training_is_complete|Treino do dia está completo...
ui_total_experience_gained_through_training_number|Total de experiência ganha através do treinamento: %d
ui_some_soldiers_are_ready_to_upgrade|Alguns soldados estão prontos para promoção.
ui_number_of_companions_exceeds_leadership_limit| Número de companheiros excede limite de Liderança.
ui_number_of_prisoners_exceeds_prisoner_management_limit| Número de prisioneiros excede limite de gestão de prisioneiros.
ui_party_morale_is_low|A moral da Tropa está baixa!
ui_and_one_space| e
ui_has_deserted_the_party|desertou da Tropa.
ui_have_deserted_the_party|desertaram da Tropa.
ui_weekly_report|Relatório Semanal
ui_shared_number_experience_within_party|Experiência compartilhada dentro do grupo: %d.
ui_got_item_value|Item Obtido: %s.
ui_game_saved_successfully|Jogo Salvo com Sucesso.
ui_autosaving|Salvando automático...
ui_quick_saving|Salvando-rápido...
ui_cant_quick_save|Não é possível Salvar Rápido durante a batalha...
ui_screenshot_taken_to_value|Screenshot está salva em %s
ui_screenshot_failed|Não é possível salvar a screenshot.
ui_value_joined_your_party|%s juntou-se à sua Tropa.
ui_value_joined_party_as_prisoner|%s juntou-se à sua Tropa como prisioneiro.
ui_value_has_joined_party|%s juntou-se à sua Tropa.
ui_value_has_been_taken_prisoner|%s foi levado prisioneiro.
ui_value_left_the_party|%s deixou o grupo.
ui_number_values_left_the_party|%d %s(s) deixaram o grupo.
ui_number_value_left_the_party|%d %s deixou o grupo.
ui_your_relations_with_value_has_improved_from_number_to_number|Sua relação com %s melhorou de %d para %d.
ui_your_relations_with_value_has_deteriorated_from_number_to_number|Sua relação com %s deteriorou-se de %d para %d.
ui_you_lost_value|Você perdeu: %s.
ui_lost_item_value|Item Perdido: %s.
ui_got_number_value|Tem %d %s.
ui_lost_number_value|Perdeu %d %s.
ui_set_default_keys|Definir teclas padrão
ui_undo_changes|Desfazer alterações
ui_press_a_key|Pressione uma tecla
ui_return_to_game|Retornar ao Jogo
ui_options|Opções
ui_save_and_exit|Salvar & Sair
ui_save|Salvar
ui_save_as|Salvar Como
ui_quit_without_saving|Sair Sem Salvar
ui_empty_slot|Eslote Vazio
ui_game_saved|JogoSalvo...
ui_confirm_overwrite|JogoSalvo para %s será sobrescrito. Tem certeza?
ui_dynamic_lighting|Iluminação Dinâmica
ui_character_shadows|Sombras do Personagem
ui_grass_density|Densidade da Grama:
ui_environment_shadows|Sombras de Ambiente
ui_realistic_shadows_on_plants|Sombras Realistas nas Plantas:
ui_particle_systems|Sistemas de Partículas
ui_gamma|Gama do Monitor:
ui_character_detail|Detalhe do Personagem:
ui_character_shadow_detail|Detalhes de Sombra do Personagem:
ui_blood_stains|Manchas de Sangue:
ui_on|Ligado
ui_off|Desligado
ui_near_player_only|Somente próximo ao jogador
ui_default|Padrão
ui_3d_grass|Grama 3D:
ui_number_of_ragdolls|Número de Bonecos de Pano:
ui_number_of_corpses|Número de Cadáveres:
ui_unlimited|Ilimitado
ui_anisotropic_filtering|Filtragem Anisotrópica
ui_fast_water_reflection|Reflexos de Água Rápidos
ui_maximum_framerate|Taxa de Quadros Máxima:
ui_show_framerate|Mostrar Taxa de Quadros:
ui_estimated_performance|Desempenho Estimado: %d%%
ui_change_graphics_settings_explanation|Algumas alterações feitas terão efeito quando você entrar em uma nova área.
ui_start_tutorial|Jogar o Tutorial
ui_start_a_new_game|Iniciar um Novo Jjogo
ui_restore_a_saved_game|Carregar Jogo
ui_exit_to_windows|Sair
ui_credits|Créditos
ui_version_value|v%s
ui_active_quests|Buscas Ativas
ui_finished_quests|Buscas Terminadas
ui_given_on_date|Dada em: %s
ui_days_since_given|Dias desde que foi dada: %d
ui_quest_progression_number|Progressão da Busca: %d %%
ui_too_many_quests|Buscas Demais
ui_ok|OK
ui_move_forward|Seguir em Frente
ui_move_backward|Mover para Trás
ui_move_left|Mover para a esquerda
ui_move_right|Mover para a direita
ui_action|Ação
ui_jump|Salto
ui_attack|Atacar
ui_parry_then_attack|Contra Atacar
ui_defend|Defender
ui_kick|Chutar
ui_equip_weapon_1|Equipar o Item 1
ui_equip_weapon_2|Equipar o Item 2
ui_equip_weapon_3|Equipar o Item 3
ui_equip_weapon_4|Equipar o Item 4
ui_equip_next_weapon|Equipar Próxima Arma
ui_equip_next_shield|Equipar Próximo Escudo
ui_sheath_weapon|Arma da Bainha
ui_character_window|Janela de Personagem
ui_inventory_window|Janela de Inventário
ui_party_window|Janela do Grupo
ui_quests_window|Janela de Buscas
ui_game_log_window|Janela do Log do jogo
ui_leave_location_retreat|Deixar Local/Retirar
ui_zoom|Zoom
ui_view_outfit|Ver Vestimenta
ui_toggle_first_person_view|Alternar Vista em Primeira Pessoa
ui_view_orders|Ver Ordens
ui_quick_save|Salvar Rápido
ui_no_key_assigned|Nenhuma chave atribuída
ui_new_enemies_have_arrived|Novos inimigos chegaram.
ui_reinforcements_have_arrived|Reforços chegaram.
ui_report_casualties|Relatório de Vítimas
ui_report_experience|Relatório de Experiência
ui_current_level_value|Nível Atual: %d
ui_base_attribute_value|Atributo Base: %s
ui_battle_controls|Controles de Batalha
ui_map_controls|Controles de Mapa
ui_general_controls|Controles Gerais
ui_zoom_in|Mais Zoom
ui_zoom_out|Menos Zoom
ui_wait|Esperar
ui_take_screenshot|Capturar Tela
ui_randomize|Aleatorizar
ui_hint|Erudição
ui_press_left_mouse_button_to_continue|Pressione o botão esquerdo do mouse para continuar...
ui_loot|Saquear
ui_chest|Baú
ui_cut_short|c
ui_pierce_short|p
ui_blunt_short|b
ui_battle|Batalha
ui_siege|Cerco
ui_troops|Tropas:
ui_loading_module_info_file|Carregando Arquivo Module Info...
ui_processing_ini_file|Processando Arquivo INI...
ui_loading_music|Carregando Música...
ui_loading_data|Carregando Dados...
ui_loading_setting_data|Carregando Dados de Configuração...
ui_loading_textures|Carregando Texturas...
ui_finished|Terminado.
ui_creating_game|Criando Jogo...
ui_loading_savegame_file|Carregando Arquivo JogoSalvo...
ui_loading_map_file|Carregando Arquivo Mapa...
ui_initializing_map|Inicializando Mapa...
ui_launching_game|Lançando Jogo...
ui_capital_battle|BATALHA:
ui_capital_versus|..--CONTRA...
ui_tracks|Trilhas
ui_battleground|Terreno de Batalha
ui_order_1|Selecionar Ordem 1
ui_order_2|Selecionar Ordem 2
ui_order_3|Selecionar Ordem 3
ui_order_4|Selecionar Ordem 4
ui_order_5|Selecionar Ordem 5
ui_order_6|Selecionar Ordem 6
ui_order_button_hold_this_position|Manter Esta Posição !
ui_order_button_follow_me|Seguir-me !
ui_order_button_charge|Atacar !
ui_order_button_stand_ground|Aguentar Firme !
ui_order_button_retreat|Recuar !
ui_order_button_advance|Avançar Dez Passos !
ui_order_button_fall_back|Recuar Dez Passos !
ui_order_button_spread_out|Espalhar !
ui_order_button_stand_closer|Ajuntar !
ui_order_button_mount_horses|Montar !
ui_order_button_dismount|Desmontar !
ui_order_button_hold_fire|Cessar Ataque !
ui_order_button_fire_at_will|Disparar À Vontade !
ui_order_button_use_blunt_weapons|Usar Apenas Armas de Contusão !
ui_order_button_use_any_weapon|Usar Armas À Vontade !
ui_order_button_movement_orders|Ordens de Movimento:
ui_order_button_formation_orders|Ordens de Formação:
ui_order_button_fire_orders|Ordens de Disparo:
ui_follow_me_e_|%s, Seguir-Me !
ui_charge_e_|%s, Atacar !
ui_stand_ground_e_|%s, Aguentar Firme !
ui_retreat_e_|%s, Retirar !
ui_mount_horses_e_|%s, Montar !
ui_dismount_e_|%s, Desmontar !
ui_advance_e_|%s, Avançar Dez Passos !
ui_fall_back_e_|%s, Recuar Dez Passos !
ui_stand_closer_e_|%s, Ajuntar !
ui_spread_out_e_|%s, Espalhar !
ui_use_blunt_weapons_e_|%s, Usar Apenas Armas de Contusão !
ui_use_any_weapon_e_|%s, Usar Armas À Vontade !
ui_hold_fire_e_|%s, Cessar Ataque !
ui_fire_at_will_e_|%s, Disparar À Vontade !
ui_hold_this_position_e_|%s, Manter Esta Posição !
ui_infantry|Infantaria
ui_archers|Arqueiros
ui_cavalry|Cavalaria
ui_companions|Companheiros
ui_everyone_hear_me|Todos, ouçam-me!
ui_everyone|Todos
ui_everyone_around_me|Soldados Próximos
ui_str_hear_me|%s, Ouçam-me!
ui_str_and_str|%s E %s
ui_str_comma_str|%s, %s
ui_need_to_learn_prisoner_management|O número de prisioneiros é determinado pelo tamanho de seu exército.
ui_game_log|Log de Jogo
ui_recent_messages|Mensagens Recentes
ui_custom_battle|Batalha Personalizada
ui_player|Jogador
ui_value_denars|%d Peningas
ui_back|Voltar
ui_forward|Avançar
ui_display_on_map|Mostrar no Mapa
ui_info_pages|Conceitos de Jogo
ui_troops2|Personagens
ui_locations|Locais
ui_click_button_to_view_note|Clique em um link para ver as notas
ui_this_page_contains_no_information|Esta página não contém informação
ui_other_pages_that_link_here|Outras páginas que lincam aqui:
ui_report_is_value_days_old| (Relatório é de %d dias atrás)
ui_report_is_current| (Relatório é atual)
ui_button_party_member_healthy_total|%s (%d/%d)
ui_button_party_member_total|%s (%d)
ui_button_party_member_hero_percentage_wounded|%s (%d%% - Feridos)
ui_button_party_member_hero_percentage|%s (%d%%)
ui_percentage_value|%d%%
ui_full|Cheio
ui_quick|Rápido
ui_none|Nenhum
ui_change|Alterar
ui_how_to_change|Como alterar isso?
ui_change_directx_explanation|Você pode alterar o método de renderização entre DirectX 7 e DirectX 9, clicando no botão Configurar no menu de lançamento que vem à tona quando você iniciar o jogoda primeira vez.
ui_dropping_picking_up|Soltando %s; pegando %s.
ui_dropping|Soltando %s.
ui_picking_up|Pegando %s.
ui_unable_to_take|Incapaz de pegar isto.
ui_age|Idade
ui_cannot_be_used_on_horseback|Não pode ser usado a cavalo
ui_enable_vertex_shaders2|Método de Renderização:
ui_screen_size2|Resolução da Tela:
ui_use_desktop_resolution2|Use a Resolução da Área de Trabalho
ui_shadow_quality2|Qualidade de Sombra:
ui_m_low2|Baixa
ui_m_high2|Alta
ui_m_ultra_high2|Ultra Alta
ui_off2|Desligado
ui_group_header|Classe de Tropa
ui_group_rename|Renomear Grupo
ui_group_1|Infantaria
ui_group_2|Arqueiros
ui_group_3|Cavalaria
ui_group_4|Lanceiros
ui_group_5|Escaramuçadores
ui_group_6|Arqueiros Montados
ui_group_7|Sem nome 1
ui_group_8|Sem nome 2
ui_group_9|Sem nome 3
ui_group_rename|Renomear Grupo
ui_group_close|Fechar
ui_party_b_group_information|%s pertence ao grupo de %s
ui_thrown_or_s|Arremesso/%s
ui_ranged_damage|Longo: %d%s
ui_overall_quality|Qualidade Geral
ui_shader_quality|Qualidade de Sombra:
ui_flora_lod_detail|Detalhe das Árvores:
