ip_armies_size|Tamaño del ejército
ip_character_backgrounds_text|Un personaje de jugador en las tierras del norte puede elegir venir desde una variedad de trasfondos sociales. Esta elección afectará no sólo a sus habilidades iniciales y equipamiento, sino también al curso de su carrera como aventurero.^^La guerra y la política en las tierras del norte están tradicionalmente dominadas por hombres aristocráticos. Un personaje noble de jugador puede verse invitado a este club de 'chicos viejos' rápidamente, pero las mujeres y plebeyos pueden encontrar algunos obstáculos extra en el camino. Si elige empezar el juego como un hombre noble, puede pensar en ello como la configuración 'fácil'. Empezar como mujer noble o como hombre plebeyo es algo más difícil, y empezar como mujer plebeya es probablemente la forma más desafiante de empezar un juego.^^No obstante, las mujeres tienen algunas ventajas iniciales. Simplemente iniciándose con las armas, una guerrera atraerá la atención hacia sí, y puede ver que puede aumentar su reputación más rápidamente que un hombre. También, es tradicionalmente más fácil para una jumer subir en la escala social de lo que es para un hombre, y una mujer puede encontrar que puede conseguir más de una alianza conyugal estratégica que su homólogo masculino.^^Finalmente, tenga en mente que el juego no pone ningún límite en la ascendente mobilidad de personajes basado en su trasfondo. Noble o plebeyo, hombre o mujer, casado o soltero -- cualquiera puede subir para convertirse en gobernante de todas las tierras del norte, si es lo bastante valiente, afortunado o ingenioso.
ip_military_campaigns|Campañas militares
ip_military_campaigns_text|Cuando los reinos de las tierras del norte van a la guerra, sus ejércitos tienen dos opciones ofensivas básicas. Pueden intentar atacar aldeas y pasar el tiempo en el campo, dañando el prestigio y la economía de su enemigo. O pueden intentar tomar castillos o ciudades, obteniendo territorio. La segunda opción puede implicar largos y sangrientos asedios, pero darán paso a resultados más decisivos.^^Es importante notar que los reinos de las tierras del norte no manejan ejércitos inmóviles, los que permanecen en el campo tanto tiempo como el gobernante desee. Preferiblemente, los reinos de las tierras del norte están protegidos por los nobles, sus compañeros, y las recaudaciones feudales que levantan. A veces, esos nobles lanzan sus propios ataques privados a territorio enemigo, pero los eventos más decisivos normalmente tendrán lugar cuando los las grandes multitudes se reunan. El mariscal del reino, un noble seleccionado por el rey, citará a la multitud antes de la campaña y les llevará fuera de la batalla. No obstante, debe debe procurar no mantenerles en el campo durante demasiado tiempo. De otro modo, la multitud se desintegrará, pues la caída de los vasallos para perseguir sus propios asuntos, y el ejército será vulnerable a un contraataque.^^Por esta razón, el ritmo de las guerras en las tierras del norte a menudo se parece al ritmo de un duelo entre dos combatientes individuales. Un bando reunirá su fuerza y buscará estallar contra el territorio enemigo. Si el mariscal invierte demasiado poco tiempo en reunir a los vasallos, puede no ser capaz de hacer daño real. Si invierte demasiado tiempo, la campaña puede acabar antes de que haya empezado. Un gran reino tendrá ventaja sobre uno más pequeño, justo como un fornido combatiente tiene ventaja contra un enemigo más pequeño, pero una cohesión política del reino puede también ser un factor, como un luchador con gran resistencia puede sobrevivir a su oponente. A veces, los ejércitos de dos reinos se encontrarán, resultando en una batalla mayor en la que números y moral decidirán el resultado.^^Los reinos tendrán una inteligencia imperfecta sobre sus enemigos. Acacar a los señores necesitará frecuente exploración del territorio enemigo para determinar qué fortalezas pueden ser vulnerables. Un ejército defendiendo su hogar se beneficiará de las alarmas levantadas por castillos y ciudades, lo que ofrecerá inteligencia sobre los movimientos del enemigo en el área. Tal inteligencia será imprecisa, sin embargo, particularmente en lo que se refiere a números. Una fuerza defensiva que parta a levantar un asedio o a rescatar una aldea puede ser capaz de abrumar a un atacante no preparado -- o puede calcular mal, y encontrarse ella abrumada. Los atacantes, uno por uno, deben de ser cuidadosos en lo lejos que avanzan en territorio enemigo, los mariscales agresivos aventurándose más que los precavidos.^^Se esperará que los jugadores se unan a su facción de la campaña militar, uniéndose a la multitud, o explorando territorio enemigo. Algunos jugadores pueden encontrar que el mariscal de su reino es demasiado precavido, o demasiado agresivo, para su gusto. En este caso, pueden conspirar con otros señores para intentar reemplazar al mariscal, o conseguir apoyo para convertirse en mariscal ellos mismos.^^La mayoría de las guerras son de duración limitada. Un rey que va a la guerra se sentirá, en nombre del honor, obligado a perseguir el conflicto por un corto tiempo. No obstante, al menos que esté golpeando completamente a su enemigo, puede empezar pronto a buscar un modo de salir del conflicto, no sea que se haga a sí mismo vulnerable a un ataque de una tercera parte. Los gobernantes de las tierras del norte están son conscientes de que el aliado de hoy puede ser el enemigo de mañana, y vice versa.
ip_siege_warfare|Guerra de asedio
ip_siege_warfare_text|Viking Conquest ofrece precisa guerra de asedio al período de la Edad Oscura. Cuando el jugador asedia un asentamiento, dos caminos pueden ser tomados para conquistar el lugar: por debilitamiento (hambre, enfermedades...) o por asalto.^^en el primer caso, el objetivo del jugador es bloquear el asentamiento e impedir que reciba suministros o refuerzos. Al mismo tiempo pueden desempeñarse varias acciones para socavar la moral, extender la enfermedad o destruir las reservas de comida del asentamiento. Este tipo de acción durará más tiempo, pero también evitará un gran número de causalidades.^^En el segundo caso, la acción directa es emprendida, proveer equipamiento de asalto está disponible o acciones preparatorias han sido tomadas, tales como desgastar a los defensores o quemar sus casas y muros. Esta opción debería de ser empleada cuando el jugador se sienta preparado para lanzar un asalto a gran escala para conquistar el asentamiento. Tiene la ventaja de llegar a la victoria más rápidamente, pero normalmente a un relativamente alto precio en vidas.^^Además, cuando el asentamiento tiene un puerto, el jugador puede equipar una flota y asaltar el puerto, llevando un asalto desde el mar.^^La complejidad y características del nuevo sistema de asedio son demasiado numerosas para describirlas aquí con detalle. Lo mejor es descubrir y desarrollar estrategias por usted mismo.
ip_sea_travel|Viaje por mar
ip_sea_travel_text|Ferris en el mapa del mundo transportan a su grupo entre dos estaciones. Mientras esto es barato cuando su grupo es pequeño, se encarece cuando el grupo crece.^^Para viajar largas distancias en el mar, uno puede viajar de un puerto de ciudad a otro. Esto puede iniciarse desde el menú de ciudad o tomando al constructor de buques del puerto parte de la escena de la ciudad. Parecido a los ferris, este servicio se hace más caro con el tamaño del grupo.^^Cuando usted tiene su propio barco, puede embarcar desde el puerto clickeando en 'Navegar desde puerto' en el menú de ciudad. Volverá al mapa, pero esta vez en el mar, en su barco. El viaje por mar funciona como el viaje por tierra.^^Hay dos formas distintas de volver a tierra. Puede clickear en un puerto o utilizar un punto de atraque. Para encontrar un punto de atraque, viaje cerca de la costa o click derecho sobre su grupo y seleccione 'encontrar el punto de atraque más cercano.' Como con los puertos, click en el punto de atraque para desembarcar. En cualquier caso, sus barcos permanecerán en la posición cuando desembarque.^^Si el tamaño de su grupo es mayor que la capacidad de sus barcos, usted no podrá embarcar. En este caso, puede establecer cuarteles (menú Campamento) en su posición actual y otros cuarteles en su posición objetivo, después transporte a su ejército paso a paso entre ambos cuarteles.^^Al viajar por mar en el mapa de campaña, siempre puede comprobar el clima actual. Tras clickear en el botón 'Campamento', las condiciones actuales se muestran en el lado izquierdo. Si las condiciones climáticas cambian, será notificado mediante un mensaje en la esquina inferior izquierda de la pantalla.^^Por una parte, el clima ventoso es bueno para la velocidad de sus barcos en el mapa de campaña y en batallas marinas. Por otra parte, la posibilidad de que sus barcos sean dañados también crece. El daño empeora las condiciones de un barco, ralentizándolo o incluso destruyéndolo cuando las condiciones son 'Peligrosas.' Usted puede comprobar las condiciones de sus barcos clickeando en 'Campamento' y después en 'Flota.'^^Finalmente, el clima también determina el comportamiento de los barcos en batalla. Esto siempre puede comprobarse de antemano clickeando en 'Campamento' y después en 'Comorobar ubicación.'^^El viaje por mar es peligroso y puede bajar la moral de sus tropas. Cuando esto pase, será notificado mediante un mensaje. A las tropas les disgusta especialmente pasar la noche en el mar. Por lo tanto, considere trazar su ruta para viajar por tierra de noche. Si la moral en el mar es demasiado baja, las tropas pueden amotinarse.^^Algunas tropas como los Marineros y ciertos Nórdicos son experimentados marineros e incrementarán la velocidad por mar de sus barcos en el mapa de campaña. Puede comprobar el efecto en el lado izquierdo del menú de campamento.^^Si hay más de un barco en su flota, la velocidad de la flota es determinada por el barco más lento. No obstante, tan pronto como consiga más de un barco en su flota, puede dividirla. para hacer eso, viaje cerca de la orilla. Después clickee en 'Campamento', 'Flota' y finalmente en 'Dejar barco en la orilla' para dejar el barco(s) más lento(s) allí. Para unir los barcos de nuevo, debe llevarlos todos a un puerto. Para obtener una visión de todos sus barcos en su ubicación, clickee en 'Personaje' y después en 'Barcos.'
ip_sea_battle|Batalla naval
ip_sea_battle_text|Én algún punto tras empezar a viajar por mar, participará en una batalla naval.^^Antes de nada, necesita saber cómo controlar su barco. Puede dar la orden de de remar hacia delante, hacia atrás, o quedarse quieto. Las flechas de arriba y abajo cambian entre las órdenes. También puede dar la orden de ir recto, a estribor o a babor. Las teclas de flecha arriba y abajo cambian entre estas órdenes.^^Las órdenes actuales están representadas por flechas alrededor de su barco en la esquina superior derecha. Presione Intro para desplegar la vela y Retroceso para obtener una vista táctica de la escena. Purebe estas órdenes para comprobar la conducción del barco y el efecto del viento.^^Tan pronto como se acerce lo suficiente a un barco enemigo, el abordaje comenzará. Los barcos se reúnen y la lucha comienza.^Si es afortunado, puede capturar el buque insignia enemigo tras ganar la batalla.^^En una batalla naval en la que usted tiene varios barcos, you puede dar una orden 'mantener posición' o 'cargar' a sus barcos, que son asignados a la novena 'división.' Las primeras tropas de la lista de su ejército estarán con usted en su buque insignia. El resto de tropas estará en los barcos restantes. Uno puede cambiar el buque insignia en un puerto o mientras acampa en el mar.^^Con una flota razonablemente grande, uno puede atacar ciudades desde el lado del mar. Para ello, simplemente clickee en el puerto de la ciudad enemiga y tendrá la opción de atacarlo en cuanto lo alcance en el primer desembarco.
ip_ship_info|Barcos
ip_ship_info_text|Antes o después, querrá invertir en un barco. Hay varias razones para hacerlo. A largo plazo, es la forma más barata de navegar por mar. Le da total libertad de movimiento en el mar. Abre nuevas oportunidades de comercio y ataque.^^Por otra parte, hay inconvenientes. Antes de nada, un barco es caro, y necesitará ahorrar algún dinero para permitirse uno. Además, un barco sólo puede cargar un número limitadode tropas.^^Otra consideración importante es la velocidad. Con un barco más rápido, podrá atrapar o huir más fácilmente de otros barcos. La velocidad de un barco se determina por su tipo y condición.^^Finalmente, la madera utilizada para construir un barco afecta a su durabilidad. Mientras los barcos hechos de roble son muy duraderos, los de haya necesitan ser reparados más a menudo.^^Cuando se siente listo para comprar un barco, clickee en 'Ver los barcos' en el menú de ciudad de un puerto o hable con el constructor de buques. Los puertos de ciudad pueden tener tres barcos a la venta, per a veces no hay ninguno disponible. El tipo y cantidad de barcos ofrecidos cambia cada vez. Mientras todos los puertos de ciudad ofrecen barcos, uno encuentra los mejores barcos en puertos nórdicos y frisios. Para ver su barco, puede clickear en 'Ver los barcos' en el menú de ciudad o vaya hacia el muelle.^^En un puerto, puede personalizar la vela de un barco o pintar cualquier barco hecho de roble. Hay una vela especial reservada para los barcos del jugador. Puede ser cambiada con un editor gráfico dedicado (no incluído en Viking Conquest). Para más información, Vea la carpeta 'Sus velas personalizadas' entre los archivos de este DLC.^^Cuando tenga un barco, el constructor de buques interactuará con usted de forma distinta y no dudará en ofrecerle consejo. Los constructores de buques también ofrecen construcciones personalizadad de barcos. Los mejores barcos pueden requerir materiales especiales que usted necesitará obtener y llevar con usted. Los mejores barcos también requieren más tiempo de construcción y los constructores de buques de mayor talento están en los puertos nórdicos. Los primeros siete barcos que construya pueden ser nombrados libremente en el menú de personalización de barco.^
ip_wounds|Heridas
ip_wounds_text|El jugador puede recivir heridas específicas debilitantes en batalla. Los médicos de las mayores ciudades tratarán esas heridas por un precio, tras lo que le sanarán dentro de unos pocos días. Cualquier efecto negativo será entonces eliminado. Si la herida no es tratada tras algún tiempo, se hará cicatriz, y los efectos negativos serán entonces permanentes.
ip_traits|Características
ip_traits_text|Cuando alcanza el nivel 13, puede obener una de estas características dependiendo de sus elecciones de habilidad:^^Berserker: Enfurecerse le dará momentáneamente velocidad y fuerza mejoradas en el fragor de la batalla. Esta ferocidad brutal will volverá su visión roja.^^Inspirador: Esta habilidad aprendida incrementará su liderazgo en batalla cuadno sus gritos de guerra fortalecen la ferocidad de sus hombres en combate.^^Duro: Esta habilidad hará a sus tropas moverse más rápido e incrementará su agilidad en la batalla.^^Fuerte: Preocuparse por el mantenimiento de los escudos y armaduras de sus hombres se hará más difícil para el enemigo herirles.^^Use la tecla T para activar estas características en el campo de batala.
ip_recruitment|Reclutamiento
ip_recruitment_text|El reclutamiento en Viking Conquest no es automático pero depende de un número de factores.^^En primer lugar, para reclutar en una aldea, fuerte o ciudad, necesita obtener el permiso de su señor. Para hacer esto, necesita tener suficiente prestigio (150+) y estar en buenos términos con el señor y su facción.^^Para las aldeas, también puede obtener permiso del líder de la aldea. Para esta ruta, puede utilizar alto prestigio (150+) y bajas relaciones (15+), o puede intentar sobornar. El soborno puede funcionar o no, así que debe intentar sobornar al líder más de una vez.^^Cuando consigue el permiso, es libre de reclutar durante tanto tiempo como sus relaciones con el asentamiento sean positivas. En las aldeas puede ser capaz de reclutar por encima de 1 tropa. Si tiene relaciones lo bastante altas (60+), puede ser capaz de reclutar por encima de 2 tropas. Si es usted el líder de la aldea, sólo necesita relaciones de 20+ para hacer esto.^^En castillos y ciudades, puede ser capaz de reclutar por encima de 2 tropas. Si sus relaciones con el lugar son lo bastante altas (30+), hay una posibilidad del 30% de que pueda obtener por encima de 3 tropas. El número máximo de tropas que puede ser capaz de reclutar se determina por sus relaciones con el asentamiento, su liderazgo, su carisma, su religión, la región predominante del asentamiento, y si usted es o no es el líder del lugar.^^Hay otras opciones disponibles. Si es usted Cristiano, puede encontrar algunos refugiados desesperados en los monasterios. Siempre hay una oportunidad de encontrar socios buscando trabajo en las granjas.
ip_wages|Salario
ip_wages_text|El sueldo de las tropas en Viking Conquest está afectado principalmente por el liderazgo del jugador. Para tropas de mayor nivel, la habilidad de persuasión del jugador puede ser un bonus o un malus, dependiendo de lo buena que sea. Para tropas de tipo bandido, tales como Ladrones y Vikingos, la reputación del jugador entra en juego, dando un descuento si la reputación del jugador es peor que Mala.
ip_skills|Habilidades y Atributos
ip_skills_text|Al crear o desarrollar un personaje en Viking Conquest, uno tiene que prestar atención a las muchas habilidades y atributos. Habilidades como persuasión y liderazgo son esenciales para comerciar, sueldos, interacción con señores y señoras, y conversión forzada. Atributos como inteligencia y carisma son también esenciales en estas actividades, pero también afectarán a su habilidad para casarse o dirigir a la gente.^^Hay tres habilidades importantes para el mar: 'Rey del Mar,' 'Navegación' y 'Botín.'^^El nivel de Rey del Mar de uno determina la cantidad de barcos que puede gobernar. El nivel uno le permite tener dos barcos. Siete barcos son los máximos en el nivel cuatro de Rey del Mar.^^La habilidad Navegación permite viajar más rápido en el mar. Es el equivalente naval de la habilidad Explorar en tierra (la que, por cierto, no ayudará en el mar).^^Una habilidad de Botín más alta resulta en una probabilidad más alta de capturar barcos enemigos.^
ip_tactical_controls|Controles tácticos
ip_tactical_controls_text|Use los NÚMEROS del teclado para seleccionar una división. Presione 0 para seleccionar su fuerza completa.^^Use F1-F4 para ordenar las divisiones seleccionadas. Mantenga presionada la tecla F1 para ubicar divisiones seleccionadas. Puede marcar una división enemiga mediante estemecanismo.^^Presionando la tecla ENTER a menudo inicia una Cámara Estratégica.^^Presionando la tecla ESPACIO a menudo inicia una Exposición de Orden de Batalla con 'radar.^^Presionar la tecla H hará a su caballo venir hacia usted (requiere habilidad de equitación de nivel 4 o superior).^^Presionar la tecla Z permitirá agacharse.^^Mantener pulsada la tecla de Defender y presionando la tecla de Acción ejecutará un Golpe de Escudo.^^Cuando ha desarrollado un Atributo, presionar la tecla T lo activará.^^En Multijudador, mantener pulsada la tecla Q y presionar la tecla de Defender le permitirá mofarse de sus oponentes.'
ip_division_placement|Ubicación de separación
ip_division_placement_text|Cuando se selecciona UNA, el centro de su primera fila se ubica en el lugar indicado.^^Cuando se seleccionan MUCHAS divisiones, se separan y extienden como si el jugador estuviera en el lugar indicado.^^Uno puede memorizar el lugar de las divisiones seleccionadas relativas al jugador presionando F2, F7. Por defecto es la infantería a la izquierda, la caballería a la derecha, y el resto delante. El lugar es invalidado para cualquier división que el jugador elija dirigir personalmente mediante el menú de Opciones de Formación.^^Si se selecciona la opción de juego menú de campo, las divisiones girarán para enfrentarse al enemigo. De otro modo, mantendrán la orientación que tenía el jugador cuando fueron ubicadas.
ip_formations|Formaciones
ip_formations_text|Las formaciones complejas en el menú de Batalla son:^^- RANGOS con mejores troopas al frente^- MURO DE ESCUDOS, rangos con escudos delante y armas más largas detrás ^- CUÑAS con mejores tropas delante^- CUADRADO sin orden particular^- SIN FORMACIÓN ^^Incluso en el último caso, el jugador puede hacer formaciones por encima de cuatro líneas ordenando Permanecer más Cerca bastantes veces.
ip_dog_companion|Perro compañero
ip_dog_companion_text|Mientras deambula, perdido en sus propios pensamientos, de repente oye a un perro ladrarle. Afortunadamente, usted tiene un trozo de salchicha encima. Es el inicio de un compañerismo. El perro no dejará su lado, incluso en la batalla, y pronto obtiene un nombre.^En el campo de batalla, su perro es colocado en la división 9. Las habilidades de su perro compañero pueden mejorarse dándole buena comida.
ip_rents|Alquileres
ip_rents_text|Cada uno de sus asentamientos genera rentas. Las rentas se pagan semanalmente de media a largo plazo, pero la frecuencia de los pagos es variable. Algunas semanas puede obtener pagos, y otras puede no conseguir nada. Si el pago no ha sido procesado el día de pago, la entrada en su presupuesto mostrará que las rentas suben. Si la aldea es saqueada, o el fuerte o la ciudad es desvalijada, la entrada en su presupuesto mostrará que ninguna renta está disponible. Cuando la aldea/fuerte/ciudad vuelve a su estado normal, volverá a empezar a procesar pagos. Las rentas también se ven afectadas por la prosperidad de los asentamientos, la presencia de edificios especiales, la composición religiosa, las tasas tributarias y los ajustes de dificultad. Los edificios especiales seguirán generando rentas incluso si el lugar es saqueado.
ip_quarters|Cuartos
ip_quarters_text|Los cuarteles le permiten dejar algunas de sus tropas en una ubicación particular del mapa. Puede tener más de dos cuarteles.^^Hay varios escenarios que hacen útiles los cuarteles:^- Si necesita viajar en un barco, pero no puede permitirse pagar pasaje para todas sus tropas^- Si la capacidad de su flota no es lo bastante grande para transportar a todas sus tropas al mismo tiempo^- Si quiere escurrirse en una ciudad^- Si quiere viajar más rápido por el mapa del mundo
