str_yes|Sí.
str_cant_use_inventory_arena|Imposible acceder al inventario en la arena.
str_cant_use_inventory_disguised|Imposible acceder al inventario mientras se utiliza un disfraz.
str_cant_use_inventory_tutorial|Imposible acceder al inventario en el campo de entrenamiento.
; str_1_denar|1 pening
; str_reg1_denars|{reg1} peningas
str_january_reg1_reg2|{reg1} de Enero de {reg2}
str_february_reg1_reg2|{reg1} de Febrero de {reg2}
str_march_reg1_reg2|{reg1} de Marzo de {reg2}
str_april_reg1_reg2|{reg1} de Abril de {reg2}
str_may_reg1_reg2|{reg1} de Mayo de {reg2}
str_june_reg1_reg2|{reg1} de Junio de {reg2}
str_july_reg1_reg2|{reg1} de Julio de {reg2}
str_august_reg1_reg2|{reg1} de Agosto de {reg2}
str_september_reg1_reg2|{reg1} de Septiembre de {reg2}
str_october_reg1_reg2|{reg1} de Octubre de {reg2}
str_november_reg1_reg2|{reg1} de Noviembre de {reg2}
str_december_reg1_reg2|{reg1} de Diciembre de {reg2}
str_town_nighttime| Es tarde y no queda gente honesta por las calles.
str_door_locked|La puerta está cerrada.
; str_castle_is_abondened|The fort seems to be unoccupied.
str_town_is_abondened|La ciudad no tiene una guarnición que la defienda.
str_place_is_occupied_by_player|Este lugar está bajo el mando de vuestras tropas.
str_place_is_occupied_by_enemy|Este lugar está bajo el mando de tropas enemigas.
str_place_is_occupied_by_friendly|Este lugar está bajo el mando de tropas aliadas.
str_do_you_want_to_retreat|¿Seguro que queréis emprender la retirada?
str_give_up_fight|¿Abandonar la lucha?
str_do_you_wish_to_leave_tutorial|¿Queréis abandonar el tutorial?
str_do_you_wish_to_surrender|¿Deseáis rendiros?
str_can_not_retreat|¡Imposible retirarse, aún hay enemigos cerca!
str_s1_joined_battle_enemy|{s1} se ha unido a la batalla, ayudando al bando enemigo.
str_s1_joined_battle_friend|{s1} se ha unido a la batalla, ayudando a vuestras tropas.
str_entrance_to_town_forbidden|Los guardias de la ciudad están atentos a los intrusos y parece que no podréis pasar por las puertas sin poner en peligro vuestra vida.
str_sneaking_to_town_impossible|Los guardias de la ciudad han dado la alarma. No podréis pasar por las puertas por muy bien que os disfracéis.
str_battle_won|¡Victoria!
str_battle_lost|¡Habéis perdido la batalla!
str_attack_walls_success|Tras una lucha sangrienta, vuestros valientes soldados son capaces de tomar los muros de manos enemigas.
str_attack_walls_failure|Vuestros soldados caen en oleadas al intentar cargar contra los muros y los pocos que quedan vivos rápidamente desertan de vuestras filas.
; str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the place remains in enemy hands.
str_order_attack_success|Vuestros hombres luchan valientemente y vencen al enemigo.
str_order_attack_failure|Miráis la batalla con la desesperación reflejada en vuestro rostro, mientras el enemigo diezma a vuestros soldados y hace huir a los pocos que quedan vivos.
str_order_attack_continue|A pesar de las continuadas escaramuzas, vuestras tropas fueron incapaces de conseguir una victoria decisiva.
str_join_order_attack_success|Vuestros hombres luchan junto a vuestros aliados, compartiendo la gloria mientras derrotan al enemigo.
str_join_order_attack_failure|Miráis la batalla con la desesperación reflejada en vuestro rostro, mientras el enemigo diezma a vuestros soldados y hace huir a los pocos que quedan vivos.
str_join_order_attack_continue|A pesar de las continuadas escaramuzas, ni vuestras tropas ni vuestros aliados fueron capaces de conseguir una victoria decisiva.
; str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skillfully turning a seemingly sure defeat into a full-fledged victory.
str_siege_defender_order_attack_failure|El asalto se convierte en un baño de sangre. Los valientes esfuerzos no acarrean resultados positivos; la guarnición no puede proteger los muros y el enemigo ejecuta a todos y cada uno de los defensores.
str_siege_defender_order_attack_continue|Los sangrientos asaltos contra los muros no son suficientes para ganar terreno y demasiados enemigos quedan aún en pie. El asalto continúa.
; str_hero_taken_prisoner|{s1} of the {s3} has been taken prisoner by the {s2}.
; str_hero_freed|{s1} of the {s3} has been freed from captivity by the {s2}.
; str_center_captured|The {s2} has taken {s1} from the {s3}.
str_troop_relation_increased|Vuestra relación con {s1} ha mejorado de {reg1} a {reg2}.
str_troop_relation_detoriated|Vuestra relación con {s1} se ha deteriorado de {reg1} a {reg2}.
; str_faction_relation_increased|Your relation with the {s1} has increased from {reg1} to {reg2}.
; str_faction_relation_detoriated|Your relation with the {s1} has deteriorated from {reg1} to {reg2}.
str_party_gained_morale|Vuestro grupo gana {reg1} puntos de moral.
str_party_lost_morale|Vuestro grupo pierde {reg1} puntos de moral.
str_other_party_gained_morale|{s1} gana {reg1} puntos de moral.
str_other_party_lost_morale|{s1} pierde {reg1} puntos de moral.
str_qst_follow_spy_noticed_you|¡El espía os ha visto! ¡Está huyendo!
str_duplicate|padre
str_s3s_s2|{s2} del {s3}
str_s5_is_s51|{s5} es {s51}.
; str_s5_is_the_ruler_of_s51|{s5} is the ruler of the {s51}. 
; str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of the {s6}. 
; str_relation_mnus_100|Nemesis
; str_relation_mnus_90|Implacable
str_relation_mnus_80|Vengativo
str_relation_mnus_70|Odio
; str_relation_mnus_60|Antagonistic
str_relation_mnus_50|Hostil
str_relation_mnus_40|Enfadado
str_relation_mnus_30|Resentido
str_relation_mnus_20|Reticente
str_relation_mnus_10|Receloso
str_relation_plus_0|Indiferente
str_relation_plus_10|Cooperador
; str_relation_plus_20|Welcoming
str_relation_plus_30|Favorable
str_relation_plus_40|Solidario
str_relation_plus_50|Amigable
str_relation_plus_60|Amable
str_relation_plus_70|Afectuoso
str_relation_plus_80|Leal
str_relation_plus_90|Devoto
; str_relation_mnus_100_ns|{s60} is your mortal enemy.
; str_relation_mnus_90_ns|{s60} is implacable towards you.
str_relation_mnus_80_ns|{s60} tiene ansias de venganza contra vos.
str_relation_mnus_70_ns|{s60} os odia.
; str_relation_mnus_60_ns|{s60} is antagonistic towards you.
str_relation_mnus_50_ns|{s60} es hostil con vos.
str_relation_mnus_40_ns|{s60} está irritable con vos.
; str_relation_mnus_30_ns|{s60} is resentful towards you.
str_relation_mnus_20_ns|{s60} es reticente con vos.
str_relation_mnus_10_ns|{s60} sospecha de vos.
; str_relation_plus_0_ns|{s60} is indifferent towards you.
str_relation_plus_10_ns|{s60} coopera con vos.
str_relation_plus_20_ns|{s60} os acoge con agrado.
; str_relation_plus_30_ns|{s60} is favorable towards you.
; str_relation_plus_40_ns|{s60} is supportive of you.
; str_relation_plus_50_ns|{s60} is friendly towards you.
; str_relation_plus_60_ns|{s60} is gracious towards you.
str_relation_plus_70_ns|{s60} siente afecto por vos.
str_relation_plus_80_ns|{s60} os es leal.
str_relation_plus_90_ns|{s60} muestra devoción hacia vos.
str_relation_reg1| Relación: {reg1}
; str_center_relation_mnus_100|^The populace hates you with a passion
; str_center_relation_mnus_90|^The populace hates you intensely
; str_center_relation_mnus_80|^The populace hates you strongly
; str_center_relation_mnus_70|^The populace hates you
; str_center_relation_mnus_60|^The populace is hateful to you
; str_center_relation_mnus_50|^The populace is extremely hostile to you
; str_center_relation_mnus_40|^The populace is very hostile to you
; str_center_relation_mnus_30|^The populace is hostile to you
; str_center_relation_mnus_20|^The populace is against you
; str_center_relation_mnus_10|^The populace is opposed to you
; str_center_relation_plus_0|^The populace is indifferent to you
; str_center_relation_plus_10|^The populace is acceptive to you
; str_center_relation_plus_20|^The populace is cooperative to you
; str_center_relation_plus_30|^The populace is somewhat supportive to you
; str_center_relation_plus_40|^The populace is supportive to you
; str_center_relation_plus_50|^The populace is very supportive to you
; str_center_relation_plus_60|^The populace is loyal to you
; str_center_relation_plus_70|^The populace is highly loyal to you
; str_center_relation_plus_80|^The populace is devoted to you
; str_center_relation_plus_90|^The populace is fiercely devoted to you
; str_town_prosperity_0|^The poverty of the town of {s60} is unbearable
; str_town_prosperity_10|^The town of {s60} is all but deserted to its squalor.
; str_town_prosperity_20|^The town of {s60} looks a wretched, desolate place.
; str_town_prosperity_30|^The town of {s60} looks poor and neglected.
; str_town_prosperity_40|^The town of {s60} appears to be struggling.
; str_town_prosperity_50|^The town of {s60} seems unremarkable.
; str_town_prosperity_60|^The town of {s60} seems to be flourishing.
; str_town_prosperity_70|^The prosperous town of {s60} is bustling with activity.
; str_town_prosperity_80|^The town of {s60} looks rich and well maintained.
; str_town_prosperity_90|^The town of {s60} is opulent and crowded with well-to-do people.
; str_town_prosperity_100|^The glittering town of {s60} openly flaunts its great wealth.
; str_fort_prosperity_0|^The poverty of the fort of {s60} is unbearable
; str_fort_prosperity_10|^The fort of {s60} is all but deserted to its squalor.
; str_fort_prosperity_20|^The fort of {s60} looks a wretched, desolate place.
; str_fort_prosperity_30|^The fort of {s60} looks poor and neglected.
; str_fort_prosperity_40|^The fort of {s60} appears to be struggling.
; str_fort_prosperity_50|^The fort of {s60} seems unremarkable.
; str_fort_prosperity_60|^The fort of {s60} seems to be flourishing.
; str_fort_prosperity_70|^The prosperous fort of {s60} is bustling with activity.
; str_fort_prosperity_80|^The fort of {s60} looks rich and well maintained.
; str_fort_prosperity_90|^The fort of {s60} is opulent and crowded with well-to-do people.
; str_fort_prosperity_100|^The glittering fort of {s60} openly flaunts its great wealth.
; str_village_prosperity_0|^The poverty of the village of {s60} is unbearable.
; str_village_prosperity_10|^The village of {s60} looks wretchedly poor and miserable.
; str_village_prosperity_20|^The village of {s60} looks very poor and desolate.
; str_village_prosperity_30|^The village of {s60} looks poor and neglected.
; str_village_prosperity_40|^The village of {s60} appears to be somewhat poor and struggling.
; str_village_prosperity_50|^The village of {s60} seems unremarkable.
; str_village_prosperity_60|^The village of {s60} seems to be flourishing.
; str_village_prosperity_70|^The village of {s60} appears to be thriving.
; str_village_prosperity_80|^The village of {s60} looks rich and well maintained.
; str_village_prosperity_90|^The village of {s60} looks very rich and prosperous.
; str_village_prosperity_100|^The village of {s60}, surrounded by vast, fertile fields, looks immensely rich.
; str_town_alt_prosperity_0|The few wares sold in the market are expensive to the malnourished common man and his weakened livestock. Among ramshackle houses, children in rags are playing with sticks and pebbles.
; str_town_alt_prosperity_20|Arguments over high prices are heard in the marketplace, where traders are running out of wares. In the streets, children are begging any passer-by for a little bread or anything of worth.
; str_town_alt_prosperity_40|Wares in the market are of decent quality, and traders sometime bring luxury items for the few wealthy townspeople. Some houses could use repair, while others are in good shape.
; str_town_alt_prosperity_60|The market is humming with activity as traders from far and wide come to do business and leave, while some migrants stay to seek their luck.
; str_town_alt_prosperity_80|The thatch and shingles of roofs are well maintained throughout the town, and the people are dressed in quality clothing. Every day flocks of people arrive to find work and wealth in the blooming trading hub.
; str_village_alt_prosperity_0|Able-bodied people are scarce, and fields are overgrown with weeds. Many have fled the settlement, and draft animals are eaten or dying at the outskirts of town, attracting wild animals.
; str_village_alt_prosperity_20|A few farmers and animals work in the fields, but many have emigrated in search of a better life. Farms are worn down, and weeds have taken over some of the fields.
; str_village_alt_prosperity_40|Fairly healthy villagers and animals move about the fields and pastures. However, some houses are in ill repair, and several fields are left unsown.
str_village_alt_prosperity_60|Los campos y huertos bullen de actividad, sacos llenos de grano y ristras de carne seca atestiguan la productividad de las granjas y pastos de la aldea.
; str_village_alt_prosperity_80|Fields and orchards are filled with able-bodied, well-fed villagers expanding the fields to feed the many farm animals. All the while, laborers are flocking to work and join the prosperity.
; str_oasis_village_alt_prosperity_0|Fruit groves lie virtually abandoned, and the few malnourished villagers that still remain seem worried. The draft animals have long since starved or been eaten.
; str_oasis_village_alt_prosperity_20|Few villagers can be seen tending to the fruit groves, and in some places, the forest is engulfing them. Shrubs and weeds invade all the orchards. The cattle have turned wild, and a few of their carcasses lie on the outskirts, their bones gnawed by wolves.
; str_oasis_village_alt_prosperity_40|Men and women work in the orchards and cut back the heather that invades the pasture areas. The herds look healthy, but many of the farms could use some maintenance.
; str_oasis_village_alt_prosperity_60|In the groves and orchards roam the busy farmers, who happily greet each other while trimming trees, shearing sheep and milking the cows. The echo of the carpenter’s building new livestock fences evokes the prosperity of the site.
; str_oasis_village_alt_prosperity_80|The fruit groves are humming with activity, as farmers load up baskets of apples and sacks of wheat for sale to the market. Men and women are hard at work clearing the forest and plowing new fields to create new farmland.
; str_acres_grain|acres of grain fields
; str_acres_orchard|acres of fruit groves
; str_acres_oasis|acres of orchards
str_looms|telares
str_boats|botes
str_head_cattle|cabeza de ganado vacuno
str_head_sheep|cabeza de ganado ovino
str_mills|molinos
str_kilns|hornos
str_pans|cubetas
str_deposits|depósitos
str_hives|colmenas
str_breweries|fábricas de cerveza
str_presses|prensas
str_smithies|herrerías
str_caravans|caravanas
str_traps|trampas
str_gardens|pequeños huertos
str_tanneries|cuencos de curtido
; str_master_miller|Foreman miller
; str_master_brewer|Foreman brewer
; str_master_presser|Foreman presser
; str_master_smith|Foreman smith
; str_master_tanner|Foreman tanner
; str_master_weaver|Foreman weaver
; str_master_dyer|Foreman dyer
str_war_report_minus_4|estamos a punto de perder la guerra
str_war_report_minus_3|la situación es difícil
str_war_report_minus_2|las cosas no van muy bien
str_war_report_minus_1|aún podemos ganar la guerra si nos esforzamos
str_war_report_0|estamos igualados al enemigo
str_war_report_plus_1|tenemos posibilidades de ganar la guerra
str_war_report_plus_2|las cosas van bastante bien
str_war_report_plus_3|no tendremos dificultades para vencer
str_war_report_plus_4|estamos a punto de ganar la guerra
; str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seems to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking, you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|Intentáis persuadir a {s50}, pero {reg51?ella:él} os domina desde el comienzo. Incluso vuestros mejores argumentos suenan a hueco. {s50}, por su parte, no cree que lo que habéis dicho tenga demasiado sentido.
str_persuasion_summary_average|{s50} resulta ser inteligente y convincente y parece que sois incapaz de presentarle un argumento que {reg51?ella:él} no sea capaz de contrarrestar con racionalidad. Al final, ninguno de los dos conseguís ganar terreno en la discusión.
str_persuasion_summary_good|Gracias a vuestra lucidez mental y buenos argumentos sois capaz de exponer vuestro caso, forzando a {s50} a concederos la razón varias veces. Sin embargo, {reg51?ella:él} aún mantiene dudas sobre vuestras peticiones.
; str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better. The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well disposed towards helping you.
str_secret_sign_1|El armario baila a medianoche...
; str_secret_sign_2|I am selling these fine tapestries from Constantinople. Would you like to buy some?
str_secret_sign_3|Me envió el amigo de un amigo...
str_secret_sign_4|El viento sopla fuerte desde el este y el río se torna rojo...
str_countersign_1|¿Pero baila con la cómoda o con el candelabro?
str_countersign_2|Sí, ¿tenéis alguno azul?
str_countersign_3|Pero el amigo de vuestro amigo nunca tendrá un amigo como yo.
str_countersign_4|¿Habéis estado enfermo?
; str_name_1|Aelle
; str_name_2|Alduini
; str_name_3|Berdun
; str_name_4|Caedmon
; str_name_5|Cearl
; str_name_6|Coenred
; str_name_7|Eadbald
; str_name_8|Arthfael
; str_name_9|Eafa
; str_name_10|Earpwald
; str_name_11|Hengist
; str_name_12|Horsa
; str_name_13|Osred
; str_name_14|Thrydwulf
; str_name_15|Wictred
; str_name_16|Wuffa
; str_name_17|Cyny
; str_name_18|Cunedog
; str_name_19|Idnerth
; str_name_20|Dyfrig
; str_name_21|Treni
; str_name_22|Cadfan
; str_name_23|Cadwgon
; str_name_24|Rhiwallon
; str_name_25|Hywel
; str_surname_1|{s50} of Lundenwic
; str_surname_2|{s50} of Dorce Ceaster
; str_surname_3|{s50} of Bebbanburh
; str_surname_4|{s50} of Caer Wenddoleu
; str_surname_5|{s50} of Emain Macha
; str_surname_6|{s50} of Cirren Ceaster
; str_surname_7|{s50} of Din Draithou
; str_surname_8|{s50} of Licidfelth
; str_surname_9|{s50} of Caer Lloyw
; str_surname_10|{s50} of Colne Ceaster
; str_surname_11|{s50} of Din Erth
; str_surname_12|{s50} of Norwic
; str_surname_13|{s50} of Caer Riderch
; str_surname_14|{s50} of Duin Ollaigh
; str_surname_15|{s50} of Denisesburna
; str_surname_16|{s50} of Dun Buicead
; str_surname_17|{s50} of Swanawic
; str_surname_18|{s50} of Wodetun
; str_surname_19|{s50} of Badun
; str_surname_20|{s50} of Leim an Eich
str_surname_21|{s50} el Largo
str_surname_22|{s50} el Flaco
; str_surname_23|{s50} Silky-Beard
str_surname_24|{s50} el Gorrión
str_surname_25|{s50} el Pobre
str_surname_26|{s50} el Marcado
str_surname_27|{s50} el Bello
str_surname_28|{s50} el Inflexible
str_surname_29|{s50} el Rojo
str_surname_30|{s50} el Negro
str_surname_31|{s50} el Alto
str_surname_32|{s50} Ojos brillantes
str_surname_33|{s50} el Intrépido
str_surname_34|{s50} el Valiente
str_surname_35|{s50} el Astuto
str_surname_36|{s50} el Cobarde
; str_surname_37|{s50} the Bright
str_surname_38|{s50} el Rápido
str_surname_39|{s50} el Trovador
str_surname_40|{s50} el Arrojado
str_surname_41|{s50} el Impulsivo
str_surnames_end|fin de apellidos
str_number_of_troops_killed_reg1|Número de tropas muertas: {reg1}
str_number_of_troops_wounded_reg1|Número de tropas heridas: {reg1}
str_number_of_own_troops_killed_reg1|Número de tropas aliadas muertas: {reg1}
str_number_of_own_troops_wounded_reg1|Número de tropas aliadas heridas: {reg1}
str_retreat|¡Retirada!
str_siege_continues|La lucha continúa...
str_casualty_display|Vuestras bajas: {s10}^Bajas enemigas: {s11}{s12}
str_casualty_display_hp|^Os han herido por {reg1} puntos de vida.
str_quest_log_updated|Se ha actualizado el diario de misiones...
str_banner_selection_text|Os han concedido el derecho de portar un estandarte. Vuestro estandarte representa vuestro rango y os proporciona honor. ¿Qué estandarte elegiréis?
str_retirement_text_1|Os dais cuenta demasiado tarde de que vuestro dinero no durará mucho más. Habéis dilapidado rápidamente lo poco que conseguisteis ahorrar y fracasáis en vuestros desesperados intentos de volver a la aventura. Vuestros días terminan en {s9}, mendigando por las calles y viviendo de la benevolencia de la iglesia.
; str_retirement_text_2|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save. Once every pening has evaporated in your hands you are forced to start a life of crime in the back streets of {s9}, using your skills to eke out a living robbing coppers from women and poor townsmen.
str_retirement_text_3|Os dais cuenta demasiado tarde de que vuestro dinero no durará mucho más. Habéis dilapidado rápidamente lo poco que conseguisteis ahorrar y acabáis vagabundeando y sin blanca, yendo de taberna en taberna y mendigando tragos a clientes indulgentes a cambio de regalarles con relatos sobre la guerra, que nadie se cree.
; str_retirement_text_4|The silver you've saved doesn't last long, but you manage to put together enough to buy some land near the village of {s7}. There you become a free farmer, and you soon begin to attract potential {reg59?husbands:wives}. In time, the villagers come to treat you as their local hero. You always receive a place of honour at feasts, and your exploits are told and retold in the pubs and taverns so that the children may keep a memory of you forever and ever.
; str_retirement_text_5|The silver you've saved doesn't last long, but it's enough to buy a small tavern in {s9}. Although the locals are wary of you at first, they soon accept you into their midst. In time, your growing tavern becomes a popular feast hall and meeting place. People come for miles to eat or stay there due to your sheer renown and the epic stories you tell of your adventuring days.
; str_retirement_text_6|You've saved wisely throughout your career, and now your silver and your intelligence allows you to make some excellent investments to cement your future. After buying several shops and warehouses in {s9}, your shrewdness turns you into one of the most prominent merchants in town, and you soon become a wealthy {reg59?woman:man} known as much for your trading empire as your exploits in battle.
str_retirement_text_7|Al ser noble con tierras, aunque menor, vuestro futuro está asegurado. Os asentáis en vuestras posesiones de {s7}, administrando la aldea y sus campos, impartiendo justicia en las cortes locales y cumpliendo vuestras obligaciones para con vuestro señor feudal. Ocasionalmente, vuestro señor os llama para que dirijáis sus campañas, pero se trata de periodos cortos y nunca volvéis realmente a las aventuras de vuestros días jóvenes. Ya habéis hecho vuestra fortuna. Con las propiedades que tenéis, hay pocos caprichos que vuestros ingresos no os puedan permitir.
str_retirement_text_8|No hay duda de que habéis tenido gran éxito en la vida. Vuestras enormes propiedades y la fortuna acumulada durante vuestros días de aventura son suficientes como para garantizaros una vida fácil durante el resto de vuestros días. Al retiraros a vuestro noble asiento en {s8} cambiáis la aventura por la política, y pronto os establecéis como un gran poder dentro del reino de vuestro señor feudal. Entreteniéndoos con las intrigas, vuestros propios bosques para cazar, un gran salón para celebraciones y un ciento de épicas historias de guerra que contar, vuestros siguientes años pasan sin más preocupaciones.
; str_retirement_text_9|As a reward for your competent and loyal service, your liege lord decrees that you be given a hereditary title, joining the major nobility of the realm. Soon you complete your investiture as lord of {s7}, and you become one of your liege's close advisors and adjutants. Your renown garners you much subtle pull and influence as well as overt political power. Now you spend your days playing the games of power, administering your great fiefs, and recounting the old times of adventure and glory.
; str_retirement_text_10|Though you started from humble beginnings, your liege lord holds you in high esteem, and a ripple of shock passes through the realm when he names you to the hereditary title of {reg59?ducessa:dux} of {s9}. Vast fiefs and fortunes are now yours to rule. You quickly become your liege's most trusted advisor, almost his equal. You are charged with much of the running of his realm, and you sit upon a throne in your own splendourous palace as one of the most powerful figures in Britannia and Hibernia.
; str_loot_village|attack innocent people
; str_steal_from_villagers|steal from poor people
str_rob_caravan|robar una caravana de mercaderes
str_sell_slavery|vender esclavos
str_men_hungry|por no tener comida
str_men_unpaid|por no poder pagar los sueldos de los hombres
str_excessive_casualties|hacer de todas las batallas un baño de sangre
str_surrender|rendirnos frente al enemigo
str_flee_battle|huir de la batalla
str_pay_bandits|pagar a los bandidos
; str_fail_quest|fail a quest that we undertook on word of honour
; str_treason_one|honour
; str_missed_npc|fail.
str_squander_money|malgastar el dinero que nos han confiado
str_murder_merchant|asesinar a sangre fría
str_round_up_serfs|perseguir siervos para un noble
str_battle_fate_1|Nos separamos en medio de la batalla
str_battle_fate_2|Me hirieron y creyeron que había muerto
str_battle_fate_3|El enemigo me dejó inconsciente
str_battle_fate_4|Me apresaron y pidieron recompensa por mí
str_battle_fate_5|Me capturaron, pero logré escapar
; str_npc_morale_report|I'm {s6} your choice of companions, {s7} your style of leadership, and {s8} the general state of affairs.
str_happy|estoy feliz con
str_content|me alegra
str_concerned|me preocupa
str_not_happy|no estoy nada feliz con
str_miserable|me horroriza
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Entusiasta
str_bar_content|              Satisfecho
str_bar_weary|          Harto
str_bar_disgruntled|     Descontento
str_bar_miserable|  Hundido
str_here_plus_space|aquí 
; str_npc1_intro|Salve, Warlord. My name is Caio. My father sent me.
; str_npc2_intro|Heill! My name is Egil.
; str_npc3_intro|{reg59?Who sent you? I'll never go back!:Do not come close to me. I am tired of being abused by every person that crosses my path!}
str_npc4_intro|¿Sí?
; str_npc5_intro|Hello, traveler. Would you join me for a drink?
; str_npc6_intro|I have things to tell you. Listen carefully.
str_npc7_intro|¿Sí? Mantened la distancia, por cierto.
str_npc8_intro|¿Qué queréis?
; str_npc9_intro|You there, good {reg59?woman:man}. Be so kind as to fetch me another drink, eh?
; str_npc10_intro|God thee mid sie, {reg59?madame:sir}! Here's to the doom and downfall of all Welsh!
; str_npc11_intro|Heill, {reg59?my pretty:handsome}. I've been watching you a while.
; str_npc12_intro|Heill, {reg59?madame:sir}. Nice to meet you.
; str_npc13_intro|Yes? What do you need?
; str_npc14_intro|Hail, traveller. I am Ailchu, a Gael warrior. No doubt you've heard of me.
; str_npc15_intro|Yeia sou! Yeia sou! To your health, {reg59?madame:sir}. My name is Agathinos. Are you by any chance heading out of this place any time soon?
; str_npc16_intro|Ah... you... I...
; str_npc1_intro_response_1|Yes, I know. Tell me about yourself.
; str_npc2_intro_response_1|Speak, Egil.
; str_npc3_intro_response_1|Calm down. I intend you no harm. Why are you so afraid?
; str_npc4_intro_response_1|You're not very talkative, are you?
str_npc5_intro_response_1|Por supuesto. ¿Con quién tengo el placer de beber?
; str_npc6_intro_response_1|Continue, friend.
str_npc7_intro_response_1|Mis disculpas. Solamente iba a decir que parecéis estar pasando una mala racha.
; str_npc8_intro_response_1|Merely to pass the time of day, foreigner, if you're not otherwise engaged.
; str_npc9_intro_response_1|You must have me confused with another person, sir.
; str_npc10_intro_response_1|Why do you say that, man?
; str_npc11_intro_response_1|Who are you, and why are you watching me?
; str_npc12_intro_response_1|So nice to meet you.
; str_npc13_intro_response_1|To pass the time of day with a fellow traveler, if you permit.
str_npc14_intro_response_1|Hum... creo que no.
; str_npc15_intro_response_1|I am. What concern is it of yours, may I ask?
; str_npc16_intro_response_1|Are you tongue-tied?
; str_npc1_intro_response_2|Yes, I know that he wants you to join me, but I do not need you. Farewell.
str_npc2_intro_response_2|Tengo mejores cosas que hacer.
; str_npc3_intro_response_2|Run along now, girl. I have real work to do -- not whatever it is you fear I'll do.
str_npc4_intro_response_2|No.
str_npc5_intro_response_2|No tengo tiempo para eso.
str_npc6_intro_response_2|Tengo mejores cosas que hacer.
str_npc7_intro_response_2|Claro. Entonces no os molestaré.
str_npc8_intro_response_2|Nada en absoluto, de alguien tan excepcionalmente poco cortés. Buenos días.
str_npc9_intro_response_2|¡Traedlo vos mismo!
; str_npc10_intro_response_2|That's arrogant talk, and I'll hear none of it. Good day to you.
; str_npc11_intro_response_2|Oh, I have no time for this!
