ip_armies_size|Wielkość Armii
ip_character_backgrounds_text|Postać gracza w Północnych Krainach może pochodzić z różnych środowisk społecznych. Ten wybór nie wpływa tylko na startowe umiejętności i ekwipunek,ale przebieg jego lub jej kariery jako poszukiwacza przygód.^^Wojna i polityka w Krainach Północy są zdominowane przez mężczyzn arystokratów . Postać gracza jako szlachcic może dość szybko zostać zaproszony do tego klubu 'Starych chłopców', ale kobiety i reszta mogą napotkać kilka dodatkowych przeszkód na drodze. Jeśli zdecydujesz się rozpocząć grę postacią męską jako szlachcic można myśleć o tym jak o "łatwy" poziom trudności. Zaczynanie jako arystokratka albo mężczyzną z ludu jest nieco trudniejsze, a zaczynając kobietą z ludu jest chyba najtrudniejszym sposobem na rozpoczęcie gry.^^Jednak, kobiety mają pewne zalety startowe. Po prostu, biorąc za broń, kobieta wojownik zwróci na siebie uwagę, a może okaże się, że ona może budować szybciej swoją reputację niż mężczyzna. Ponadto, aby wspiąć się po szczeblach drabiny społecznej poprzez zawarcie małżeństwa jest to tradycyjnie łatwiejsze dla kobiety niż dla mężczyzny, i kobiety mogą więcej zyskać z takiego strategicznego małżeńskiego sojuszu niż jej męski odpowiednik.^^Wreszcie, należy pamiętać że gra nie umieszcza żadnych limitów na awans postaci w oparciu o ich pochodzenie. Szlachetny czy prosty, kobieta czy mężczyzna, żonaty/męża-ta czy nie żonaty/niezamężna -- każdy może zostać władcą Północnych Krain, jeśli są wystarczająco odważni, mają dużo szczęścia albo są zaradni.
ip_military_campaigns|Kampanie militarne
ip_military_campaigns_text|Kiedy królestwa w Północnych Krainach idą na wojnę, ich armie mają dwie podstawowe opcje ofensywne. Mogą próbować atakować wioski, plądrować okolice, niszcząc prestiż i gospodarkę przeciwnika. Albo mogą próbować przejąć i utrzymać zamki i miasta, zabierając terytorium. Druga opcja obejmuje długie, krwawe oblężenia, ale przyniesie bardziej zdecydowane wyniki.^It is important to note that the realms of The Northlands do not field standing armies, which remain in the field as long as the ruler desires. Rather, Englaland realms are protected by feudal levies comprised of the major nobles and their individual retinues. Czasami, ci szlachcice prowadzą własny atak na terytorium wroga, ale najbardziej decydujące wydarzenia, zazwyczaj mają miejsce, gdy gromadzą się wspaniała armie zbudowana z szlachty. Marszałek królestwa, szlachcic wybierany przez króla, wzywa szlachtę przed kampanią i prowadzi ją do boju. Jednak, powinien uważać, aby nie trzymać ich zbyt długo w polu. W przeciwnym razie, armia zacznie się rozpadać, szlachta odpłynie by zajmować się własnymi sprawami, a armia będzie narażona na kontratak.^^Z tego powodu, rytm wojny w Północnych Krainach często przypomina rytm pojedynku pomiędzy dwoma wojownikami. Jedna strona będzie zbierać jej siły i dążyć do zadania ostatecznego ciosu terytorium wroga. Jeśli marszałek spędzi zbyt mało czasu na gromadzeniu wasali, może nie być w stanie zadać istotnych obrażeń. Jeśli marszałek spędza zbyt dużo czasu, wtedy kampania może się skończyć przed tym za nim się zaczęła. Duże królestwo będzie miało przewagę nad mniejszym od niego, tak jak krzepki wojownik ma przewagę nad mniejszym wrogiem, ale spójność polityczna królestwa również może być czynnikiem, tak jak wojownik z wspaniałą wytrzymałością ona może przetrzymać przeciwnika. Zdarza się że armie  obu królestw spotykają się twarzą w twarz, w rezultacie będziemy mieli wielką bitwę w której o wyniku zadecyduje  liczba ludzi po obu stronach i ich morale.^^Królestwa będą miały niepewne informacje o wrogu. Atak Lordów często będzie potrzebował zwiadu, aby określić które fortece są bardziej podatne na atak. Armie które bronią ojczyzny, będą korzystać z alarmów podnoszonych przez zamki i miasta, które informują o ruchach wroga w okolicy. Te informacje będą nie precyzyjne, jednak szczególnie wtedy gdy będzie chodziło o liczbę wojsk. Siła broniąca, która ma na celu podjąć oblężenie lub uratować wioskę, może być w stanie zmiażdżyć nie przygotowanego napastnika -- lub może przeliczyć się i okaże się że to oni zostaną zmiażdżeni. Atakujący z kolei musi być ostrożny w tym jak daleko zagłębiają się w terytorium wroga, z agresywnymi marszałkami wyruszą dalej niż z tymi ostrożnymi.^^Oczekuje się, że gracze  dołączą do kampanii wojennej ich frakcji, albo przez dołączenia jako szlachta, albo jako zwiad na przodzie. Niektórzy gracze mogą uznać, że marszałek ich królestwa jes zbyt ostrożny lub zbyt agresywny jak na ich gust.W tym przypadku mogą zainteresować innych lordów by zastąpić marszałka albo budować poparcie by stać się marszałkiem.^^Najwięcej wojen jest ograniczonych w czasie. Król który idzie na wojnę, w imię honoru, czuje się zobowiązany do prowadzenia konfliktu przez krótki okres czasu. Jednakże, jeśli mocno bił wroga. Może on wkrótce zacząć szukać wyjścia z konfliktu, aby nie pozostać podatny na atak przez osobę trzecią. Władcy Północnych Krain są w pełni świadomi, że dzisiejszy sojusznik jutro może być wrogiem, i odwrotnie.
ip_siege_warfare|Oblężenie, Działania wojenne
ip_siege_warfare_text|Viking Conquest oferuje oblężenia z okresu średniowiecza. Kiedy gracz oblega osadę, ma możliwość wyboru dwóch ścieżek prowadzących do zdobycia jej: przez osłabienie (głód, choroby ...) lub poprzez atak. ^^w pierwszym przypadku, celem gracza jest blokada osady by zapobiec przypływu dostaw lub wzmocnień. w tym samym czasie można podjąć różne działania które mają na celu osłabienie morale tejże osady, roznoszenie chorób lub niszczenie rezerw żywności osady. Tego typu działania trwają dłużej ale również zapobiegają dużej liczbie ofiar.^^W tym drugim przypadku, podejmowane jest działanie bezpośrednie, o ile sprzęt umożliwiający szturm jest dostępny (drabiny, osłony ...) lub ofensywne działania (ściąganie obrońców, palenie ich domów i murów ...). Ta opcja powinna być używana, gdy gracz czuje się gotowy do rozpoczęcia ataku na pełną skalę, aby zdobyć osadę. Zaletą tego działania jest to że miejsce może być szybko zdobyte, lecz zwykle stosunkowo wysokim kosztem, wielu ludzi.^^Ponadto, gdy osada ma port, gracz może wyposażyć się w flotę i atakować port, prowadząc atak z morza^^Złożoność i cechy nowego systemu oblężeń są zbyt liczne, by opisać je tutaj w szczegółach. Najlepszą opcją aby odkryć i rozwinąć strategie na własną rękę . Witamy w Realistycznych Oblężeniach.
; ip_sea_travel|Sea Travel
; ip_sea_travel_text|Ferries on the world map transport your party between two stations. While this is cheap when your party is small, it becomes more expensive with party size.^^To travel longer distances on the sea, one may travel from one port town to another. This can be initiated from the town menu or by talking to the shipwright in the port part of the town scene. Similar to ferries, this service becomes more expensive with party size.^^Once you have your own ship, you may embark from the port it is in by clicking on 'Sail from port' in the town menu. You will return to the map, but this time at sea on your ship. Sea travel then works much like land travel.^^There are two different ways to get back on land. You can either click on a port or use a landing point. To find a landing point, travel closely along the coast or right click on your party and select 'find closest landing point.' As with ports, click on the landing point to disembark. In either case, your ships will remain at the position where you landed.^^If your party's size is greater than the capacity of your ships, you won't be able to embark. In this case, you can establish troop quarters (Camp menu) at your current position and another troop quarters at your target position, then transport your army step by step between both quarters.^^When traveling by sea on the campaign map, you can always check the current weather. After clicking on the 'Camp' button, current conditions are shown on the left side. If the weather conditions change, you will be notified by a message in the lower left corner of the screen.^^On the one hand, windy weather is good for the speed of your ships on the campaign map and in sea battles. On the other hand, the chance that it will damage your ships also increases. Damage worsens the condition of a ship, slowing it or even destroying when the condition reaches 'Dangerous.' You may check the conditions of your ships by clicking on 'Camp' and then on 'Fleet.'^^Finally, the weather also determines the behaviour of ships in battle. This can always be checked beforehand by clicking 'Camp' and then on 'Check location.'^^Sea travel is dangerous and can lower the morale of your troops. When this happens, you will be notified by a message. Troops especially dislike spending the night on the water. Therefore, consider plotting your route to make landfall by night. If morale on the sea gets too low, troops may mutiny.^^Some troops like Sailors and certain Norse troops are experienced seamen and will increase the travel speed of your ships on the campaign map. You can check the effect on the left side of the camp menu.^^If there is more than one ship in your fleet, the speed of the fleet is determined by its slowest ship. However, as soon as you have more than one ship in your fleet, you can split the fleet. To do so, travel close to a shore. Then click on 'Camp', 'Fleet' and finally on 'Leave ship at shore' to leave the slower ship(s) there. To bring ships together again, one needs to bring them all to a port. To get a overview of all your ships at their location, click on 'Character' and then on 'Ships.'
ip_sea_battle|Bitwa morska
; ip_sea_battle_text|At some point after starting to travel on the sea, you will participate in a naval battle.^^First of all, you need to know how to control your ship. You can give the command to row forward, fast forward, backwards, or stay. The up and down arrow keys switch between these commands. You can also give the command to go straight, starboard, hard starboard, port or hard port. The left and right arrow keys switch between these commands.^^Current commands are represented by arrows around the representation of your ship in the upper right corner. Press Enter to set the sail and Backspace to get a tactical view of the scene. Try these commands to get a feeling for steering a ship and the effect of the wind.^^As soon as you get close enough to an enemy ship, boarding will commence. The ships are lashed together and the fight starts.^If you are lucky, you may capture the enemy flagship after winning the fight.^^In a sea battle where you have several ships, you can give a 'stand ground' or 'charge' command to your ships, which are assigned to the ninth 'division.' The first troops in your army list will be together with you on the flagship. The other troops will be in the remaining ships. One can change one's flagship in a port or while camping on the sea.^^With a reasonably large fleet, one may attack towns from their sea sides. To do so, simply click on the enemy port town and you will have option to attack it once you reach it without first disembarking.
ip_ship_info|Statki
; ip_ship_info_text|Sooner or later, you'll want to invest in a ship. There are several reasons to do this. Over the long term, it is the cheapest form of sea travel. It gives you complete freedom in movement on the sea. It opens new opportunities for trading and raiding.^^On the other hand, there are downsides. First of all, a ship is expensive, and you will have to save up some money to afford one. Furthermore, a ship can carry only a limited amount of troops.^^Another important consideration is speed. With a faster ship, you will more successfully catch or flee from other ships. The speed of a ship is determined by its type and condition.^^Finally the wood used for ship construction affects its durability. While ships made of oak wood are very durable, ships made of beech wood need to be repaired more often.^^When you feel ready to buy a ship, click on 'See the ships' in the town menu of a port town or talk to the shipwright. Port towns can have up to three ships for sale, but sometimes none are available. The type and amount of ships offered changes over time. While all port towns offer ships, one finds the best ships in Norse and Frisian ports. To see your ship, you can click on 'See the ships' in the town menu or walk to its pier.^^In a port, one may customize the sail of a ship or paint any ship made of oak. There is one special sail which is reserved for the ships of the player. It can be changed with a dedicated graphic editor (not included in Viking Conquest). For further information, see the 'Your Custom Sails' folder among the files of this DLC.^^Once you have a ship, the shipwright will interact with you in a different way and won't hesitate to offer advice. Shipwrights also offer to custom build ships. Better ships may require special materials that you will need to obtain and bring with you. Better ships also require more time for their construction and the more talented shipwrights in Norse ports. The first seven ships you have built can be named freely in the ship customization menu.^
ip_wounds|Rany
ip_wounds_text|Lekarze w większych miastach mogę leczyć za opłatą, po której będą leczyć parę dni. Jakiekolwiek negatywne efekty będą usunięte. Jeśli rana jest leczona po jakimś czasie zmieni się w bliznę i jakiekolwiek negatywne efekty związane z tą blizną zostaną na stałe.
ip_traits|Cechy
ip_traits_text|Kiedy osiągniesz level 15  możesz otrzymać jedną z tych cech, w zależności od wyboru umiejętności:^^Barbarzyńca: Idąc w szał daje ci to lepszą szybkość i siłę w ogniu walki, i ta brutalna dzikość zmieni twoją wizję na kolor czerwony.^^Inspirujący: Ta nabyta umiejętność zwiększy  twoją pozycję lidera,  twoje okrzyki wojenne Zwiększą dzikość twoich ludzi w walce.^^Twardy: Ta umiejętność sprawi że twoje wojska będą poruszały się szybciej i zwiększy się ich sprawność w walce^^Silny: tarcze i zbroje twoich ludzi staną się twardsze, sprawi to że wrogowi będzie ciężej ich zranić.^^Użyj klawisza T by aktywować te cechy na polu bitwy
ip_recruitment|Rekrutacja
; ip_recruitment_text|Recruitment in Viking Conquest is not automatic but depends on a number of factors.^^Firstly, in order to recruit in a village, fort or town, you need to obtain the permission of its lord. To do this, you'll need to have enough renown (150+) and be on good terms with the lord and his faction.^^For villages, you can also obtain permission from the village leader. For this route, you may use high renown (150+) and high relations (15+), or you can just try bribery. Bribing may or may not work, so you may have to try to bribe the leader more than once.^^Once permission is obtained, you are free to recruit as long as your relations with the settlement remain positive. In villages you may be able to recruit tier 1 troops. If have high enough relations (60+), you may be able to recruit tier 2 troops. If you happen to be the village's lord, you need only 20+ relations to do this.^^In castles and towns, you maybe able to recruit tier 2 troops. If your relations with the place are high enough (30+), there is 30% chance you may get a tier 3 troop. The maximum number of troops that you may be able to recruit is determined by your relations with the settlement, your leadership, your charisma, your religion, the predominant religion of the settlement, and whether or not you are the lord of the place.^^Other options are available. If you're Christian, you may be able to find some desperate refugees in monasteries. There is always a chance to find fellows looking for work at farmsteads.
; ip_wages|Wages
; ip_wages_text|Troop wages in Viking Conquest are affected primarily by the player's leadership. For higher level troops, the player's persuasion skill may become a bonus or a malus, depending on how good it is. For outlaw type troops, such as Robbers and Vikings, the player's reputation comes into play, giving a discount if player's reputation is worse than Notorious.
; ip_skills|Skills and Attributes
; ip_skills_text|When creating or developing a character in Viking Conquest, one has to pay attention to the many skills and attributes. Skills like persuasion and leadership are essential for trading, wages, lord and lady interaction, and forced conversion. Attributes such as intelligence and charisma are also essential in these activities, but will also affect your ability to marry or lead people.^^There are three important skills for the sea: 'Sea King,' 'Navigation' and 'Looting.'^^One's Sea King level determines the amount of ships one can command. Level one allows up to two ships. Seven ships are the maximum at the Sea King level of four.^^The Navigation skill allows one to travel faster on the sea. It is the naval equivalent of the Pathfinding skill on land (which, by the way, will not help on the sea).^^A higher Looting skill results in a higher chance of capturing enemy ships.^
; ip_tactical_controls|Tactical Controls
; ip_tactical_controls_text|Use the keyboard NUMBERS to select a division. Press 0 to select your entire force.^^Use F1-F4 to order selected divisions. Keep the F1 key down to place selected divisions. You may target an enemy division through this mechanism.^^Pressing the ENTER key often initiates an overhead Strategy Camera.^^Pressing the BACKSPACE key often initiates a Battle Command Display with 'radar.^^Pressing the H key will make your horse come to you (requires riding skill of 4 or higher).^^Pressing the Z key will enable Crouching.^^Holding the game key for Defending and pressing the game key for Action will execute a Shield Bash.^^Once you have developed a Trait, pressing the T key will activate it.^^In Multiplayer, holding the Q key and pressing the key for Defending will allow you to Taunt your opponents.'
; ip_division_placement|Division Placement
; ip_division_placement_text|When ONE division is selected, the center of its front rank is placed at the spot indicated.^^When MANY divisions are selected, they are separated and spread out as if the player were standing at the spot indicated.^^One may memorize the placement of selected divisions relative to the player by pressing F2, F7. Default is infantry to the left, cavalry right, and ranged forward. Placement is overridden for any division the player chooses to personally head through the Formations Options menu.^^If the camp menu game option is set, divisions will rotate to face the enemy. Otherwise, they will maintain the facing that the player had when they were placed.
; ip_formations|Formations
; ip_formations_text|The Complex Formations on the Battle Menu are:^^- RANKS with best troops up front^- SHIELD WALL, ranks with shields in front and longer weapons in back^- WEDGE with best troops up front^- SQUARE in no particular order^- NO FORMATION^^Even in the last case, the player can make formations up to four lines by ordering Stand Closer enough times.
; ip_dog_companion|Dog Companion
; ip_dog_companion_text|While wandering about, lost in your own thoughts, you suddenly hear a dog bark at you. Luckily, you have a piece of sausage with you. It's the beginning of a companionship. The dog will not leave your side, even on the battlefield, and soon earns a name.^On the battlefield, your dog is placed in division 9. The skills and abilities of your dog companion can be improved by giving him good food.
; ip_rents|Rents
; ip_rents_text|Every settlement that you own generates rents. Rents are paid weekly on average over a long term, but the frequency of payment is variable. Some weeks you may get payments, and during others you may get nothing. If the payment hasn't been processed by paydate, the entry in your budget will state that the rents were unpaid. If the village is looted, or fort or town is plundered, the entry in your budget will state that no rents are available. Once the village/fort/town is back to normal state, they will restart processing rent payments. Rents are also affected by prosperity of the settlement, presence of any special buildings, religious composition, tax rate and difficulty settings. Special buildings will continue generating rents even if the place is plundered.
; ip_quarters|Quarters
; ip_quarters_text|Quarters allow you leave some of your troops at a particular location on the map. You can have up to two quarters.^^There are several scenarios which make quarters useful:^- If you need to travel on a boat, but you can't afford to pay passage for all your troops^- If the capacity of your fleet isn't big enough to transport all your troops at the same time^- If you want to sneak into a town^- If you want to travel faster over the world map
