
ui_music_volume|Głośność muzyki:
; ui_upgrade_one|Upgrade one
; ui_party_skills|Party Skills
; ui_morale|Morale: %s
; ui_terrible|Terrible
; ui_very_low|Very low
ui_low|Niskie
; ui_below_average|Below average
ui_average|Średnia
; ui_above_average|Above average
ui_high|Wysokie
; ui_very_high|Very high
; ui_excellent|Excellent
; ui_starving|Starving! %d%%
; ui_weekly_cost_value|Weekly cost: %s
; ui_company|Company: %d / %d
; ui_prisoners_equal_value|Prisoners: %d / %d
; ui_choose_prisoners|Choose Prisoners
; ui_choose_companions|Choose Companions
ui_rescued_prisoners|Uratowanie więźniowie
; ui_captured_enemies|Captured Enemies
; ui_disband|Disband
; ui_take_prisoner|Take prisoner
; ui_take_back|Take back
; ui_give|Give
; ui_take|Take
; ui_sell|Sell
; ui_hire|Hire
; ui_notification_cant_hire|(Can't hire: not enough money)
; ui_uncapture|Release
; ui_capture|Capture
; ui_party_capcity_reached|(Party capacity reached)
; ui_all| all
; ui_joining_cost_weekly_wage|Joining cost: %d, Weekly wage: %d
; ui_weekly_wage|Weekly wage: %d peningas
; ui_price|Price: %d
; ui_number_ready_to_upgrade|%d ready to be upgraded.
; ui_upgrade_to_value| Upgrade to %s (%dp)
; ui_notification_no_slot_for_upgrade|No slot for upgrading to %s!
; ui_shield_broken|Shield broken.
; ui_shield_cracked|Shield cracked.
; ui_shield_deformed|Shield broken.
; ui_you_hit_a_friendly_troop|You hit a friendly troop!
; ui_hit_shield_on_back|Hit shield on back!
; ui_delivered_couched_lance_damage|Delivered couched lance damage!
; ui_received_couched_lance_damage|Received couched lance damage!
; ui_speed_bonus_plus|Speed bonus: +%d%%
; ui_speed_bonus|Speed bonus: %d%%
; ui_cant_reload_this_weapon_on_horseback|Can't reload this weapon on horseback.
; ui_no_more_bolts|No more projectiles...
; ui_you_are_not_carrying_any_bolts|You are not carrying any projectiles.
; ui_no_more_arrows|No more arrows...
; ui_you_are_not_carrying_any_arrows|You are not carrying any arrows.
; ui_head_shot|Head shot!
; ui_delivered_number_damage|Delivered %d damage.
; ui_delivered_number_damage_to_horse|Delivered %d damage to horse.
; ui_horse_charged_for_number_damage|Horse charged for %d damage.
; ui_received_number_damage|Received %d damage.
; ui_horse_received_number_damage|Horse received %d damage.
; ui_value_killed_teammate|%s has killed a teammate!
; ui_horse_fell_dead|Horse fell dead...
; ui_horse_crippled|Horse crippled...
; ui_shot_difficulty|Shot difficulty: %2.1f
; ui_you_have_improved_your_proficiency_in_value_to_number|You have improved your proficiency in %s to %d.
; ui_your_proficiency_in_value_has_improved_by_number_to_number|Your proficiency in %s has improved by +%d to %d.
; ui_value_killed_by_value|%s killed by %s.
; ui_value_fell_dead|%s fell dead.
; ui_value_knocked_unconscious_by_value|%s knocked unconscious by %s.
; ui_value_fell_unconscious|%s fell unconscious.
; ui_troop_routed|%s has been routed.
; ui_troop_panicked|%s has panicked.
; ui_troop_fled|%s has fled the battle.
; ui_you_got_number_experience|You got %d experience.
; ui_you_have_advanced_to_level_number|You have advanced to level %d.
; ui_value_has_advanced_to_level_number|%s has advanced to level %d.
; ui_you_got_value|You got %s.
; ui_new_quest_taken|New quest taken: %s.
; ui_quest_completed_value|Quest completed: %s.
; ui_quest_succeeded_value|Quest succeeded: %s.
; ui_quest_failed_value|Quest failed: %s.
; ui_quest_concluded_value|Quest concluded: %s.
; ui_quest_cancelled_value|Quest cancelled: %s.
; ui_lost_value| (Lost: %s)
; ui_items_lost| (Items lost:
; ui_party_has_nothing_to_eat|Party has nothing to eat!
; ui_days_training_is_complete|Day's training is complete...
; ui_total_experience_gained_through_training_number|Total experience gained through training: %d
; ui_some_soldiers_are_ready_to_upgrade|Some soldiers are ready to upgrade.
; ui_number_of_companions_exceeds_leadership_limit| Number of companions exceeds leadership limit.
; ui_number_of_prisoners_exceeds_prisoner_management_limit| Number of prisoners exceeds prisoner management limit.
; ui_party_morale_is_low| Party morale is low!
; ui_and_one_space| and
; ui_has_deserted_the_party| has deserted the party.
; ui_have_deserted_the_party| have deserted the party.
; ui_weekly_report|Weekly report
; ui_shared_number_experience_within_party|Shared %d experience within party.
; ui_got_item_value|Got item: %s.
; ui_game_saved_successfully|Game saved successfully.
; ui_autosaving|Autosaving...
; ui_quick_saving|Quick-saving...
; ui_cant_quick_save|Can't Quick-save during battle...
; ui_screenshot_taken_to_value|Screenshot is saved to %s
; ui_screenshot_failed|Can't save screenshot.
; ui_value_joined_your_party|%s joined your party.
; ui_value_joined_party_as_prisoner|%s joined party as prisoner.
; ui_value_has_joined_party|%s has joined party.
; ui_value_has_been_taken_prisoner|%s has been taken prisoner.
; ui_value_left_the_party|%s left the party.
; ui_number_values_left_the_party|%d %s(s) left the party.
; ui_number_value_left_the_party|%d %s left the party.
; ui_your_relations_with_value_has_improved_from_number_to_number|Your relations with %s has improved from %d to %d.
; ui_your_relations_with_value_has_deteriorated_from_number_to_number|Your relations with %s has deteriorated from %d to %d.
; ui_you_lost_value|You lost %s.
; ui_lost_item_value|Lost item: %s.
; ui_got_number_value|Got %d %s.
; ui_lost_number_value|Lost %d %s.
; ui_set_default_keys|Set default keys
; ui_undo_changes|Undo changes
; ui_press_a_key|Press a key
; ui_return_to_game|Return to Game
; ui_options|Options
; ui_save_and_exit|Save & Exit
; ui_save|Save
; ui_save_as|Save As
; ui_quit_without_saving|Quit without Saving
; ui_empty_slot|Empty Slot
; ui_game_saved|Game saved...
; ui_confirm_overwrite|Savegame for %s will be overwritten. Are you sure?
; ui_dynamic_lighting|Dynamic Lighting
; ui_character_shadows|Character Shadows
; ui_grass_density|Grass Density:
; ui_environment_shadows|Environment Shadows
; ui_realistic_shadows_on_plants|Realistic Shadows on Plants:
; ui_particle_systems|Particle Systems
; ui_gamma|Monitor Gamma:
; ui_character_detail|Character Detail:
; ui_character_shadow_detail|Character Shadow Detail:
; ui_blood_stains|Blood Stains:
; ui_on|On
ui_off|Wyłącz
; ui_near_player_only|Near player only
; ui_default|Default
; ui_3d_grass|3D Grass:
; ui_number_of_ragdolls|Number of Rag Dolls:
; ui_number_of_corpses|Number of Corpses:
; ui_unlimited|Unlimited
; ui_anisotropic_filtering|Anisotropic Filtering
; ui_fast_water_reflection|Fast Water Reflections
; ui_maximum_framerate|Max. Frame-rate:
; ui_show_framerate|Show Frame-rate:
; ui_estimated_performance|Estimated Performance: %d%%
; ui_change_graphics_settings_explanation|Some changes you have made will take effect when you enter a new area.
; ui_start_tutorial|Play Tutorial
; ui_start_a_new_game|Start a New Game
; ui_restore_a_saved_game|Load Game
; ui_exit_to_windows|Exit
; ui_credits|Credits
; ui_version_value|v%s
; ui_active_quests|Active Quests
; ui_finished_quests|Finished Quests
; ui_given_on_date|Given on: %s
; ui_days_since_given|Days since given: %d
; ui_quest_progression_number|Quest progression: %d%%
; ui_too_many_quests|Too many quests
ui_ok|OK
; ui_move_forward|Move Forward
; ui_move_backward|Move Backward
; ui_move_left|Move Left
; ui_move_right|Move Right
ui_action|Akcja
; ui_jump|Jump
; ui_attack|Attack
; ui_parry_then_attack|Counter Attack
; ui_defend|Defend
; ui_kick|Kick
; ui_equip_weapon_1|Equip Item 1
; ui_equip_weapon_2|Equip Item 2
; ui_equip_weapon_3|Equip Item 3
; ui_equip_weapon_4|Equip Item 4
; ui_equip_next_weapon|Equip Next Weapon
; ui_equip_next_shield|Equip Next Shield
; ui_sheath_weapon|Sheath Weapon
; ui_character_window|Character Window
; ui_inventory_window|Inventory Window
; ui_party_window|Party Window
; ui_quests_window|Quests Window
; ui_game_log_window|Game Log Window
; ui_leave_location_retreat|Leave Location/Retreat
; ui_zoom|Zoom
; ui_view_outfit|View Outfit
; ui_toggle_first_person_view|Toggle First Person View
; ui_view_orders|View Orders
; ui_quick_save|Quick Save
; ui_no_key_assigned|No key assigned
; ui_new_enemies_have_arrived|New enemies have arrived.
; ui_reinforcements_have_arrived|Reinforcements have arrived.
; ui_report_casualties|Report Casualties
; ui_report_experience|Report Experience
; ui_current_level_value|Current Level: %d
ui_base_attribute_value|Podstawowe atrybuty: %s
; ui_battle_controls|Battle Controls
; ui_map_controls|Map Controls
; ui_general_controls|General Controls
ui_zoom_in|Przybliż
ui_zoom_out|Oddal
ui_wait|Czekaj
ui_take_screenshot|Zrób zrzut ekranu
; ui_randomize|Randomize
; ui_hint|Lore
; ui_press_left_mouse_button_to_continue|Press left mouse button to continue...
; ui_loot|Loot
; ui_chest|Chest
ui_cut_short|c
ui_pierce_short|p
ui_blunt_short|b
ui_battle|Bitwa
ui_siege|Oblężenie
ui_troops|Jednostki:
ui_loading_module_info_file|Ładowanie informacji o module...
ui_processing_ini_file|Przetwarzanie plików INI...
ui_loading_music|Ładowanie muzyki...
ui_loading_data|Ładowanie danych...
ui_loading_setting_data|Ładowanie ustawień...
ui_loading_textures|Ładowanie tekstur...
ui_finished|Zakończono.
ui_creating_game|Tworzenie gry...
ui_loading_savegame_file|Ładowanie zapisanych stanów gry...
ui_loading_map_file|Ładowanie mapy...
ui_initializing_map|Uruchamianie mapy...
ui_launching_game|Uruchamianie gry...
ui_capital_battle|BITWA:
ui_capital_versus|--PRZECIWKO--
; ui_tracks|Tracks
; ui_battleground|Battleground
; ui_order_1|Select Order 1
; ui_order_2|Select Order 2
; ui_order_3|Select Order 3
; ui_order_4|Select Order 4
; ui_order_5|Select Order 5
; ui_order_6|Select Order 6
; ui_order_button_hold_this_position|Hold this position
; ui_order_button_follow_me|Follow me
ui_order_button_charge|Naprzód
; ui_order_button_stand_ground|Stand ground
; ui_order_button_retreat|Retreat
; ui_order_button_advance|Advance ten paces
; ui_order_button_fall_back|Fall back ten paces
; ui_order_button_spread_out|Spread out
; ui_order_button_stand_closer|Stand closer
; ui_order_button_mount_horses|Mount horses
ui_order_button_dismount|Zsiąść
; ui_order_button_hold_fire|Hold your fire
; ui_order_button_fire_at_will|Fire at will
; ui_order_button_use_blunt_weapons|Use only blunt weapons
; ui_order_button_use_any_weapon|Use weapons at will
; ui_order_button_movement_orders|Movement orders
; ui_order_button_formation_orders|Formation orders
; ui_order_button_fire_orders|Fire orders
; ui_follow_me_e_|%s, follow me!
; ui_charge_e_|%s, charge!!!
; ui_stand_ground_e_|%s, stand ground!
; ui_retreat_e_|%s, retreat!
; ui_mount_horses_e_|%s, mount horses!
; ui_dismount_e_|%s, dismount!
; ui_advance_e_|%s, advance ten paces!
; ui_fall_back_e_|%s, fall back ten paces!
; ui_stand_closer_e_|%s, stand closer!
; ui_spread_out_e_|%s, spread out!
; ui_use_blunt_weapons_e_|%s, use only blunt weapons!
; ui_use_any_weapon_e_|%s, use weapons at will!
; ui_hold_fire_e_|%s, hold your fire!
; ui_fire_at_will_e_|%s, fire at will!
; ui_hold_this_position_e_|%s, hold this position!
ui_infantry|Piechota
ui_archers|Łucznicy
ui_cavalry|Kawaleria
ui_companions|Kompani
; ui_everyone_hear_me|Everyone, hear me!
; ui_everyone|Everyone
; ui_everyone_around_me|Nearby Soldiers
; ui_str_hear_me|%s, hear me!
; ui_str_and_str|%s and %s
; ui_str_comma_str|%s, %s
; ui_need_to_learn_prisoner_management|The number of prisoners is determined by the size of your army.
; ui_game_log|Game Log
; ui_recent_messages|Recent Messages
; ui_custom_battle|Custom Battle
; ui_player|Player
; ui_value_denars|%d peningas
; ui_back|Back
; ui_forward|Forward
; ui_display_on_map|Show On Map
; ui_info_pages|Game Concepts
; ui_troops2|Characters
; ui_locations|Locations
; ui_click_button_to_view_note|Click on a link to view the notes
; ui_this_page_contains_no_information|This page contains no information
; ui_other_pages_that_link_here|Other pages that link here: 
; ui_report_is_value_days_old| (Report is %d days old)
; ui_report_is_current| (Report is current)
; ui_button_party_member_healthy_total|%s (%d/%d)
; ui_button_party_member_total|%s (%d)
; ui_button_party_member_hero_percentage_wounded|%s (%d%% - Wounded)
; ui_button_party_member_hero_percentage|%s (%d%%)
; ui_percentage_value|%d%%
; ui_full|Full
; ui_quick|Quick
ui_none|Brak
; ui_change|Change
; ui_how_to_change|How to change this?
; ui_change_directx_explanation|You can change the render method between DirectX 7 and DirectX 9 by clicking on the Configure button at the launch menu that comes up when you first start the game.
; ui_dropping_picking_up|Dropping %s; picking up %s.
; ui_dropping|Dropping %s.
; ui_picking_up|Picking up %s.
; ui_unable_to_take|Unable to take that.
; ui_age|Age
; ui_cannot_be_used_on_horseback|Cannot be used on horseback
ui_enable_vertex_shaders2|Metoda renderowania:
ui_screen_size2|Rozdzielczość ekranu:
ui_use_desktop_resolution2|Użyj rozdzielczości pulpitu
ui_shadow_quality2|Jakość cieni:
ui_m_low2|Niskie
ui_m_high2|Wysokie
ui_m_ultra_high2|Ultra wysokie
ui_off2|Wyłącz
; ui_group_header|Class of troop
; ui_group_rename|Rename group
ui_group_1|Piechota
ui_group_2|Łucznicy
ui_group_3|Kawaleria
; ui_group_4|Spearmen
; ui_group_5|Skirmishers
; ui_group_6|Horse Archers
; ui_group_7|Unnamed 1
; ui_group_8|Unnamed 2
; ui_group_9|Unnamed 3
; ui_group_rename|Rename group
ui_group_close|Zamknij
; ui_party_b_group_information|%s belongs to %s group
; ui_thrown_or_s|Thrown/%s
; ui_ranged_damage|Ranged: %d%s
; ui_overall_quality|Overall Quality
; ui_shader_quality|Shader Quality:
; ui_flora_lod_detail|Tree Detail:
; ui_flora_degrade_distance|Tree Degrade Distance:
; ui_antialiasing|AntiAliasing:
; ui_use_depth_effects|Use Depth Effects
; ui_hdr_mode|HDR Mode:
; ui_autoexpore|Auto-exposure
; ui_choose_profile|Choose Profile
; ui_create|Create
; ui_edit|Edit
; ui_join_game|Join a Game
; ui_host_game|Host a Game
; ui_custom|Custom
; ui_medium|Medium
ui_male|Mężczyzna
ui_female|Kobieta
; ui_gender|Choose Gender:
; ui_edit_profile|Edit Profile
; ui_new_profile|New Profile
; ui_enter_username|Enter Username:
; ui_invalid_username|Usernames may only contain letters, numbers or '_' character.
ui_confirmation|Jesteś pewien?
ui_multiplayer|Tryb dla wielu graczy
ui_server_name|Serwer
ui_module_name|Moduł
ui_game_type|Tryb gry
ui_map_name|Mapa
ui_ping|Ping
ui_dedicated|Dedykowany
ui_number_of_players|Gracze
ui_password_protected|Hasło
ui_connect|Połącz
ui_local_area_network|Sieć lokalna
ui_internet|Internet
ui_favorites|Ulubione
ui_source|Źródło:
ui_server_password|Hasło serwera:
ui_refresh|Odśwież
ui_start_search|Zacznij wyszukiwanie
ui_add_to_favorites|Dodaj do ulubionych
ui_remove_from_favorites|Usuń z ulubionych
; ui_use_speedtree|Use Speedtree
; ui_use_instancing|Use Instancing
ui_error|Błąd
ui_error_server_full|Serwer jest pełen.
ui_error_server_full_for_non_private|Serwer jest pełen dla graczy bez hasła członka prywatnego.
ui_error_server_password_incorrect|Niepoprawne hasło.
ui_error_incorrect_serial|Niepoprawny numer seryjny.
ui_error_incorrect_authorization_key|Niepoprawny klucz autoryzacyjny.
ui_error_banned_from_server|Jesteś zbanowany na tym serwerze.
ui_error_username_taken|Nazwa profilu jest używana przez innego gracza.
ui_error_authentication_failed|Identyfikacja nie powiodła się.
ui_unable_to_connect_to_server|Nie udało się nawiązać połączenia z serwerem.
ui_connection_to_server_is_lost|Utracono połączenie z serwerem.
ui_kicked_from_server|Zostałeś wyrzucony z serwera.
