p_zendar|Zendar
p_village_27|Badon Ham
p_village_28|Escan Ham
p_village_29|Tref Towan
p_village_30|Tref Tagell
p_village_31|Tref Cathures
p_village_32|Tref Cuil
p_village_33|Tref Caradawg
p_village_34|Tref Gob
p_village_35|Bal Duim
p_village_36|Bal Foither
p_village_37|Bal Tauro
p_village_38|Bal Averte
p_village_39|Bal Onlaigh
p_village_40|Bal Muirchol
p_village_41|Tref Bych
p_village_42|Tref Bran
p_village_43|Tref Arth
p_village_44|Tref Erth
p_village_45|Tref Seniont
p_village_46|Tref Sws
p_village_47|Tref Ceincoed
p_village_48|Tref Went
p_village_49|Skyfa By
p_village_50|Vebjorg By
p_village_51|Huhelstath By
p_village_52|Heida By
p_village_53|Skiringssalr By
p_village_54|Horda By
p_village_55|Agdir By
p_village_56|Rogaland By
p_village_57|Tref Reghed
p_village_58|Bal Baitte
p_village_59|Tref Manaw
p_village_60|Bjarnaroy By
p_village_61|Orkneyjar By
p_village_62|Veisa By
p_village_63|Kennemer Terp
p_village_64|Vles Inge Terp
p_village_65|Bal Sebuirge
p_village_66|Bal Magh
p_village_67|Bal Magh Cobha
p_village_68|Bal Mor
p_village_69|Bal Clochair
p_village_70|Bal Fearnmhaigh
p_village_71|Bal Macha
p_village_72|Bal Dumai
p_village_73|Bal Mor
p_village_74|Bal Eachadha
p_village_75|Bal Breacain
p_village_76|Bal Crannoc
p_village_77|Bal Chomain
p_village_78|Bal Luighne
p_village_79|Bal Fiachrach Aidne
p_village_80|Bal Berchna
p_village_81|Bal Grian Airbh
p_village_82|Bal Les Mor
p_village_83|Bal Ciarraighe Luachra
p_village_84|Bal Muscraighe
p_village_85|Bal Na Mbarc
p_village_86|Bal Dara
p_village_87|Bal Liamhain
p_village_88|Bal Bolg
p_village_89|Bal Ros Mhic Treoin
p_village_90|Bal Mairg Laigen
p_village_91|Bal Tara
p_village_92|Cantwara Ham North
p_village_93|Cantwara Ham South
p_village_94|Cippan Ham East
p_village_95|Cippan Ham West
p_village_96|Eidyn Ham East
p_village_97|Eidyn Ham West
p_village_98|Ribe By North
p_village_99|Ribe By South
p_village_100|Tuns By East
p_village_101|Tuns By West
p_village_102|Tref Breatann East
p_village_103|Tref Breatann West
p_village_104|Dubh Linn By North
p_village_105|Dubh Linn By South
p_village_106|Tref Dyf East
p_village_107|Tref Dyf West
p_village_108|Eofer Ham East
p_village_109|Eofer Ham West
p_village_110|Dore Hem East
p_village_111|Dore Hem West
p_village_112|Lunden Ham North
p_village_113|Lunden Ham South
p_village_114|Tref Mon East
p_village_115|Tref Mon West
p_village_116|Dun Ham North
p_village_117|Dun Ham South
p_village_118|Bal Scuin East
p_village_119|Bal Scuin West
p_village_120|Witan Ham North
p_village_121|Witan Ham South
p_village_122|Tref Bodmine East
p_village_123|Tref Bodmine West
p_village_124|Bal Cainnighn North
p_village_125|Bal Cainnighn South
p_village_126|Bal Rigmonaid North
p_village_127|Bal Rigmonaid South
p_village_128|Bal Celtair East
p_village_129|Bal Celtair West
p_village_130|Bal Maistiu East
p_village_131|Bal Maistiu West
p_village_132|Tref Meguaidd East
p_village_135|Tref Meguaidd West
p_village_134|Tom Ham North
p_village_136|Bal Caiseal East
p_village_137|Bal Caiseal West
p_village_138|Bal Aileach East
p_village_139|Bal Aileach West
p_village_140|Tref Brycheiniog East
p_village_141|Tref Brycheiniog West
p_village_142|Bebban Ham North
p_village_143|Bebban Ham South
p_village_144|Bal Cruaghan East
p_village_145|Bal Cruaghan West
p_village_146|Bal Temair North
p_village_147|Bal Temair South
p_village_148|Cirren Ham East
p_village_149|Cirren Ham West
p_village_150|Doccinga
p_salt_mine|Salt Mine
p_four_ways_inn|Four Ways Inn
p_test_scene|test scene
p_battlefields|battlefields
p_frisa_beach|Friese Beach
p_farmland|Ulf's Farmstead
p_boar_grove|Boar Grove
p_readingum|Readingum
p_aescesdun|Aescesdun
p_mega_danishrmy|Great Summer Army
p_battle_stones|Stone Row
p_farmland_special|Farmland
p_roman_fort|Roman Fort
p_troll_bridge|The Trolls Bridge
p_circle_mystic1|Circle Mystic
p_celidon_forest|Ancient Stones
p_hidden_valley|Strange Ruins
p_quarry1|Quarry
p_quarry2|Quarry
p_quarry3|Quarry
p_quarry4|Quarry
p_saltmine1|Salt Mine
p_saltmine2|Salt Mine
p_saltmine3|Salt Mine
p_saltmine4|Salt Mine
p_lumbercamp1|Lumber Camp
p_lumbercamp2|Lumber Camp
p_lumbercamp3|Lumber Camp
p_lumbercamp4|Lumber Camp
p_farmsteadsp1|Farmstead
p_farmsteadsp2|Farmstead
p_farmsteadsp3|Farmstead
p_farmsteadsp4|Farmstead
p_farmsteadsp5|Farmstead
p_farmsteadsp6|Farmstead
p_farmsteadsp7|Farmstead
p_farmsteadsp8|Farmstead
p_farmsteadsp9|Farmstead
p_hadrian_wall1|Hadrian Wall
p_bjorn_camp|Bjorn's camp
p_snotingaham_siege|Snotingaham under siege
p_odin_cave|Odin's Cave
p_stonemonumento|stonemonumento
p_forestbattle|Forest Battle
p_the_thing|The Assembly
p_dhorak_keep|Dhorak Keep
p_training_ground|Training Ground
p_training_ground_1|Training Field
p_training_ground_2|Training Village
p_training_ground_3|Training Field
p_training_ground_4|Training Lake
p_training_ground_5|Training Camp
p_monasterio1|Ad Candida Casam
p_monasterio2|Willibrord
p_monasterio3|Dommoc
p_monasterio4|Lindisfarne
p_monasterio5|Aporcrosan
p_monasterio6|Petrus
p_monasterio7|Apurnethige
p_monasterio8|Llanteulyddog
p_monasterio9|Ynys Enlli
p_monasterio10|Eveshomme
p_monasterio11|Inderawuda
p_monasterio12|Hagustaldes
p_monasterio13|Briudun
p_monasterio14|Gudlac
p_monasterio15|Wochingas
p_monasterio16|Clofesho
p_monasterio17|Waerburh
p_monasterio18|Derhurst
p_monasterio19|Ythan
p_monasterio20|Petrockstow
p_monasterio21|Medeshamstede
p_monasterio22|Cocheham
p_monasterio23|Patricius
p_monasterio24|Daire Calgaich
p_monasterio25|Finian
p_monasterio26|Raithean
p_monasterio27|Carthach
p_monasterio28|Scelic Mhichi
p_monasterio29|Gleann Da Loch
p_yourlair|Jab's Refuge
p_thiaderd_lair|Thiaderd's Hideout
p_destroy1|Thiaderd's Hideout, Destroyed
p_destroy2|Sven's Lair, Destroyed
p_destroy3|Aescesdun Battlefield
p_followers_camp|Followers Camp
p_ferry_1a|ferry station
p_ferry_2a|ferry station
p_ferry_3a|ferry station
p_ferry_4a|ferry station
p_ferry_1b|ferry station
p_ferry_2b|ferry station
p_ferry_3b|ferry station
p_ferry_4b|ferry station
p_jetty_1|jetty 1
p_jetty_2|jetty 2
p_jetty_3|jetty 3
p_jetty_4|jetty 4
p_jetty_5|jetty 5
p_jetty_6|jetty 6
p_looter_spawn_point|their hideout
p_looter_spawn_point2|their hideout
p_looter_spawn_point3|their hideout
p_steppe_bandit_spawn_point|their camp
p_taiga_bandit_spawn_point|their longphort
p_forest_bandit_spawn_point|their den
p_forest_bandit_spawn_point2|their den
p_forest_bandit_spawn_point4|their den
p_mountain_bandit_spawn_point|their camp
p_mountain_bandit_spawn_point3|their camp
p_new_sp|their parish
p_new_sp2|their parish
p_new_sp3|the countryside
p_new_sp4|the countryside
p_sea_raider_spawn_point_1|their longphort
p_sea_raider_spawn_point_2|their longphort
p_sea_raider_spawn_point_3|their longphort
p_desert_bandit_spawn_point|their camp
p_frank_looters_sp_1|their den
p_frank_looters_sp_2|their den
p_ship_raider_spawn_point_1|their landing
p_ship_raider_spawn_point_2|their longphort
p_ship_raider_spawn_point_3|their landing
p_ship_raider_spawn_point_4|their longphort
p_ship_raider_spawn_point_5|their longphort
p_ship_raider_spawn_point_6|their landing
p_testing_spawn_point|the sea
p_landing_point|landing point
p_landing_point2|landing point2
p_the_fleet|The Fleet
p_transporter|Transporter
p_troop_camp_1|Troop camp
p_troop_camp_2|Troop camp
