p_zendar|Zendar
p_village_27|Badon Ham
p_village_28|Escan Ham
p_village_29|Tref Towan
p_village_30|Tref Tagell
p_village_31|Tref Cathures
p_village_32|Tref Cuil
p_village_33|Tref Caradawg
p_village_34|Tref Gob
p_village_35|Bal Duim
p_village_36|Bal Foither
p_village_37|Bal Tauro
p_village_38|Bal Averte
p_village_39|Bal Onlaigh
p_village_40|Bal Muirchol
p_village_41|Tref Bych
p_village_42|Tref Bran
p_village_43|Tref Arth
p_village_44|Tref Erth
p_village_45|Tref Seniont
p_village_46|Tref Sws
p_village_47|Tref Ceincoed
p_village_48|Tref Went
p_village_49|Skyfa By
p_village_50|Vebjorg By
p_village_51|Huhelstath By
p_village_52|Heida By
p_village_53|Skiringssalr By
p_village_54|Horda By
p_village_55|Agdir By
p_village_56|Rogaland By
p_village_57|Tref Reghed
p_village_58|Bal Baitte
p_village_59|Tref Manaw
p_village_60|Bjarnaroy By
p_village_61|Orkneyjar By
p_village_62|Veisa By
p_village_63|Kennemer Terp
p_village_64|Vles Inge Terp
p_village_65|Bal Sebuirge
p_village_66|Bal Magh
p_village_67|Bal Magh Cobha
p_village_68|Bal Mor
p_village_69|Bal Clochair
p_village_70|Bal Fearnmhaigh
p_village_71|Bal Macha
p_village_72|Bal Dumai
p_village_73|Bal Mor
p_village_74|Bal Eachadha
p_village_75|Bal Breacain
p_village_76|Bal Crannoc
p_village_77|Bal Chomain
p_village_78|Bal Luighne
p_village_79|Bal Fiachrach Aidne
p_village_80|Bal Berchna
p_village_81|Bal Grian Airbh
p_village_82|Bal Les Mor
p_village_83|Bal Ciarraighe Luachra
p_village_84|Bal Muscraighe
p_village_85|Bal Na Mbarc
p_village_86|Bal Dara
p_village_87|Bal Liamhain
p_village_88|Bal Bolg
p_village_89|Bal Ros Mhic Treoin
p_village_90|Bal Mairg Laigen
p_village_91|Bal Tara
p_village_92|Cantwara Ham Nord
p_village_93|Cantwara Ham Sud
p_village_94|Cippan Ham Est
p_village_95|Cippan Ham Ovest
p_village_96|Eidyn Ham Est
p_village_97|Eidyn Ham Ovest
p_village_98|Ribe By Nord
p_village_99|Ribe By Sud
p_village_100|Tuns By East
p_village_101|Tuns By Ovest
p_village_102|Tref Breatann Est
p_village_103|Tref Breatann Ovest
p_village_104|Dubh Linn By Nord
p_village_105|Dubh Linn By Sud
p_village_106|Tref Dyf Est
p_village_107|Tref Dyf Ovest
p_village_108|Eofer Ham Est
p_village_109|Eofer Ham Ovest
p_village_110|Dore Hem Est
p_village_111|Dore Hem Ovest
p_village_112|Lunden Ham Nord
p_village_113|Lunden Ham Sud
p_village_114|Tref Mon Est
p_village_115|Tref Mon Ovest
p_village_116|Dun Ham Nord
p_village_117|Dun Ham Sud
p_village_118|Bal Scuin Est
p_village_119|Bal Scuin Ovest
p_village_120|Witan Ham Nord
p_village_121|Witan Ham Sud
p_village_122|Tref Bodmine Est
p_village_123|Tref Bodmine Ovest
p_village_124|Bal Cainnighn Nord
p_village_125|Bal Cainnighn Sud
p_village_126|Bal Rigmonaid Nord
p_village_127|Bal Rigmonaid Sud
p_village_128|Bal Celtair Est
p_village_129|Bal Celtair Ovest
p_village_130|Bal Maistiu Est
p_village_131|Bal Maistiu Ovest
p_village_132|Tref Meguaidd Est
p_village_135|Tref Meguaidd Ovest
p_village_134|Tom Ham Nord
p_village_136|Bal Caiseal Est
p_village_137|Bal Caiseal Ovest
p_village_138|Bal Aileach Est
p_village_139|Bal Aileach Ovest
p_village_140|Tref Brycheiniog Est
p_village_141|Tref Brycheiniog Ovest
p_village_142|Bebban Ham Nord
p_village_143|Bebban Ham Sud
p_village_144|Bal Cruaghan Est
p_village_145|Bal Cruaghan Ovest
p_village_146|Bal Temair Nord
p_village_147|Bal Temair Sud
p_village_148|Cirren Ham Est
p_village_149|Cirren Ham Ovest
p_village_150|Doccinga
p_salt_mine|Miniera di Sale
p_four_ways_inn|Locanda Quattro Vie
p_test_scene|scena test
p_battlefields|Campo di Battaglia
p_frisa_beach|Spaggia Friese
p_farmland|Fattoria di Ulf
p_boar_grove|Boschetto di Cinghiali
p_readingum|Readingum
p_aescesdun|Aescesdun
p_mega_danishrmy|Grande Armata d'Estate
p_battle_stones|Fila di Pietre
p_farmland_special|Podere
p_roman_fort|Forte Romano
p_troll_bridge|Ponte del Troll
p_circle_mystic1|Cicolo Mistico
p_celidon_forest|Antiche Rovine
p_hidden_valley|Strane Rovine
p_quarry1|Cava
p_quarry2|Cava
p_quarry3|Cava
p_quarry4|Cava
p_saltmine1|Miniera di Sale
p_saltmine2|Miniera di Sale
p_saltmine3|Miniera di Sale
p_saltmine4|Miniera di Sale
p_lumbercamp1|Legnaia
p_lumbercamp2|Legnaia
p_lumbercamp3|Legnaia
p_lumbercamp4|Legnaia
p_farmsteadsp1|Fattoria
p_farmsteadsp2|Fattoria
p_farmsteadsp3|Fattoria
p_farmsteadsp4|Fattoria
p_farmsteadsp5|Fattoria
p_farmsteadsp6|Fattoria
p_farmsteadsp7|Fattoria
p_farmsteadsp8|Fattoria
p_farmsteadsp9|Fattoria
p_hadrian_wall1|Vallo di Adriano
p_bjorn_camp|Campo di Bjorn
p_snotingaham_siege|Snotingaham sotto assedio
p_odin_cave|Caverna di Odino
p_stonemonumento|Monumento di pietra
p_forestbattle|Battaglia della Foresta
p_the_thing|L'Assemblea
p_dhorak_keep|Dhorak Keep
p_training_ground|Campo d'addestramento
p_training_ground_1|Campo d'addestramento
p_training_ground_2|Villaggio d'addestramento
p_training_ground_3|Campo d'addestramento
p_training_ground_4|Lago d'addestramento
p_training_ground_5|Campo d'addestramento
p_monasterio1|Ad Candida Casam
p_monasterio2|Willibrord
p_monasterio3|Dommoc
p_monasterio4|Lindisfarne
p_monasterio5|Aporcrosan
p_monasterio6|Petrus
p_monasterio7|Apurnethige
p_monasterio8|Llanteulyddog
p_monasterio9|Ynys Enlli
p_monasterio10|Eveshomme
p_monasterio11|Inderawuda
p_monasterio12|Hagustaldes
p_monasterio13|Briudun
p_monasterio14|Gudlac
p_monasterio15|Wochingas
p_monasterio16|Clofesho
p_monasterio17|Waerburh
p_monasterio18|Derhurst
p_monasterio19|Ythan
p_monasterio20|Petrockstow
p_monasterio21|Medeshamstede
p_monasterio22|Cocheham
p_monasterio23|Patricius
p_monasterio24|Daire Calgaich
p_monasterio25|Finian
p_monasterio26|Raithean
p_monasterio27|Carthach
p_monasterio28|Scelic Mhichi
p_monasterio29|Gleann Da Loch
p_yourlair|Rifugio di Jab
p_thiaderd_lair|Nascondiglio di Thiaderd
p_destroy1|Nascondiglio di Thiaderd, Distrutto
p_destroy2|Covo di Sven, Distrutto
p_destroy3|Campo di Battaglia di Aescesdun
p_followers_camp|Seguaci dell' Accampamento
p_ferry_1a|stazione traghetti
p_ferry_2a|stazione traghetti
p_ferry_3a|stazione traghetti
p_ferry_4a|stazione traghetti
p_ferry_1b|stazione traghetti
p_ferry_2b|stazione traghetti
p_ferry_3b|stazione traghetti
p_ferry_4b|stazione traghetti
p_jetty_1|Molo 1
p_jetty_2|Molo 2
p_jetty_3|Molo 3
p_jetty_4|Molo 4
p_jetty_5|Molo 5
p_jetty_6|Molo 6
p_looter_spawn_point|loro nascondiglio
p_looter_spawn_point2|loro nascondiglio
p_looter_spawn_point3|loro nascondiglio
p_steppe_bandit_spawn_point|loro campo
p_taiga_bandit_spawn_point|Loro Approdo
p_forest_bandit_spawn_point|loro covo
p_forest_bandit_spawn_point2|loro covo
p_forest_bandit_spawn_point4|loro covo
p_mountain_bandit_spawn_point|loro campo
p_mountain_bandit_spawn_point3|loro campo
p_new_sp|loro parrochhia
p_new_sp2|loro parrochhia
p_new_sp3|La campagna
p_new_sp4|La campagna
p_sea_raider_spawn_point_1|Loro Approdo
p_sea_raider_spawn_point_2|Loro Approdo
p_sea_raider_spawn_point_3|Loro Approdo
p_desert_bandit_spawn_point|loro campo
p_frank_looters_sp_1|loro covo
p_frank_looters_sp_2|loro covo
p_ship_raider_spawn_point_1|loro sbarco
p_ship_raider_spawn_point_2|Loro Approdo
p_ship_raider_spawn_point_3|loro sbarco
p_ship_raider_spawn_point_4|Loro Approdo
p_ship_raider_spawn_point_5|Loro Approdo
p_ship_raider_spawn_point_6|loro sbarco
p_testing_spawn_point|il mare
p_landing_point|Punto di approdo
p_landing_point2|punto di sbarco 2
p_the_fleet|La Flotta
p_transporter|Trasportatore
p_troop_camp_1|Alloggi delle truppe
p_troop_camp_2|Alloggi delle truppe
