str_yes|Si.
str_tutorialmq_1_msg_3|Eccellente. Ora, ci occuperemo di attaccare con armi.^^Puoi selezionare le diverse armi del tuo slot armi con lo scorrimento in avanti della rotellina del mouse oppure premendo uno dei primi quattro numeri il tastierino numerico.^^Per attaccare con l'arma attualmente brandita utilizzando il pulsante sinistro del mouse. Premere e tenere premuto il pulsante per preparare un attacco, quindi rilasciare il pulsante per colpire. Se si tiene premuto il pulsante sinistro del mouse più a lungo, il vostro attacco sarà più potente.^^Far Scorrere verso il basso o utilizzare il tastierino numerico equipaggiare o riporre lo scudo.^^Obiettivo: parla al veterano per far pratica di combattimento.
str_tutorialmq_1_msg_4|Bel lavoro! Ora conosci tutti i concetti di base per giocare a Viking Conquest. Ora è possibile esplorare, parlare con gli NPC, combattere con i marinai ed infine, quando si è pronti, parla al capitano per continuare la tua avventura.
str_finished|(Completato)
str_delivered_damage|Inflitti {reg60} danni.
str_archery_target_hit|Distanza: {reg61} yards. Punteggio: {reg60}
str_use_baggage_for_inventory|Usa il tuo bagaglio per accedere all'inventario durante la battaglia (si trova nella posizione di partenza).
str_cant_use_inventory_now|Ora non puoi accedere all'inventario.
str_cant_use_inventory_arena|Nell'arena non puoi accedere all'inventario.
str_cant_use_inventory_disguised|Quando usi un camuffamento non puoi accedere all'inventario.
str_cant_use_inventory_tutorial|Nel campo d'addestramento non puoi accedere all'inventario.
str_1_denar|1 pening
str_reg1_denars|{reg1} peningas
str_january_reg1_reg2|{reg1} Gennaio {reg2}
str_february_reg1_reg2|{reg1} Febbraio {reg2}
str_march_reg1_reg2|{reg1} Marzo {reg2}
str_april_reg1_reg2|{reg1} Aprile {reg2}
str_may_reg1_reg2|{reg1} Maggio {reg2}
str_june_reg1_reg2|{reg1} Giugno {reg2}
str_july_reg1_reg2|{reg1} Luglio {reg2}
str_august_reg1_reg2|{reg1} Agosto {reg2}
str_september_reg1_reg2|{reg1} Settembre {reg2}
str_october_reg1_reg2|{reg1} Ottobre {reg2}
str_november_reg1_reg2|{reg1} Novembre {reg2}
str_december_reg1_reg2|{reg1} Dicembre {reg2}
str_town_nighttime| È notte fonda, le strade sono deserte.
str_door_locked|La porta è chiusa.
str_castle_is_abondened|Il forte sembra essere disabitato.
str_town_is_abondened|La città sembra abbandonata.
str_place_is_occupied_by_player|La zona è sotto il controllo delle tue truppe.
str_place_is_occupied_by_enemy|La zona è sotto il controllo di truppe nemiche.
str_place_is_occupied_by_friendly|La zona è sotto il controllo di truppe amiche.
str_do_you_want_to_retreat|Confermi di volerti ritirare?
str_give_up_fight|Ritirarsi dalla battaglia?
str_do_you_wish_to_leave_tutorial|Vuoi terminare il tutorial?
str_do_you_wish_to_surrender|Vuoi arrenderti?
str_can_not_retreat|Non puoi ritirarti, ci sono dei nemici nelle vicinanze!
str_s1_joined_battle_enemy|{s1} si è unito alla battaglia dalla parte del nemico.
str_s1_joined_battle_friend|{s1} si è unito alla battaglia in tuo supporto.
str_entrance_to_town_forbidden|Le guardie cittadine vigilano attentamente, sembra che tu non sia in grado di passare il cancello senza essere notato.
str_sneaking_to_town_impossible|Le guardie cittadine sono allertate. Non sarai in grado di intrufolarti in città nemmeno con un ottimo travestimento.
str_battle_won|Hai vinto la battaglia!
str_battle_lost|Hai perso la battaglia!
str_attack_walls_success|Al termine di una sanguinosa battaglia, i tuoi valorosi soldati conquistano le mura sconfiggendo il nemico!
str_attack_walls_failure|Nel tentativo di assaltare le mura, i tuoi uomini vengono falcidiati e quei pochi che sopravvivono si danno alla fuga, non li rivedrai mai più.
str_attack_walls_continue|Le due armate si equivalgono, nonostante i tentativi dei tuoi uomini, il posto resta in mano al nemico.
str_order_attack_success|I tuoi uomini hanno sconfitto il nemico combattendo eroicamente.
str_order_attack_failure|Osservi la battaglia non riuscendo a credere alla facilità con la quale il nemico decima i tuoi uomini, facendo fuggire i pochi superstiti.
str_order_attack_continue|Nonostante numerosi tentativi, le tue truppe non riescono ad ottenere una vittoria decisiva.
str_join_order_attack_success|I tuoi uomini combattono bene a fianco degli alleati, dividendosi la gloria di una vittoria sul nemico.
str_join_order_attack_failure|Osservi la battaglia non riuscendo a credere alla facilità con la quale il nemico decima i tuoi uomini, facendo fuggire i pochi superstiti.
str_join_order_attack_continue|Nonostante numerosi tentativi, né le tue truppe né quelle alleate riescono ad ottenere una vittoria decisiva.
str_siege_defender_order_attack_success|Le guardie difendono le mura con abilità e coraggio, respingendo ogni attacco nemico e trasformando una probabile sconfitta in vittoria certa!
str_siege_defender_order_attack_failure|L'assalto si trasforma subito in un bagno di sangue. Ogni sforzo è vano: la guarnigione, soverchiata, non riesce a tenere le mura e il nemico passa a fil di spada i difensori fino all'ultimo uomo.
str_siege_defender_order_attack_continue|Ripetuti e sanguinosi attacchi alle mura non hanno prodotto risultati utili, ci sono ancora troppi nemici in difesa delle mura per poter acclamare un vincitore. L'assedio continua.
str_hero_taken_prisoner|{s1} di {s3} è stato preso prigioniero da {s2}.
str_hero_freed|{s1} di {s3} è stato liberato dalla prigionia da {s2}.
str_center_captured|{s2} ha preso {s3} da {s1}.
str_troop_relation_increased|Le tue relazioni con {s1} sono migliorate da {reg1} a {reg2}.
str_troop_relation_detoriated|Le tue relazioni con {s1} sono peggiorate da {reg1} a {reg2}.
str_faction_relation_increased|Il tuo rapporto con {s1} è aumentato da {reg1} a {reg2}.
str_faction_relation_detoriated|Il tuo rapporto con {s1} è peggiorata da {reg1} a {reg2}.
str_party_gained_morale|La tua Compagnia guadagna {reg1} punti morale.
str_party_lost_morale|La tua Compagnia perde {reg1} punti morale.
str_other_party_gained_morale|{s1} guadagna {reg1} punti morale.
str_other_party_lost_morale|{s1} perde {reg1} punti morale.
str_qst_follow_spy_noticed_you|La spia si è accorta di te! Sta correndo ad avvisare i suoi!
str_duplicate|padre
str_s3s_s2|{s3} di {s2}
str_s5_is_s51|{s5} è {s51}.
str_s5_is_the_ruler_of_s51|{s5} è il sovrano di {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} è un nobile di {s6}. 
str_relation_mnus_100|Nemico
str_relation_mnus_90|Implacabile
str_relation_mnus_80|Molto vendicativo
str_relation_mnus_70|Pieno d'odio
str_relation_mnus_60|Antagonista
str_relation_mnus_50|Ostile
str_relation_mnus_40|Adirato
str_relation_mnus_30|Pieno di risentimento
str_relation_mnus_20|Polemico
str_relation_mnus_10|Sospettoso
str_relation_plus_0|Indifferente
str_relation_plus_10|Cooperativo
str_relation_plus_20|Cordiale
str_relation_plus_30|Favorevole
str_relation_plus_40|Solidale
str_relation_plus_50|Amichevole
str_relation_plus_60|Cortese
str_relation_plus_70|Affezionato
str_relation_plus_80|Leale
str_relation_plus_90|Devoto
str_relation_mnus_100_ns|{s60} è un tuo nemico mortale.
str_relation_mnus_90_ns|{s60} è implacabile verso di te.
str_relation_mnus_80_ns|{s60} è astioso nei tuoi confronti.
str_relation_mnus_70_ns|{s60} ti odia.
str_relation_mnus_60_ns|{s60} è contrastante verso di te.
str_relation_mnus_50_ns|{s60} ti è ostile.
str_relation_mnus_40_ns|{s60} è irato con te.
str_relation_mnus_30_ns|{s60} è pieno di risentimento verso di te.
str_relation_mnus_20_ns|{s60} si lamenta di te.
str_relation_mnus_10_ns|{s60} non si fida di te.
str_relation_plus_0_ns|{s60} è indifferente verso di te.
str_relation_plus_10_ns|{s60} collabora con te.
str_relation_plus_20_ns|{s60} è cordiale verso di te.
str_relation_plus_30_ns|{s60} è favorevole verso di te.
str_relation_plus_40_ns|{s60} ti supporta.
str_relation_plus_50_ns|{s60} è amichevole verso di te.
str_relation_plus_60_ns|{s60} ti è grato.
str_relation_plus_70_ns|{s60} è cordiale.
str_relation_plus_80_ns|{s60} ti è leale.
str_relation_plus_90_ns|{s60} ti è devoto.
str_relation_reg1| Relazione: {reg1}
str_center_relation_mnus_100|^La popolazione ti odia molto
str_center_relation_mnus_90|^La popolazione ti odia intensamente
str_center_relation_mnus_80|^La popolazione ti odia fortemente
str_center_relation_mnus_70|^La popolazione ti odia
str_center_relation_mnus_60|^La popolazione è odiosa verso di te
str_center_relation_mnus_50|^La popolazione ti è estremamente ostile
str_center_relation_mnus_40|^La popolazione ti è molto ostile
str_center_relation_mnus_30|^La popolazione ti è ostile
str_center_relation_mnus_20|^La popolazione è contro di te
str_center_relation_mnus_10|^La popolazione si oppone a te
str_center_relation_plus_0|^La popolazione ti è indifferente
str_center_relation_plus_10|^La popolazione ti è accetta
str_center_relation_plus_20|^La popolazione è collaborativa con te
str_center_relation_plus_30|^La popolazione è piuttosto favorevole verso di te
str_center_relation_plus_40|^La popolazione ti supporta
str_center_relation_plus_50|^La popolazione ti è molto favorevole
str_center_relation_plus_60|^La popolazione ti è fedele
str_center_relation_plus_70|^La popolazione ti è molto fedele
str_center_relation_plus_80|^La popolazione ti è devota
str_center_relation_plus_90|La popolazione è fieramente devota a te
str_town_prosperity_0|^La povertà della città di {s60} è insopportabile
str_town_prosperity_10|^La città di {s60} è completamente abbandonata al suo squallore.
str_town_prosperity_20|^La città di {s60} sembra un posto infelice e desolato.
str_town_prosperity_30|^La città di {s60} sembra povera e trascurata.
str_town_prosperity_40|^La città di {s60} sembra in rivolta.
str_town_prosperity_50|^La città di {s60} non sembra degna di nota.
str_town_prosperity_60|^La città di {s60} sembra essere fiorente.
str_town_prosperity_70|^La facoltosa città di {s60} prospera di attività.
str_town_prosperity_80|^La città di {s60} sembra ricca e ben mantenuta.
str_town_prosperity_90|^La città di {s60} è ricca e affollata di persone  benestanti.
str_town_prosperity_100|^La scintillante città di {s60} mostra apertamente le sue grandi ricchezze
str_fort_prosperity_0|^La povertà del forte di {s60} è insopportabile
str_fort_prosperity_10|^Il forte di {s60} è completamente abbandonata al suo squallore.
str_fort_prosperity_20|^Il forte di {s60} sembra un posto infelice, desolato.
str_fort_prosperity_30|^Il forte di {s60} sembra povero e trascurato.
str_fort_prosperity_40|^Il forte di {s60} sembra in rivolta.
str_fort_prosperity_50|^Il forte di {s60} non sembra degno di nota.
str_fort_prosperity_60|^Il forte di {s60} sembra essere fiorente.
str_fort_prosperity_70|^Il prosperoso forte di {s60} è brulicante di attività.
str_fort_prosperity_80|^Il forte di {s60} sembra ricco e ben mantenuto.
str_fort_prosperity_90|^Il forte di {s60} è ricca e affollata di persone benestanti.
str_fort_prosperity_100|^Lo scintillante forte di {s60} mostra apertamente le sue grandi ricchezze.
str_village_prosperity_0|^La povertà del villaggio di {s60} è insopportabile.
str_village_prosperity_10|^Il villaggio di {s60} sembra disgraziatamente povero e miserabile.
str_village_prosperity_20|^Il villaggio di {s60} sembra molto povero e desolato.
str_village_prosperity_30|^Il villaggio di {s60} sembra povero e trascurato.
str_village_prosperity_40|^Il villaggio di {s60} sembra essere alquanto povero e mostra segni di rivolta.
str_village_prosperity_50|^Il villaggio di {s60} non sembra degno di nota.
str_village_prosperity_60|^Il villaggio di {s60} sembra essere fiorente.
str_village_prosperity_70|^Il villaggio di {s60} sembra essere prospero.
str_village_prosperity_80|^Il villaggio di {s60} sembra ricco e ben mantenuto.
str_village_prosperity_90|^Il villaggio di {s60} sembra molto ricco e prosperoso.
str_village_prosperity_100|^Il villaggio di {s60}, circondato da vasti e fertili terreni, sembra immensamente ricco.
str_town_alt_prosperity_0|Le poche mercanzie vendute al mercato sono costose per l'uomo comune malnutrito e il suo bestiame indebolito. Tra le case fatiscenti, bambini in stracci stanno giocando con bastoni e sassi.
str_town_alt_prosperity_20|Nel mercato si odono molte discussioni sui prezzi alti, dove i commercianti sono a corto di merce. Per le strade, i bambini mendicano ai passanti per un pò di pane o qualcosa di valore.
str_town_alt_prosperity_40|Al mercato ci sono articoli qualità decente, e a volte i commercianti portano oggetti di lusso per i pochi cittadini ricchi. Alcune case hanno bisogno di essere ristrutturate, mentre altre sono in buona condizione.
str_town_alt_prosperity_60|Il mercato sta ronzando con attività mentre i commercianti da tutto il mondo vengono a fare affari e ripartono, mentre alcuni migranti rimangono a cercare la loro fortuna.
str_town_alt_prosperity_80|I tetti di paglia e tegole sono ben tenuti in tutta la città, e le persone sono vestite con abbigliamento di qualità. Ogni giorno stormi di persone arrivano per trovare lavoro e ricchezza nel fiorente centro del commercio.
str_village_alt_prosperity_0|Le persone capaci sono scarse, e i campi sono invasi dalle erbacce. Molti sono fuggiti dall'insediamento, e gli animali da traino sono provati o morenti alla periferia della città, attirando gli animali selvatici.
str_village_alt_prosperity_20|Alcuni agricoltori e animali lavorano nei campi, ma molti sono migrati in cerca di una vita migliore. Le fattorie sono logorate, e le erbacce hanno preso il sopravvento su alcuni campi.
str_village_alt_prosperity_40|Gli abitanti del villaggio e gli animali abbastanza sani si muovono nei campi e nei pascoli. Tuttavia, alcune case sono in riparazione, e diversi campi sono lasciati senza semina.
str_village_alt_prosperity_60|I campi e i frutteti ronzano di attività, con sacchi pieni di grano e di carne ad essiccare che testimoniano la produttività del terreno agricolo e dei pascoli del villaggio.
str_village_alt_prosperity_80|Campi e frutteti sono pieni di paesani abili e ben nutriti, nei campi in espansione per alimentare i numerosi animali della fattoria. Per tutto il tempo, i lavoratori si affollano per lavorare e partecipare alla prosperità.
str_oasis_village_alt_prosperity_0|I frutteti sono praticamente abbandonati, e i canali che l'irrigano sono intasati dal fango. I pochi abitanti sembrano malnutriti e inquieti. Gli animali da traino sono morti di fame o sono stati mangiati e, anche se si trovano un paio di carcasse in periferia, le loro ossa sono state rosicchiate dai lupi.
str_oasis_village_alt_prosperity_20|Si vedono pochi abitanti che si prendono cura dei frutteti, e in alcuni punti le rovine sembrano invadere i giardini. Molti dei canali sono intasati dal fango, e pozzi e serbatoi sono pieni di sabbia.
str_oasis_village_alt_prosperity_40|Uomini e donne si prendono cura dei frutteti, salendo in cima agli alberi per impollinare i frutti. Gli animali sani fan muovere le pompe e le ruote che portano l'acqua ai campi. Ad alcuni canali d'irrigazione e serbatoi, tuttavia, servirebbero delle manutenzioni.
str_oasis_village_alt_prosperity_60|I palmeti e gli orti brulicano di attività. I contadini chiamano gli altri allegramente dalla cima degli alberi, dove impollinano i frutti. Lo scricchiolio delle pompe in legno, il muggire delle mucche, ela corsa dell'acqua che scorre fa parlare di un sistema di irrigazione fiorente e sotto il costante controllo degli abitanti.
str_oasis_village_alt_prosperity_80|I frutteti brulicano di attività, mentre i contadini caricano l'abbondante raccolto di mele per poi venderlo al mercato. Uomini e donne sono al lavoro per scavare nuovi pozzi e canali, per portarli in altre terre per l'irrigazione.
str_acres_grain|acri di campi di grano
str_acres_orchard|acri di frutteti
str_acres_oasis|acri di oasi e giardini irrigati
str_looms|telai
str_boats|barche
str_head_cattle|capi di bestiame
str_head_sheep|mandrie di pecore
str_mills|mulini
str_kilns|forni
str_pans|pentole
str_deposits|depositi
str_hives|ortiche
str_breweries|birrerie
str_presses|presse
str_smithies|fucine
str_caravans|carovane terrestri
str_traps|trappole
str_gardens|piccoli giardini
str_tanneries|vasche per la concia
str_master_miller|Mastro-Mugnaio
str_master_brewer|Mastro-Birraio
str_master_presser|Mastro-Pressatore
str_master_smith|Mastro-Fabbro
str_master_tanner|Mastro-Conciatore
str_master_weaver|Mastro-Tessitore
str_master_dyer|Mastro-Tintore
str_war_report_minus_4|siamo a un passo dalla sconfitta
str_war_report_minus_3|la situazione è grave
str_war_report_minus_2|le cose non vanno molto bene per noi
str_war_report_minus_1|possiamo vincere la guerra se ci uniamo
str_war_report_0|la nostra forza è pari a quella del nemico
str_war_report_plus_1|abbiamo una chiara possibilità di vincere la guerra
str_war_report_plus_2|le cose vanno abbastanza bene
str_war_report_plus_3|non avremo difficoltà a batterli
str_war_report_plus_4|siamo ad un passo dalla vittoria
str_persuasion_summary_very_bad|Fai del tuo meglio per convincere {s50}, ma nessuna delle tue argomentazioni sembra essere efficace. Ogni volta che provi a dire qualcosa di sensato, ti sfuggono parole talmente fuori luogo che vanificano ogni tuo tentativo di persuasione. Nel momento stesso in cui finisci di parlare ti rendi conto di aver fatto una misera figura e vorresti sotterrarti dalla vergogna . Ovviamente, {s50} non sembra affatto convinto.
str_persuasion_summary_bad|Provi a convincere {s50}, ma {reg51?lei:lui} svia la discussione fin dall'inizio. Le tue frasi migliori suonano male persino alle tue orecchie . {s50}, non è rimasto assolutamente colpito da quello che stai dicendo.
str_persuasion_summary_average|{s50} risulta essere un abile oratore dalla mente acuta, e sembra che tu non possa dire niente che {reg51?lei:lui} non riesca a controbattere razionalmente. Alla fine non riesci a spuntarla su nessun argomento in questa discussione.
str_persuasion_summary_good|Mente lucida e ragionamenti chiari ti permettono di esporre bene la tue idee, obbligando {s50} a darti ragione riguardo molti aspetti. Tuttavia, {reg51?lei:lui} resta ancora dubbioso a proposito delle tue richieste.
str_persuasion_summary_very_good|Il tuo appassionato discorso echeggerà nei secoli e verrà ricordato come poesia. Il pianeta stesso sembra fermarsi per ascoltare le tue parole. Le tue espressioni ispirate hanno toccato {s50} profondamente, e {reg51?lei:lui} sembra disposto ad aiutarti.
str_secret_sign_1|L'armadio balla a mezzanotte...
str_secret_sign_2|Vendo questi delicati arazzi di Costantinopoli. Volete comprarne qualcuno?
str_secret_sign_3|Un amico di un mio amico mi ha detto...
str_secret_sign_4|Il vento soffia forte da ovest e il fiume scorre rosso...
str_countersign_1|Ma balla per i vestiti o per il candelabro?
str_countersign_2|Si, ne avete qualcuno in blu?
str_countersign_3|Ma, amico mio, l'amico del vostro amico non avrà mai un amico come me.
str_countersign_4|State bene?
str_name_1|Aelle
str_name_2|Alduini
str_name_3|Berdún
str_name_4|Caedmon
str_name_5|Cearl
str_name_6|Coenred
str_name_7|Eadbald
str_name_8|Arthfael
str_name_9|Eafa
str_name_10|Earpwald
str_name_11|Hengist
str_name_12|Horsa
str_name_13|Osred
str_name_14|Thrydwulf
str_name_15|Wictred
str_name_16|Wuffa
str_name_17|Cyny
str_name_18|Cunedog
str_name_19|Idnerth
str_name_20|Dyfrig
str_name_21|Treni
str_name_22|Cadfan
str_name_23|Cadwgon
str_name_24|Rhiwallon
str_name_25|Hywel
str_surname_1|{s50} di Lundenwic
str_surname_2|{s50} di Dorce Ceaster
str_surname_3|{s50} di Bebbanburh
str_surname_4|{s50} di Caer Wenddoleu
str_surname_5|{s50} di Emain Macha
str_surname_6|{s50} di Cirren Ceaster
str_surname_7|{s50} di Din Draithou
str_surname_8|{s50} di Licidfelth
str_surname_9|{s50} di Caer Lloyw
str_surname_10|{s50} di Colne Ceaster
str_surname_11|{s50} di Din Erth
str_surname_12|{s50} di Norwich
str_surname_13|{s50} di Caer Riderch
str_surname_14|{s50} di Duin Ollaigh
str_surname_15|{s50} di Denisesburna
str_surname_16|{s50} di Dun Buicead
str_surname_17|{s50} di Swanawic
str_surname_18|{s50} di Wodetun
str_surname_19|{s50} di Badun
str_surname_20|{s50} di Leim un Eich
str_surname_21|{s50} il Lungo
str_surname_22|{s50} il Magro
str_surname_23|{s50} Barba-Setosa
str_surname_24|{s50} il Passero
str_surname_25|{s50} il Povero
str_surname_26|{s50} lo Sfregiato
str_surname_27|{s50} il Biondo
str_surname_28|{s50} il Torvo
str_surname_29|{s50} il Rosso
str_surname_30|{s50} il Nero
str_surname_31|{s50} l'Alto
str_surname_32|{s50} Occhi di Stella
str_surname_33|{s50} il Senzapaura
str_surname_34|{s50} il Valoroso
str_surname_35|{s50} l'Astuto
str_surname_36|{s50} il Codardo
str_surname_37|{s50} il Brillante
str_surname_38|{s50} il Veloce
str_surname_39|{s50} il Menestrello
str_surname_40|{s50} l'Audace
str_surname_41|{s50} Testa Calda
str_surnames_end|Fine Cognomi
str_number_of_troops_killed_reg1|Numero di truppe uccise: {reg1}
str_number_of_troops_wounded_reg1|Numero di truppe ferite: {reg1}
str_number_of_own_troops_killed_reg1|Numero di truppe alleate uccise: {reg1}
str_number_of_own_troops_wounded_reg1|Numero di truppe alleate ferite: {reg1}
str_retreat|Ritirata!
str_siege_continues|Il combattimento continua...
str_casualty_display|Tue Perdite: {s10}^Perdite Nemiche: {s11}{s12}
str_casualty_display_hp|^Hai ricevuto ferite per {reg1} punti vita.
str_quest_log_updated|Il registro missioni è stato aggiornato...
str_banner_selection_text|Ti è stato concesso il diritto di portare uno stendardo. Il tuo stendardo indicherà la tua condizione e ti porterà onore. Quale stendardo vuoi scegliere?
str_retirement_text_1|Solo troppo tardi ti rendi conto che il tuo denaro non durerà. Non ci vuole molto a sprecare quel poco che hai potuto salvare, e vagherai miseramente cercando, senza esito, di tornare a condurre una vita avventurosa. Diventi indigente a {s9}, vivendo di elemosina e della carità della chiesa.
str_retirement_text_2|Solo troppo tardi ti rendi conto che il tuo denaro non durerà. Non ci vuole molto a sprecare quel poco che hai potuto salvare. Non appena ogni denaro è svanito dalla tua mano inizi tuo malgrado una vita criminale nei vicoli di {s9}, usando le tue abilità arrangiandoti e rubando meschinamente monete di rame da donne o cittadini poveri quanto te.
str_retirement_text_3|Solo troppo tardi ti rendi conto che il tuo denaro non durerà. Non ci vuole molto a sprecare quel poco che hai potuto salvare, diventi così una persona indigente, andando di taverna a taverna scroccando bevute da benefattori impietositi, intrattenendoli con storie di guerra alle quali nessuno in fondo crede.
str_retirement_text_4|L'argento che hai conservato non dura a lungo, ma riesci a metterne insieme abbastanza da comprare delle terre vicine al villaggio di {s7}. Ti dedichi alla vita contadina, e presto cominci ad attrarre potenziali {reg59?mogli:mariti}. Col tempo i paesani arrivano a trattarti come simbolo locale. Ricevi sempre un posto d'onore alle feste, e le tue imprese sono raccontate e ripetute nei locali e nelle taverne, cosicché i bambini possano tenerti sempre a mente quale esempio.
str_retirement_text_5|L'argento che hai conservato non dura a lungo, ma è abbastanza per comprare una piccola taverna a {s9}. Anche se le persone del posto sono inizialmente diffidenti, ti accettano presto tra loro. Nel tempo la tua sempre più florida attività diviene un popolare luogo di festa e d'incontro. Le persone vengono da miglia e miglia di distanza per mangiare o per trattenersi, a causa della tua fama pura e delle storie epiche dei tuoi giorni avventurosi di cui ti viene sempre chiesto il racconto.
str_retirement_text_6|Hai risparmiato saggiamente per tutta la tua carriera, e ora il tuo argento a la tua intelligenza ti permettono di fare qualche investimento eccellente per consolidare il tuo futuro. Dopo aver comprato parecchi negozi e magazzini a {s9}, la tua accortezza ti fa diventare una persona tra le più rilevanti nel mercato in città, e presto divieni {reg59?una donna ricca:un uomo ricco}, una persona conosciuta tanto per il suo impero commerciale che per le sue imprese in battaglia.
str_retirement_text_7|Come nobile con proprietà terriere, per quanto minori, il tuo futuro è tutto tranne che certo. Ti ambienti nel tuo possedimento a  {s7}, amministrando il villaggio e i campi, controllando le corti locali e adempiendo i tuoi obblighi verso il tuo sovrano. Occasionalmente sua maestà ti chiama per radunare e condurre eserciti nelle sue campagne, ma questi lavori sono brevi, e tu non ritorni mai veramente all'avventura dei giorni passati in gioventù. Hai già fatto la tua fortuna. Con i tuoi stessi magazzini e terreni, hai poche necessità che il tuo ricco capitale e il reddito delle tue terre non possano permetterti.
str_retirement_text_8|Non ci sono dubbi, hai tutto ciò che puoi desiderare. I tuoi ampi territori e la ricchezza delle avventure trascorse, sono abbastanza per permetterti una vita ricca e agiata per il resto dei tuoi giorni. Ritirandoti nel tuo luogo nobiliare a {s8}, scambi l'avventura con la politica, e presto ti affermi come una forza considerevole nel regno del tuo sovrano. Mentre ti occupi di attività che ti mantengano in forma, con le tue stesse foreste per la caccia, una sala dove festeggiare e cento belle storie di guerra da raccontare, hai poche difficoltà a decidere come gestire gli anni che seguono.
str_retirement_text_9|Come ricompensa per il tuo competente e leale servizio, il tuo sovrano decreta che ti sia dato un titolo ereditario, entrando a far parte della maggiore nobiltà del reame. Presto completi la tua investitura con il titolo baronale di {s7}, e diventi una persona fidata tra i consiglieri e aiutanti più vicini al sovrano. La tua fama ti fa ottenere un'influenza sottile e discreta, quando non un palese potere politico. Ora trascorri i tuoi giorni partecipando ai giochi di potere, amministrando i tuoi grandi feudi, e raccontando dei vecchi tempi colmi d'avventura e gloria.
str_retirement_text_10|Nonostante le tue umili origini, godi della profonda stima del tuo sovrano. Il regno intero è scosso da un fremito quando il re ti ritiene degno del titolo di {reg59?ducessa:dux} di {s9}. Vasti feudi e fortune sono ora sotto il tuo controllo. Rapidamente acquisti la reputazione di consigliere più fidato del re, quasi un suo pari, mentre ti viene attribuita autorità su molti dei suoi domini. Siedi sul trono nel tuo splendido palazzo, in qualità di una delle più potenti figure di Britannia e Hibernia.
str_loot_village|attacca persone innocenti
str_steal_from_villagers|derubare la povera gente
str_rob_caravan|deruba una carovana mercantile
str_sell_slavery|vendi persone in schiavitù
str_men_hungry|rimanere senza cibo
str_men_unpaid|non si possa pagare questa persona
str_excessive_casualties|faccia divenire ogni battaglia un bagno di sangue per tutti noi
str_surrender|ti arrenda al nemico
str_flee_battle|ritirandoti dalla battaglia
str_pay_bandits|paga i comuni banditi
str_fail_quest|si fallisca in una missione alla quale ci siamo impegnati dando la parola d'onore
str_treason_one|onore
str_missed_npc|fallito.
str_squander_money|sperpera i denari datici con fiducia
str_murder_merchant|ci facciamo coinvolgere in assassinii a sangue freddo
str_round_up_serfs|radunare servi fuggiaschi a nome di qualche nobile
str_battle_fate_1|Siamo stati separati nella foga della battaglia
str_battle_fate_2|Ho subito ferite e restando in mezzo ai caduti
str_battle_fate_3|Un colpo nemico mi ha fatto perdere i sensi
str_battle_fate_4|Ero in ostaggio, per un riscatto
str_battle_fate_5|Ero in prigionia, ma ho guadagnato la fuga
str_npc_morale_report|Sono {s6} la vostra scelta degli accompagnatori, {s7} il vostro stile di comando, e {s8} lo stato generale degli affari
str_happy|felice riguardo
str_content|mi accontento riguardo
