qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?sono scappati:è scappato} dalla tua Compagnia durante la notte.
qstr_{s1}_of_the_{s3}_has|{s1} di {s3} è stato rilasciato dalla prigionia.
; qstr_{s1}_is_no_longer_in|{s1} is no longer infested by bandits at night.
qstr_{s1}_has_won_the_tou|{s1} ha vinto il torneo a {s2}.
qstr_You_pay_for_accommod|Paghi per la sistemazione.
qstr__Your_tactics_skill_| La tua abilità tattica è aumentata di 1 punto.
qstr__Your_persuasion_ski| La tua abilità di persuasione è aumentata di 1 punto.
qstr__Your_leadership_ski| La tua abilità di comando è aumentata di 1 punto.
qstr__Your_intelligence_h| La tua intelligenza è aumentata di 1 punto.
qstr__Your_trade_skill_ha| La tua abilità nel commercio è aumentata di 1 punto.
qstr__Your_weapon_master_| La tua maestria nelle armi è aumentata di 1 punto.
qstr__Your_engineer_skill| La tua abilità ingegneristica è aumentata di 1 punto.
qstr_You_have_finished_re|Hai finito di leggere {s1}.{s2}
qstr_Book_Read|Libro letto
qstr_Christian_monastery|Monastero Cristiano
qstr_Christian_church|Chiesa Cristiana
qstr_shrine_to_Norse_gods|Santuario degli Dei Nordici
qstr_temple_to_Odin|Tempio del dio Odino
; qstr_People_of_{s24}_are_|People of {s24} are unhappy with your religious intolerance, and destroyed {s25}.
qstr_You_have_{reg0}_days|Hai {reg0} giorni per finire la missione.
qstr_{s1}_is_scouted.|{s1} è stato esplorato.
qstr_{s1}_has_switched_fr|{s1} è passato da {s2} a {s3}.
; qstr_The_merchants__rest_|The merchants' rest hall in {s1} adds to its prosperity.
; qstr_Christian_monastery_|Christian monastery at {s33} improves Christian faith in {s34}.
; qstr_The_scriptorium_in_{|The scriptorium in {s1} adds to your renown.
; qstr_Due_to_the_good_word|Due to the good word Christian clergymen spread about you, your relationship with the {s1} improves.
; qstr_Due_to_the_bad_word_|Due to the bad word Christian clergymen spread about you, your relationship with the {s1} declines.
qstr_{s1}_has_become_host|{s1} ti è diventato ostile, a causa dei tuoi maltrattamenti contro i sudditi cristiani.
qstr_Faction_became_hosti|Fazione diventata ostile
; qstr_Due_to_the_good_word_|Due to the good word influential pagans spread about you, your relationship with the {s1} improves.
; qstr_Due_to_the_bad_word_i|Due to the bad word influential pagans spread about you, your relationship with the {s1} declines.
qstr_{s1}_has_become_hosti|{s1} ti è diventato ostile, a causa dei tuoi maltrattamenti contro i sudditi pagani.
; qstr_{s13}_has_too_many_t|{s13} has too many troops garrisoned in and may be picked by marshal to levy soldiers.
qstr_most|maggior parte
qstr_half|metà
qstr_some|alcuni
qstr_few|pochi
qstr_There_are_too_many_m|Ci sono troppi uomini nel Rifugio. Alcuni di loro sono hanno disertato!
qstr_Refuge_Garrison|Guarnigione del Rifugio:
; qstr_You_receive_word_tha|You receive word that the trainer at {s1} has completed his task.
qstr_TEST:_I_moved_Lords_|TEST: Muovo i signori a St Helena.
qstr_TEST:_I_bring_Lords_|TEST: Riporto indierto i Signori.
qstr_Physicians_in_larger|I medici nelle città più grandi, ad un prezzo, cureranno queste ferite, che guariranno nel giro di pochi giorni. Gli eventuali effetti negativi verranno poi eliminati.
qstr_You_are_wounded|Sei ferito
; qstr_{s1}You_have_only_on|{s1}You have only one day left to take care of {reg7} of your injuries. Visit a physician in a larger town to do so.^^
; qstr_{s1}{reg7}_of_your_i|{s1}{reg7} of your injuries {reg8?have:has} become permanent because {reg8?they haven't been:it wasn't} tended.^^
; qstr_{s1}{reg7}_of_your_w|{s1}{reg7} of your wounds {reg8?are:is} cured, and your related abilities aren't limited any more.
qstr_{s1}|{s1}
qstr_Wound_Report|Rapporto Ferite
qstr_A_ship_has_been_buil|Una nave è stata costruita per te a {s0}.
qstr_Ship_finished|Nave finita
; qstr_{s0}_has_recovered_f|{s0} has recovered from being raided.
; qstr_By_now_you_have_more|By now, you have more than one ship. In a sea battle you can give a 'stand ground' or 'charge' command to your ships by giving it to class number nine, like you give commands to a troop class in a field battle. The first troops in your army list will be together with you on the flagship. The other troops will be in the following ships. You can change your flagship in a port and while camping on the sea. If you are next to a coast you can also split your fleet while camping on the sea or search for the closest landing point with a right click on your party.
qstr_Ship_management|Gestione delle navi
qstr_Your_troops_are_angr|Le tue truppe sono arrabbiate,perché odiano passare la notte in mare.
qstr_Your_troops_feel_une|Le tue truppe si sentono a disagio ad attraversare il mare.
; qstr_Severe_weather_has_d|Severe weather has damaged the {s1} ({s7}).
; qstr_Severe_weather_has_de|Severe weather has destroyed the {s1} ({s7}).
qstr_vSeason|vSeason
qstr_vWindStrength|vWindStrength
qstr_The_weather_changed_|Il tempo è cambiato in 'Calmo'
qstr_The_weather_changed_t|Il tempo è cambiato in 'Leggera brezza'
qstr_The_weather_changed_to|Il tempo è cambiato in 'Brezza moderata'
qstr_The_weather_changed_to:|The weather changed to: 'Brezza forte'
qstr_The_weather_changed_to:_|Il tempo è cambiato in 'Vento forte'
qstr_The_weather_changed_to:__|Il tempo è cambiato in 'Burrasca'
qstr_The_weather_changed_to:__S|Il tempo è cambiato in 'Tempesta'
qstr_The_operation_of_the|Le operazioni del mercante di schiavi a {s33} riducono la tua reputazione.
; qstr_DEBUG_rebellion:_che|DEBUG rebellion: checking faction {s1} on day {reg1}
; qstr_DEBUG_rebellion:_fac|DEBUG rebellion: faction {s1} reborn on day {reg1}
qstr__Possible_Rebellion_|(Possibile ribellione) Voci dicono che {s14} è ancora vivo.
qstr__Possible_Rebellion__|(Possibile ribellione) Voci dicono che {s14} stia accumulando scorte di armi e che cerchi supporto dai Franchi.
qstr__Possible_Rebellion__R|(Possibile ribellione) Voci dicono che {s14} si riunisce in segreto con i suoi fedeli.
qstr__Possible_Rebellion__Ru|(Possibile ribellione) Voci dicono che la gente favorisca il ripristino di {s14}.
qstr__Possible_Rebellion__Rum|(Possibile ribellione) Voci dicono che {s14} stia radunando un'armata per reclamare il trono.
qstr__Possible_Rebellion__Rumo|(Possibile ribellione) Voci dicono che {s14} stia accumulando scorte di armi.
qstr__| 
qstr_Congratulations!_You|Congratulazioni! Sei riuscito a imprigionare sette o più signori a {s13}.. Sei veramente un maestro delle prigioni.
qstr_Dungeon_master_Achie|Achievement maestro delle prigioni
; qstr_Congratulations!_You_|Congratulations! You've managed to make five or more women your lovers. Ladies must be heads over heels for you, so certainly you must feel proud to be in such a demand. Keep up the good work!
; qstr_Skirt_Chaser_Achieve|Skirt Chaser Achievement
; qstr_Congratulations!_You_v|Congratulations! You've managed to tuck away 25 or more barrels of wine in your household storage, a great feat considering you are in the part of the world more known for mead and ale. Either you have a drinking problem, or you are a true wine connoisseur.
; qstr_Wine_Connoisseur_Ach|Wine Connoisseur Achievement
qstr_{s33}_revokes_your_r|{s33} ti ha revocato il diritto di arruolare a {s34} a causa di cattivi rapporti tra voi.
qstr_The_village_leader_o|L'anziano del villaggio di {s34} ti ha revocato il diritto di arruolare a causa di cattivi rapporti tra voi e il suo villaggio.
; qstr_fixing_banners;_plea|fixing banners; please reset your banner
; qstr_unable_to_restore_ba|unable to restore banner {reg0} assigned to troop {reg1}
qstr_Prisoners_revolted!_|Rivolta dei prigionieri! Vicino a {s33}
qstr_Your_gift_sent_to_{s|Il regalo che hai inviato a {s13} è servito a migliorarne il rapporto.
qstr_Gift_Sent_to_Lord|Regalo Inviato al Signore
qstr_Tutorial|Tutorial
qstr_Recruiting_warriors|Recluta guerrieri
qstr_Your_troops_feel_ref|Le truppe si sentono rinfrancate dal riposo notturno.
qstr_Your_men_need_rest_o|I tuoi uomini hanno bisogno di riposo oppure il loro morale ne risentirà.
qstr_Foragers|Foraggiatori
qstr_Scouts|Esploratori
qstr_Morale|Morale
; qstr_Each_day_of_the_sieg|Each day of the siege, you need to cover a number of expenses. You pay for rewards, digging latrines, cleaning stables, buying and bringing water and food, cooking, entertaining the troops...
qstr_You_do_not_have_mone|Non hanno i soldi per coprire le spese di base in un assedio. Questo mina notevolmente il morale.
qstr_{reg65?my_Lady:my_Lo|{reg65?mia signora:mio signore}
qstr_{reg65?My_Lady:My_Lo|{reg65?Mia signora:Mio signore}
qstr_{reg65?madame:sir}|{reg65?signora:signore}
qstr_{reg65?Madame:Sir}|{reg65?Signora:Signore}
qstr_Dog|Cane
; qstr_Welcome_landlubber._|Welcome, landlubber. I am the shipwright here.
qstr_Welcome_{reg59?lady:|Benvenuto, {reg59?signora:signore} {playername}.
qstr_Welcome_{reg59?madam|Benvenuto, {reg59?signora:signore}.
qstr_Welcome.|Benvenuto.
qstr_Your_ship_is_in_a_ba|La tua nave è in cattive condizioni. Dovresti considerarne la riparazione in questo cantiere.
; qstr_The_{s7}_is_the_most|The {s7} is the most glorious ship I have ever seen. It is a great honour, my {reg59?lady:lord}, to have her here in our port.
qstr_Your_ship_is_of_poor|La tua nave è di scarsa qualità. Dovresti prendere in considerazione la possibilà di acquistarne una migliore.
qstr_That_s_a_decent_ship|Questa nave è decente.
; qstr_Your_ship_the_{s7}_i|Your ship, the {s7}, is marvellous. My workers could apply some fresh varnish and paint if you like.
qstr_The_{s7}_is_a_wonder|La {s7} è una nave meravigliosa. Sono contento di poterla ospitare nel mio porto.
qstr_{s2}_{s3}|{s2} {s3}
qstr_You_are_already_in_{|Attualmente sei a {s1}.
qstr__and_your_troops|e le tue truppe
qstr_There_is_a_ship_that|C'è una nave che può portare tu{s3} al porto di {s1} per {reg1} denari.
qstr_I_changed_my_mind.|Ho cambiato idea.
qstr_For_a_ship_of_this_s|Per una nave di questa dimensione, non ho abbastanza legname, catrame e lana, quindi ho bisogno che mi porti questi oggetti. 
qstr___He_indicates_the_f|-Indica il lato opposto della baia con il suo braccio.--
; qstr_Now_you_must_join_th|Now you must join the fleet led by Sven Bull Neck and Harald Haraldsson, which soon leaves Ribe for Englaland. Your destiny once again leads you to other lands.
qstr___His_eyes_shine.__|--I suoi occhi brillano.--
qstr_The_port_master_of_R|Il capo portuale di Ribe ti ha dato la posizione del nascondiglio di Sven: a sud est di {s3}. Vai la per salvare i prigionieri di Woden Ric.
; qstr___He_approaches_you_|--He approaches you until you can smell the cheap beer on his breath.--
; qstr___He_looks_with_a_pe|--He looks with a perverse look.--
qstr_The_port_master_of_Ri|Il padrone del porto di Ribe vuole un libro intitolato 'The Cathach di Colum Cille,' che è a Gleann Da Loch, un monastero vicino {s3}, in Eriu, Hibernia.
qstr_The_port_master_from|Il capo portuale di Ribe ti ha dato la posizione del nascondiglio di Sven: a sud est di {s3}. Vai la per salvare i prigionieri di Woden Ric.
; qstr___He_gives_you_a_str|--He gives you a strange look.--
; qstr_The_port_master_of_{|The port master of {s4} wants you to deliver a pack of furs to {s3} in Eriu, to the local merchant, called Hogni.
; qstr_The_port_master_from_|The port master from {s4} gave you the location of Odin's cave: near {s3}. Go there to recover Bodo's letter.
; qstr_The_port_master_from_R|The port master from Ribe gave you the location of Odin's cave: near {s3}. Go there to recover Bodo's letter.
; qstr_Embark_on_your_boat_|Embark on your boat, join the fleet, and lead it to Douar-an-Enez.
qstr_Perhaps_there_is_a_l|Forse c'è ancora un po 'di tempo prima della fine del mondo. (Flemmatico)
qstr_You_re_right!_The_co|Hai ragione! L'arrivo dei Vichinghi dimostra che è veramente la fine! (Malinconico)
qstr_The_Bible_also_says_|La Bibbia dice anche che un re unirà tutta la terra. Io sono quel re. (Irascibile)
qstr_A_change_in_the_worl|Un cambiamento nel mondo crea solo più opportunità agli audaci, ecco tutto. (Sanguigno)
; qstr_I_appreciate_your_re|I appreciate your reassuring words, but I'm afraid that the end of the world has already been set, and nothing that we do or say will alter it. All we can do is wait and fight until the armies of God come.
; qstr_Exactly!_West_Seaxe_|Exactly! West Seaxe is the last bastion of the faithful, but it will succumb to the hordes despite all its efforts. We're all going to die! Leave me alone, I do not want to talk any more.
; qstr_Your_self_confidence|Your self-confidence comforts me, but I must inform you that the king will be defeated by the army of evil. Only the arrival of the army of God will save the world. However, if you ever become the king, it will be a pleasure to fight and die beside you.
; qstr_I_m_surprised_that_y|I'm surprised that you can see any benefit in the misfortunes of others. You're definitely more ruthless than I had thought.
qstr_You_need_to_rid_your|Sbarazzati della tua arroganza. (Flemmatico)
qstr_I_am_always_willing_|Sono sempre disposto ad imparare. Grazie, Egil. (Malinconico)
qstr_I_think_it_s_clear_t|Penso sia chiaro che il Fato è più favorevole a me che a voi. (Irascibile)
qstr_Silence!_You_shall_n|Silenzio! Non mancare di rispetto alla mia autorità! (Sanguigno)
; qstr_Yes_I_pretended_to_b|Yes, I pretended to be modest. Well, it's something that comes naturally to me, but arrogance is good for a leader. You should learn to be a bit arrogant when needed -- that is part of my advice -- and men should see your confidence. Your orders must be sharp, and anyone who does not follow them has to be punished. This is what I value in a leader, and I'm glad you listened. But enough talking.
; qstr_I_understand._Someon|I understand. Someone like you does not have my experience and my knowledge. It is important that you try to learn from me, {playername}. Try to be like me, someone whom people admire and respect. I would also suggest that you be the first into battle, setting an example for your men, and share silver with your men without greed. Those are my tips. Now I have things to do.
qstr_Your_men_see_the_way|I tuoi uomini vedono il modo in cui vi tratta Egil, perdi autorità.
; qstr_And_people_say_that_|And people say that I'm arrogant! But what can I say? Well, I like it. That's what I value most in a leader: his ability to demonstrate self-confidence and to convince others with his charisma. You're right. I have nothing to teach you.
; qstr_I_only_pretended_to_|I only pretended to give advice, but it is clear you do not wish to listen. Well, you gave an order, demonstrating your authority, but that doesn't mean you're a good leader. I'll comply, shut up and return to my chores.
; qstr_I_am_just_a_poor_far|I am just a poor farmer here. Talk to the farmstead reeve over there.
; qstr_I_just_work_the_fiel|I just work the fields here. Talk to the farmstead reeve over there.
; qstr_Stranger_go_talk_to_|Stranger, go talk to the farmstead reeve over there if you want to do business here.
qstr__Relation:_{reg0}|Relazione: {reg0}
qstr_{s12}I_want_to_plund|{s12}Vogliosaccheggiare e tenere {s1} per me. {s2}
qstr__no_fiefs_|(nessun possedimento)
qstr__fiefs:_{s0}_|(feudi: {s0})
; qstr___The_child_looks_at|--The child looks at you with funny eyes and laughs.--
qstr_My_mother_told_me_no|Mia madre mi ha detto di non parlare con gli sconosciuti. Ciao!
qstr_Running_is_fun!_I_ca|Correre è divertente! Posso correre più veloce di te! Vuoi fare una gara?
; qstr_We_are_landless_poor|We are landless, poor and persecuted. Life has led us to this, {reg59?girlie:mate}. No sudden moves or we'll run you through.
qstr_Luckily_for_you_you_|Per vostra fortuna, mi trovate sereno. Dateci tutti i vostri soldi e forse vi lasceremo in vita.
qstr_This_a_robbery_eh?_I|Questa è una rapina, chiaro? Vi concedo la possibilità di consegnarmi tutto quello che avete, oppure io e i miei compagni vi uccideremo. Capito!?
qstr_big|grande
qstr_medium_sized|taglia media
qstr_small|piccolo
qstr_don_t_|nulla
; qstr_Note_4:_{s9}_has_sen|Note 4: {s9} has sent men to kill you. They ambushed you by the river, and although you have survived their attack, you sleep less calmly now.
; qstr___A_large_group_of_S|--A large group of Saxons gets in your way. Their leader steps forward and raises a hand.--
qstr_we_have_made_very_li|Abbiamo fatto piccolissimi progressi finora...
qstr_we_have_succeeded_in|Siamo riusciti a guadagnare terreno, ma abbiamo ancora una lunga strada da percorrere.
qstr_we_have_become_a_sig|Siamo diventati una forza non indifferente, e abbiamo financo una possibilità di vittoria.
qstr_we_are_winning_the_w|Stiamo vincendo la guerra, ma i nostri nemici stanno ancora resistendo.
qstr_we_are_on_the_verge_|Siamo a un passo dalla vittoria. I nemici rimanenti non rappresentano una seria minaccia, ma dobbiamo ancora sconfiggerli.
qstr_Warlord|Comandante
; qstr_Note_5:_You_fell_in_|Note 5: You fell in love with Morrigan.
; qstr_{s21}_seems_happy._{|{s21} seems happy. {s21} looks pleased.
qstr___She_smiles.__|--Lei ride.--
qstr___He_mutters_somethi|--Borbotta qualcosa tra i denti come se stesse parlando con qualcuno di invisibile.--
qstr___He_seems_very_nerv|--Sembra molto nervoso e spaventato.--
qstr_Please_calm_down._I_|Per favore, calmati. Non sono tuo nemico. Fai un respiro profondo dimmi di mia madre. (Flemmatico)
qstr_You_re_making_me_wor|Mi stai facendo preoccupare... molto preoccupare... Calmati e dimmi di mia madre. (Malinconico)
qstr_Relax!_You_re_talkin|Rilassati! Stai parlando con un amico, posso proteggerti da chiunque ti voglia fare del male. (Irascibile)
qstr_Calm_down_and_tell_m|Calmati e dimmi di mia madre! In caso contrario, lo giuro, il tuo corpo risponderà alle domande. (Sanguigno)
qstr_Thank_you_for_being_|Grazie per essere così comprensivo. Ho avuto una dura giornata oggi. Sto meglio ora. Ascolta, ho cose importanti da dirti.
; qstr_Please_please_do_not|Please, please, do not be anxious! When Sven was anxious, he cut off the fingers of those who bothered him. Look, I'm better, and I'll tell you important things.
; qstr_Oh_well_yes_I_trust_|Oh, well, yes, I trust you. She told me to trust you. I'm going to tell you everything.
; qstr_Oh_my_god..._Do_not_|Oh my god... Do not kill me! Do not kill me! I'm very quiet. I'll kiss the ground you walk on. I will be your servant, even your slave. I'll tell you everything I know.
qstr___He_seems_calmer.__|--Sembra tranquillo.--
; qstr_In_Boar_Grove_you_fo|In Boar Grove, you found a priest named Beda who had been a slave of your mother. He was freed so that he could find you and remind you about your mother's love. You finally managed to get news about your mother. You are now one step closer to finding her.^^Finally, you are ready to sail to Douar-an-Enez. Talk to the old captain at the port. He is always near ships.
qstr___He_smiles.__|--Lui ride.--
qstr___He_closes_his_eyes|--Chiude gli occhio per qualche secondo, come se stesse cercando le parole giuste.--
qstr___He_takes_a_deep_br|--Fa un respiro profondo e risponde lentamente, con calma.--
; qstr_Asbjorn_has_joined_y|Asbjorn has joined your party to make sure you join the fleet. Besides that, he has offered to accompany your band and serve as a physician. Now it is time to get the port master of {s3} to take you to the Viking fleet departing for Englaland.
qstr___Bodo_seems_excited|--Bodo sembra eccitato.--
qstr___He_smiles_at_you._|--Ti sorride.--
qstr___He_takes_the_lette|--Prende la lettera dalle tue mani.--
; qstr___He_looks_up_from_t|--He looks up from the page and turns to you.--
; qstr_Bodo_s_letter_has_fa|Bodo's letter has fallen into your hands, and you have decided that you'll figure out what to do with it once you're done with the Assembly and current problems. For now, you will tell {s9} that the letter was burned in the attack on Odin's cave, to assure him that {s11} cannot use it against him.
qstr_Brunhild_thinks_that|Brunilde pensa che sei un capo debole.
qstr_Reginhard_thinks_tha|Reginhard pensa che sei un capo debole.
qstr_Bodo_thinks_that_you|Bodo pensa che sei un capo debole.
; qstr_Brunhild_has_advised|Brunhild has advised that you go first to an enemy of {s9}, {s11}, for support before you place yourself in the hands of the son of Ragnar.
qstr_I_m_not_sure_I_want_|Non sono sicuro di voler ascoltare ciò che hai da dirmi. (Flemmatico)
qstr_You_are_worrying_me_|Mi stai preoccupando, Bodo. Cosa vuoi dirmi? Sputa il rospo! (Malinconico)
qstr_I_m_very_calm..._Tru|Sono molto calmo... Fidati di me, non farmi innervosire. Ho poca pazienza. Parla, o ti picchio per bene. (Irascibile)
qstr_Whatever_you_have_to|Qualunque cosa hai da dire, dilla. Mi sono preparato per questo momento da molto tempo. (Sanguigno)
qstr_I_understand_my_frie|Capisco, amico mio, ma voi dovete sapere... tutto.
qstr_Stay_calm_please._I_|Mantenete la calma, per favore. Vi spiegherò tutto.
; qstr_No_need_to_be_aggres|No need to be aggressive. You know my loyalty to my friends is unquestionable. Now, open your ears.
; qstr_I_admire_your_strong|I admire your strong blood. I'll tell you everything.
qstr___He_puts_his_hand_o|--Mette una mano sulla tua spalla e ti sorride tristemente.--
qstr___He_sighs_impatient|--Sospira impaziente.--
; qstr___He_steps_back_take|--He steps back, takes a deep breath, and looks you in the eyes.--
qstr_Sven_wanted_you_but_|Sven ci cercava, ma come faceva a sapere dove trovarci? Chi ci ha tradito? (Saggezza)
qstr_Your_redemption_and_|La tua redenzione e il mio obiettivo sono coincidenti. (Forza d'animo)
qstr_I_understand_that_wh|Capisco che tutto questo è successo per causa vostra, ma non è colpa tua. (Temprato)
qstr_You_re_responsible_f|Sei responsabile per quello che è successo. Dopo Sven, sarai tu a pagare con la vita. (Giustiziere)
qstr___He_sighs_with_anno|--Sospira infatidito.--
qstr___He_lowers_his_head|--Abbassa la testa, imbarazzato. Le sue mani si agitano.--
; qstr___He_strains_his_fac|--He strains his face and stares at you without blinking.--
qstr_Info:|Info:
qstr_Regarding_that_matte|Per quanto riguarda tale questione, ho pensato che il Woden Ric era sicuro, ma mi sbagliavo. (Saggezza)
qstr_Note_Bodo:_Bodo_feel|Nota Bodo: Bodo si sente indirettamente responsabile della morte della gente del Woden Ric.
qstr_So_our_paths_have_me|Così le nostre strade si sono incontrate, amico mio. Ti racconterò. Poi potremo lavorare insieme contro il nostro nemico comune. (Forza d'animo)
qstr_Note_Bodo:_Bodo_felt|Nota Bodo: Bodo si sente indirettamente responsabile della morte della gente del Woden Ric, anche se tu lo hai perdonato.
qstr_Thanks_for_your_trus|Grazie per la fiducia. Spero di esserne degno. (Temprato)
; qstr_That_would_be_just._|That would be just. I'd pay for the damage caused. When Sven Bull Neck is dead, I will put my neck under your sword. (Justice)
; qstr_Note_Bodo:_Bodo_is_i|Note Bodo: Bodo is indirectly responsible for the death of the people of the Woden Ric. Your sense of justice dictates that he must die when Sven Bull Neck is dead, to atone for his guilt. You've committed yourself to kill him.
qstr___He_shrugs.__|--Alza le spalle.--
; qstr_Finally_all_roads_le|Finally, all roads lead to {s11} 'Snake in the Eye.' Sven Bull Neck has taken your mother to him, because {s11} wants an object that Bodo gave your mother and ask her for very important information he told her. Sven thinks your mother is the carrier of the object instead of Bodo. Therefore, she is still alive. You must hurry, before Sven discovers the deception and kills her.
; qstr_Finally_all_roads_lea|Finally, all roads lead to {s11} 'Snake in the Eye.' Sven Bull Neck has taken your mother with him, because {s11} wants an object that Bodo gave your mother and information he told her. Sven thinks your mother is the carrier of the object instead of Bodo. Therefore, she is still alive. You must hurry, before Sven discovers the deception and kills her.
; qstr___He_takes_the_mead_|--He takes the mead jug to his lips, drinks long, and then he just looks at you.--
qstr_You_don_t_trust_me._|Non ti fidi di me. Capisco; Sono nuovo qui. Forse dovrei andarmene. (Flemmatico)
qstr_I_see..._Something_m|Capisco... Qualcosa ti rende nervoso. (Malinconico)
qstr_Look_at_me._Who_else|Guardami. Chi altro in questa sala idromele siede con voi? Nessuno! (Irascibile)
; qstr_You_looked_like_some|You looked like someone that would appreciate a friend, but I can go again. (Sanguine)
qstr_{s21}_seems_happy.|{s21} sembra contento.
qstr_Please_do_not_leave!|Per favore, non andartene! resta qui a parlare e a bere con me!
qstr_Nervous?_Me?_No_mate|Nervoso? Io? No, amico. Sono pericoloso.
qstr_I_ve_just_gotten_to_|Ho appena avuto modo di conoscerti. Come faccio a sapere che qualcuno non ti ha mandato qui per estorcermi informazioni?
; qstr___He_smiles_drinks_a|--He smiles, drinks again, and you see the mead overflow his lips and course down his chin. He belches.--
; qstr___He_seems_not_hear_|--He seems not hear you. Joy crosses his face at an idea that he has in mind.--
; qstr_{s11}_wants_you_to_m|{s11} wants you to make a donation for Frisian widows and orphans to Adda in {s4}. Her shop is on the wharf.
qstr___He_looks_happy_to_|--È feclice di sentirtelo dire.--
qstr___He_looks_at_you_wi|--Ti guarda molto preoccupato.--
qstr_You_have_decided_to_|Hai deciso di dare la lettera del re di Asturias al re dl West Seaxe. Portala a {s11}.
qstr_You_have_decided_to_g|Hai deciso di dare la lettera ai figli di Ragnar. Portala a {s11}.
