
ui_music_volume|Volume Musica:
ui_export_file_for_character_playername_already_exists_overwrite_it|Il file esportato per il personaggio %s risulta già esistente. Sovrascriverlo?
ui_yes|Sì
ui_no|No
ui_set_save_file_name|Insisci il nome per il salvataggio:
ui_enter_new_name|Inserisci un nuovo nome:
ui_export_character|Esporta Personaggio
ui_import_character|Importa Personaggio
ui_character_playername_exported_successfully|Personaggio %s esportato con successo.
ui_character_playername_imported_successfully|Personaggio %s importato con successo.
ui_unable_to_open_import_file|Impossibile aprire file da importare.
ui_are_you_sure_you_want_to_import_the_character|Sei sicuro di voler importare il personaggio?
ui_unable_to_find_character_import_file|Impossibile trovare il file del personaggio da importare.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade è avviato in modalità demo. Per favore, acquista il gioco per importare un personaggio.
ui_change_skin|Pelle
ui_change_hair|Capelli
ui_change_hair_color|Colore Capelli
ui_change_beard|Barba
ui_tutorial|Tutorial
ui_tutorial_face_generator|Modifica il volto del personaggio con i pulsanti e i cursori. Per ruotare la testa, clicca e trascina il mouse.
ui_restore|Carica
ui_cancel|Esci
ui_delete|Elimina
ui_confirm_delete_game|Sei sicuro di voler eliminare la partita?
ui_error_removing_file|Errore nel rimuovere il file...
ui_day_datedisplay|Giorno %d (%d:%d%d)
ui_reset_changes|Annulla modifiche
ui_weapon_proficiencies|Competenze
ui_skills|Abilità
ui_attributes|Attributi
ui_enter_name_here|*Inserisci il nome qui*
ui_edit_face|Clicca per modificare il volto
ui_statistics|Statistiche
ui_next|Avanti
ui_prev|Indietro
ui_learn|Impara
ui_question_saving_policy|Quale sistema di salvataggio preferisci?
ui_saving_policy_realistic|Realistico! Non si esce senza salvare!
ui_saving_policy_nonrealistic|Permettimi di uscire senza salvare.
ui_tutorial_character_generation|Adesso inserisci il tuo nome e distribuisci gli attributi, le abilità e i punti arma. Puoi cliccare sulle varie abilità per sapere come esse influenzano il tuo personaggio.
ui_str|FOR
ui_agi|AGI
ui_int|INT
ui_cha|CAR
ui_at_learning_limit|(Al Limite)
ui_not_enough_skill_points_to_learn|(Punti abilità insufficienti)
ui_strength|Forza
ui_agility|Agilità 
ui_intelligence|Intelligenza
ui_charisma|Carisma
ui_not_enough_attributetype_to_learn_this_skill|
ui_explanation_one_handed_weapon|Competenza nell'uso di Spade, Asce e Mazze ad una mano.
ui_explanation_two_handed_weapon|Competenza nell'uso di Spade a due mani, Asce Grandi e Magli.
ui_explanation_polearm|Competenza nell'uso di Armi con asta quali Lance, Picche, Bastoni, ecc.
ui_explanation_archery|Competenza nell'uso degli Archi.
ui_explanation_crossbow|Competenza nell'uso delle Balestre.
ui_explanation_throwing|Competenza nell'uso delle armi da lancio quali Giavellotti, Coltelli, Pietre, ecc.
ui_explanation_firearms|Competenza nell'uso delle fionde.
ui_explanation_strength|Forza: Ogni punto aggiunge +1 ai punti ferita. Le seguenti abilità non possono essere sviluppate oltre 1/2 della forza: Resistenza, Colpo Potente, Tiro Potente, Lancio Potente e Gestione Inventario. Ogni 5 livelli ottieni un punto extra da aggiungere ai tuoi attributi.
ui_explanation_agility|Agilità: Ogni punto dà cinque punti arma e aumenta leggermente la velocità di movimento. Le seguenti abilità non possono essere sviluppate oltre 1/2 dell'agilità: Maestro d'Armi, Osservazione, Atletica, Cavalcare, Orientamento e Saccheggio. Ogni 5 livelli ottieni un punto extra da aggiungere ai tuoi attributi.
ui_explanation_intelligence|Intelligenza: Ogni punto di intelligenza dà immediatamente un punto abilità aggiuntivo. Le seguenti abilità non possono essere sviluppate oltre 1/2 dell'intelligenza: Addestratore, Seguire Tracce, Tattiche, Curare Ferite, Chirurgia, Pronto Soccorso, Ingegneria, Navigazione e Manutenzione Armi. Ogni 5 livelli ottieni un punto extra da aggiungere ai tuoi attributi.
ui_explanation_charisma|Carisma: Influenza i dialoghi, la seduzione e come gli altri ti vedono. Ogni punto aumenta il limite della tua compagnia di +1. Le seguenti abilità non possono essere sviluppate oltre 1/2 del carisma: Lupo di Mare, Comando, Persuasione, Commercio. Ogni 5 livelli ottieni un punto extra da aggiungere ai tuoi attributi.
ui_level|Livello: %d
ui_xp|Esperienza: %d
ui_next_level_at|Prossimo livello a: %d
ui_health_player|Punti Ferita: %d/%d
ui_health|Punti Ferita: %d
ui_attribute_points|Punti Attributi: %d
ui_skill_points|Punti Abilità : %d
ui_weapon_points|Punti Arma: %d
ui_mission_losses_none| nulla.
ui_mission_losses_wounded|feriti:
ui_mission_losses_killed|uccisi:
ui_party_losses|%s  : %d feriti --- %d uccisi di %d.
ui_casualties_sustained|Perdite sostenute:
ui_advantage_change|Cambio di Vantaggio = %c%d
ui_overall_battle_casualties|Perdite complessive in battaglia:
ui_advantage_outnumbered| Sei disperatamente in inferiorità.
ui_advantage_major_disadvantage| Sei notevolmente in svantaggio.
ui_advantage_slight_disadvantage| Sei leggermente svantaggiato.
ui_advantage_balanced| La situazione è bilanciata.
ui_advantage_fair_advantage| Hai un leggero vantaggio.
ui_advantage_greatly_favored| Le probabilità della battaglia ti favoriscono decisamente.
ui_tactical_advantage|Vantaggio Tattico: %d (%s)
ui_order_group|Ordini:
ui_question_save_changes|Hai cambiato i tuoi obiettivi. Vuoi salvarli?
ui_yes_save|Sì, salva
ui_no_discard_changes|No, annulla i cambiamenti
ui_everyone_control|Tutti!
ui_everyone_around_control|Soldati vicini!
ui_others_control|Voialtri!
ui_question_give_up_fight|Ritirarsi dalla battaglia?
ui_give_up|Ritirati
ui_keep_fighting|Continua a combattere
ui_question_leave_area|Lascia la zona
ui_cant_retreat_there_are_enemies_nearby|Impossibile ritirarsi, i nemici sono vicini!
ui_question_retreat_battle|Ritirirarsi?
ui_retreated_battle|%s è in fuga.
ui_retreated_battle|%s è in fuga.
ui_retreat|Ritirata
ui_talk|Parla
ui_duel|Duella
ui_mount|Cavalca
ui_riding_skill_not_adequate_to_mount|(Abilità Cavalcare insufficiente)
ui_dismount|Smontate!
ui_exit|Esci
ui_door_to|Porta a 
ui_open|Apri
ui_equip|Raccogli
ui_baggage|Bagaglio
ui_access_inventory|Apri Inventario
ui_chest|Scrigno
ui_passage|Passaggio
ui_go|Vai
ui_retreat_battle|Ritirati dalla battaglia
ui_leave_area|Lascia la zona
ui_reports|Alloggi
ui_camp|Campo
ui_terrain|Terreno
ui_quests|Note
ui_inventory|Inventario
ui_character|Personaggio
ui_party|Esercito
ui_paused|Pausa
ui_click_left_button_to_cancel_wait|Aspettando... (clic sinistro per riprendere)
ui_midnight|Mezzanotte
ui_late_night|Notte Fonda
ui_dawn|Alba
ui_early_morning|Primo mattino
ui_morning|Mattina
ui_noon|Mezzogiorno
ui_afternoon|Pomeriggio
ui_late_afternoon|Tardo Pomeriggio
ui_dusk|Tramonto
ui_evening|Sera
ui_midnight|Mezzanotte
ui_level_limit_reached|Nuovo livello raggiunto!
ui_explanation_level_limit|Salve avventuriero, Mount&Blade non è ancora stato attivato e sta funzionando in modalità demo. Con questa modalità il gioco è limitato al Livello 8. Per continuare a giocare riavvia il gioco e attivalo con il codice seriale a 16 cifre incluso nella confezione del gioco. Dopo l'attivazione puoi continuare a giocare da qui. Ora Mount&Blade salverà la tua partita e verrà chiuso.
ui_time_limit_reached|Limite di tempo raggiunto!
ui_explanation_time_limit|Salve avventuriero, Mount&Blade non è ancora stato attivato e sta funzionando in modalità demo. Con questa modalità il gioco è limitato a 30 giorni. Per continuare a giocare riavvia il gioco e attivalo con il codice seriale a 16 cifre incluso nella confezione del gioco. Dopo l'attivazione puoi continuare a giocare da qui. Ora Mount&Blade salverà la tua partita e verrà chiuso.
ui_target_lost|Bersaglio perso
ui_waiting|Aspettando.
ui_travelling_to|Viaggiando verso 
ui_following|Seguendo 
ui_accompanying|Accompagnando 
ui_running_from|Scappando da 
ui_patrolling|Sorvegliando 
ui_patrolling_around|Pattugliando intorno 
ui_holding|Tenendo la Posizione
ui_travelling|Viaggiando 
ui_fighting_against|Combattendo contro 
ui_speed_equals|Velocità = %2.1f
ui_defenders|Guarnigione:
ui_prisoners|Prigionieri:
ui_1_hour|1 ora
ui_n_hours|%d ore
ui_between_hours|%d - %d ore
ui_combatants|Combattenti: %d
ui_party_size|Dimensioni Compagnia: %d
ui_party_size_between|Dimensioni Compagnia: %d - %d
ui_merchant|Mercante
ui_return|Ritorna
ui_no_cost|Nessun costo
ui_rename|Rinomina
ui_use|Usa
ui_destroy|Distruggi
ui_destructible_target|Bersaglio distruttibile
ui_tutorial_inventory|Questa è la schermata di commercio. Tieni premuto il tasto CTRL mentre clicchi con il mouse su un oggetto per venderlo o acquistarlo velocemente.
ui_head_armor|Armatura della Testa: %d
ui_body_armor|Armatura del Corpo: %d
ui_leg_armor|Armatura delle Gambe: %d
ui_encumbrance|Ingombro: %2.1f
ui_you_dont_have_value|Non hai %s.
ui_merchant_cant_afford_value|%s: Non posso permettermi %s. Ho solo %s.
ui_merchant_pay_whatever|Va bene, dammi quello che puoi.
ui_merchant_think_of_something_else|Hmm. Fammi pensare a qualcos'altro.
ui_dumping_value_items|%d oggetti saranno perduti per sempre, sei sicuro?
ui_dumping_value_item|Un oggetto sarà perduto per sempre, sei sicuro?
ui_question_slaughter_food_and_eat|Macellare %s e mangiarlo?
ui_money_value|Soldi: %s
ui_dump|Scarta
ui_outfit|Vesti
ui_arms|Armi
ui_horse|Cavallo
ui_food|Cibo
ui_reclaim_your_sold_goods|Reclama gli oggetti venduti prima di comprarlo!
ui_return_your_bought_goods|Riconsegna gli oggetti comprati prima di venderlo!
ui_polearm_no_shield|Arma con Asta (Senza Scudo)
ui_polearm|Arma con Asta
ui_two_handed|Due Mani
ui_two_handed_one_handed|Due Mani/Una Mano
ui_one_handed|Una Mano
ui_return_price|Prezzo di Ritorno: %d
ui_sell_price|Prezzo di Vendita: %d
ui_reclaim_price|Prezzo di Recupero: %d
ui_buying_price|Prezzo di Acquisto: %d
ui_default_item|Articolo Predefinito
ui_buying_price_free|Prezzo d'acquisto: Gratis
ui_weight|Peso: %2.1f
ui_plus_value_to_head_armor|+%d alla Testa
ui_plus_value_to_body_armor|+%d al Corpo
ui_plus_value_to_leg_armor|+%d alle Gambe
ui_swing|Colpo: %d%s
ui_damage|Danno: %d%s
ui_thrust|Affondo: %d%s
ui_accuracy|Precisione: %d
ui_speed_rating|Velocità : %d
ui_value_to_damage|%c%d al danno
ui_value_to_morale|+%1.1f al morale delle truppe
ui_resistance|Resistenza: %d
ui_size|Dimensione: %d
ui_weapon_reach|Portata Arma: %d
ui_armor|Armatura: %d
ui_speed|Velocità : %d
ui_maneuver|Manovra: %d
ui_charge|Carica: %d
ui_hit_points|Punti Ferita: %d/%d
ui_requires_value_difficulty|Richiede %s: %d
ui_bonus_against_shields|Bonus contro gli scudi
ui_cant_be_used_to_block|Impossibile usare per parare
ui_troop_cant_use_item|%s: Non posso usarlo!
ui_notification_riding_skill_not_enough|La tua abilità Cavalcare non è sufficiente per usare questo cavallo.
ui_notification_requirements_not_met|Non le abilità o gli attributi necessari per usare quest'arma.
ui_notification_payment_value|Devi pagare %s.
ui_notification_payment_receive_value|Riceverai %s.
ui_one_handed_weapons|Armi a Una Mano
ui_two_handed_weapons|Armi a Due Mani
ui_polearms|Armi con Asta
ui_archery|Tiro con l'Arco
ui_crossbows|Balestre
ui_throwing|Armi da Lancio
ui_firearms|Fionde
ui_reset|Ripristina
ui_release_one|Rilasciane uno
ui_move_up|Muovi in Su
ui_move_down|Muovi in Giù
ui_upgrade_one|Promuovi
ui_party_skills|Abilità Compagnia
ui_morale|Morale: %s
ui_terrible|Terribile
ui_very_low|Molto Basso
ui_low|Basso
ui_below_average|Sotto la media
ui_average|Normale
ui_above_average|Sopra la media
ui_high|Alto
ui_very_high|Molto Alto
ui_excellent|Eccellente
ui_starving|Affamato! %d%%
ui_weekly_cost_value|Costo Settimanale: %s
ui_company|Compagnia: %d / %d
ui_prisoners_equal_value|Prigionieri: %d / %d
ui_choose_prisoners|Scegli Prigionieri
ui_choose_companions|Scegli Compagni
ui_rescued_prisoners|Prigionieri Liberati
ui_captured_enemies|Nemici Catturati
ui_disband|Congeda
ui_take_prisoner|Prendi Prigioniero
ui_take_back|Riprendi
ui_give|Dai
ui_take|Prendi
ui_sell|Vendi
ui_hire|Recluta
ui_notification_cant_hire|(Impossibile reclutare: Soldi insufficienti!)
ui_uncapture|Rilascia
ui_capture|Cattura
ui_party_capcity_reached|(Limite truppe raggiunto)
ui_all| tutti
ui_joining_cost_weekly_wage|Costo reclute: %d, Salario settimanale: %d
ui_weekly_wage|Stipendio settimanale: %d peningas
ui_price|Prezzo: %d
ui_number_ready_to_upgrade|%d pronti alla promozione.
ui_upgrade_to_value| Migliora a %s (%dp)
ui_notification_no_slot_for_upgrade|Nessuno spazio per promuovere a %s!
ui_shield_broken|Scudo rotto
ui_shield_cracked|Scudo incrinato
ui_shield_deformed|Scudo rotto
ui_you_hit_a_friendly_troop|Hai colpito un alleato!
ui_hit_shield_on_back|Colpito lo scudo sulla schiena!
ui_delivered_couched_lance_damage|Inflitto danno da lancia in resta!
ui_received_couched_lance_damage|Ricevuto danno da lancia in resta!
ui_speed_bonus_plus|Bonus velocità : +%d%%
ui_speed_bonus|Bonus velocità : %d%%
ui_cant_reload_this_weapon_on_horseback|Non puoi ricaricare quest'arma a cavallo.
ui_no_more_bolts|Non hai più proiettili...
ui_you_are_not_carrying_any_bolts|Non hai con te nessun proiettile.
ui_no_more_arrows|Non hai più frecce...
ui_you_are_not_carrying_any_arrows|Non hai con te nessuna freccia!
ui_head_shot|Colpo alla Testa!
ui_delivered_number_damage|Inflitti %d danni.
ui_delivered_number_damage_to_horse|Inflitti %d danni al cavallo.
ui_horse_charged_for_number_damage|Danno da carica: %d danni.
ui_received_number_damage|Ricevuti %d danni.
ui_horse_received_number_damage|Il cavallo ha ricevuto %d danni.
ui_value_killed_teammate|%s ha ucciso un alleato!
ui_horse_fell_dead|Il Cavallo è morto...
ui_horse_crippled|Cavallo azzoppato...
ui_shot_difficulty|Difficoltà del tiro: %2.1f
ui_you_have_improved_your_proficiency_in_value_to_number|La tua competenza in %s è aumentata a %d.
ui_your_proficiency_in_value_has_improved_by_number_to_number|La tua competenza in %s è aumentata di +%d fino a %d.
ui_value_killed_by_value|%s ucciso da %s.
ui_value_fell_dead|%s cade morto.
ui_value_knocked_unconscious_by_value|%s stordito da %s.
ui_value_fell_unconscious|%s cade stordito.
ui_troop_routed|%s è in fuga.
ui_troop_panicked|%s è terrorizzato.
ui_troop_fled|%s è fuggito dalla battaglia.
ui_you_got_number_experience|Hai ottenuto %d punti esperienza.
ui_you_have_advanced_to_level_number|Hai raggiunto il livello %d.
ui_value_has_advanced_to_level_number|%s è avanzato al livello %d.
ui_you_got_value|Hai preso %s.
ui_new_quest_taken|Nuova missione ottenuta: %s.
ui_quest_completed_value| Missione completata: %s.
ui_quest_succeeded_value| Missione completata: %s.
ui_quest_failed_value| Missione fallita: %s.
ui_quest_concluded_value| Missione conclusa: %s.
ui_quest_cancelled_value| Missione cancellata: %s.
ui_lost_value| (Perso: %s)
ui_items_lost| (Oggetto perso:
ui_party_has_nothing_to_eat|La Compagnia non ha niente da mangiare!
ui_days_training_is_complete| Addestramento giornaliero concluso...
ui_total_experience_gained_through_training_number| Esperienza acquisita dall'addestramento: %d
ui_some_soldiers_are_ready_to_upgrade| Alcuni soldati sono pronti per la promozione.
ui_number_of_companions_exceeds_leadership_limit| Il numero di compagni supera il tuo Comando.
ui_number_of_prisoners_exceeds_prisoner_management_limit|Il numero di prigionieri supera la tua abilità Gestione Prigionieri.
ui_party_morale_is_low| Il morale delle truppe è basso!
ui_and_one_space| e 
ui_has_deserted_the_party| ha abbandonato la Compagnia.
ui_have_deserted_the_party| hanno abbandonato la Compagnia.
ui_weekly_report| Rapporto settimanale
ui_shared_number_experience_within_party| Condivisi %d punti esperienza con le truppe.
ui_got_item_value| Preso oggetto: %s.
ui_game_saved_successfully|Partita salvata con successo.
ui_autosaving|Salvataggio Automatico...
ui_quick_saving|Salvataggio Veloce...
ui_cant_quick_save|Non puoi fare un Salvataggio Veloce durante la battaglia...
ui_screenshot_taken_to_value|Screenshot salvato in %s
ui_screenshot_failed|Non puoi salvare lo screenshoot.
ui_value_joined_your_party|%s si è unito alla compagnia.
ui_value_joined_party_as_prisoner|%s è diventato tuo prigioniero.
ui_value_has_joined_party|%s si è unito alla compagnia.
ui_value_has_been_taken_prisoner|%s è stato preso prigioniero.
ui_value_left_the_party|%s ha lasciato la compagnia.
ui_number_values_left_the_party|%d %s(i) lasciano la compagnia.
ui_number_value_left_the_party|%d %s lascia la compagnia.
ui_your_relations_with_value_has_improved_from_number_to_number|La tua relazione con %s è migliorata da %d a %d.
ui_your_relations_with_value_has_deteriorated_from_number_to_number|La tua relazione con %s è peggiorata da %d a %d.
ui_you_lost_value|Hai perso %s.
ui_lost_item_value|Oggetto perso: %s.
ui_got_number_value|Preso %d %s.
ui_lost_number_value|Perso %d %s.
ui_set_default_keys|Controlli predefiniti
ui_undo_changes|Annulla modifiche
ui_press_a_key|Premi un tasto
ui_return_to_game|Ritorna al gioco
ui_options|Opzioni
ui_save_and_exit|Salva & Esci
ui_save|Salva
ui_save_as|Salva come
ui_quit_without_saving|Esci senza salvare
ui_empty_slot|Spazio vuoto
ui_game_saved|Partita salvata...
ui_confirm_overwrite|Il salvataggio %s verrà sovrascritto. Sei sicuro?
ui_dynamic_lighting|Luci dinamiche
ui_character_shadows|Ombre personaggio
ui_grass_density|Densità erba:
ui_environment_shadows|Ombre ambiente
ui_realistic_shadows_on_plants|Ombre realistiche sulle piante:
ui_particle_systems|Sistema particellare
ui_gamma|Livello Gamma:
ui_character_detail|Dettaglio personaggio:
ui_character_shadow_detail|Dettagli ombra personaggio:
ui_blood_stains|Macchie di sangue:
ui_on|On
ui_off|Off
ui_near_player_only|Solo vicino al personaggio
ui_default|Predefinito
ui_3d_grass|Erba 3D:
ui_number_of_ragdolls|Numero di ragdolls:
ui_number_of_corpses|Numero di cadaveri:
ui_unlimited|Infiniti
ui_anisotropic_filtering|Filtro anisotropico
ui_fast_water_reflection|Riflessi acqua veloci
ui_maximum_framerate|Frame-rate massimo:
ui_show_framerate|Mostra frame-rate:
ui_estimated_performance|Prestazioni Stimate: %d%%
ui_change_graphics_settings_explanation|Alcuni cambiamenti saranno effettivi quando entrerai in una nuova area.
ui_start_tutorial|Gioca il Tutorial
ui_start_a_new_game|Inizia una Nuova Partita
ui_restore_a_saved_game|Carica Partita
ui_exit_to_windows|Esci
ui_credits|Crediti
ui_version_value|v%s
ui_active_quests|Missioni attive
ui_finished_quests|Missioni Completate
ui_given_on_date|Data il: %s
ui_days_since_given|Giorni decorsi: %d
ui_quest_progression_number|Progresso missione: %d%%
ui_too_many_quests|Troppe missioni
ui_ok|OK
ui_move_forward|Avanti
ui_move_backward|Indietro
ui_move_left|Sinistra
ui_move_right|Destra
ui_action|Azione
ui_jump|Salta
ui_attack|Attacca
ui_parry_then_attack|Contrattacca
ui_defend|Difendi
ui_kick|Calcia
ui_equip_weapon_1|Sel. oggetto 1
ui_equip_weapon_2|Sel. oggetto 2
ui_equip_weapon_3|Sel. oggetto 3
ui_equip_weapon_4|Sel. oggetto 4
ui_equip_next_weapon|Equip. arma succ.
ui_equip_next_shield|Equip. scudo succ.
ui_sheath_weapon|Rinfodera arma
ui_character_window|Finestra personaggio
ui_inventory_window|Finestra inventario
ui_party_window|Finestra Compagnia
ui_quests_window|Finestra missioni
ui_game_log_window|Finestra diario
ui_leave_location_retreat|Lascia Luogo/Ritirati
ui_zoom|Zoom
ui_view_outfit|Vedi Vestiario
ui_toggle_first_person_view|Cambia in prima persona
ui_view_orders|Vedi Ordini
ui_quick_save|Salvataggio veloce
ui_no_key_assigned|Nessun tasto assegnato
ui_new_enemies_have_arrived|Sono arrivati nuovi nemici.
ui_reinforcements_have_arrived|I rinforzi sono arrivati.
ui_report_casualties|Riporta perdite
ui_report_experience|Riporta esperienza
ui_current_level_value|Livello corrente: %d
ui_base_attribute_value|Attributi base: %s
ui_battle_controls|Controlli di battaglia
ui_map_controls|Controlli mappa
ui_general_controls|Controlli generali
ui_zoom_in|Zoom avanti
ui_zoom_out|Zoom indietro
ui_wait|Aspetta
ui_take_screenshot|Fai uno screenshoot
ui_randomize|Rendi casuale
ui_hint|Conoscenza
ui_press_left_mouse_button_to_continue|Premi il tasto sinistro del mouse per continuare...
ui_loot|Bottino
ui_chest|Scrigno
ui_cut_short|T
ui_pierce_short|P
ui_blunt_short|B
ui_battle|Battaglia
ui_siege|Assedio
ui_troops|Truppe:
ui_loading_module_info_file|Caricamento file Module Info...
ui_processing_ini_file|Elaborazione file INI...
ui_loading_music|Caricamento Musica...
ui_loading_data|Caricamento Dati...
ui_loading_setting_data|Caricamento Dati Impostazioni...
ui_loading_textures|Caricamento Textures...
ui_finished|Completato.
ui_creating_game|Creazione partita...
ui_loading_savegame_file|Caricamento File Salvataggio...
ui_loading_map_file|Caricamento File Mappa...
ui_initializing_map|Inizializzazione Mappa...
ui_launching_game|Avvio del Gioco...
ui_capital_battle|BATTAGLIA:
ui_capital_versus|--CONTRO--
ui_tracks|Tracce
ui_battleground|Campo di battaglia
ui_order_1|Scelta Ordine 1
ui_order_2|Scelta Ordine 2
ui_order_3|Scelta Ordine 3
ui_order_4|Scelta Ordine 4
ui_order_5|Scelta Ordine 5
ui_order_6|Scelta Ordine 6
ui_order_button_hold_this_position|Tenete questa posizione
ui_order_button_follow_me|Seguitemi
ui_order_button_charge|Carica!
ui_order_button_stand_ground|Restare a terra
ui_order_button_retreat|Ritirata
ui_order_button_advance|Avanzare di dieci passi
ui_order_button_fall_back|Indietreggiare di dieci passi
ui_order_button_spread_out|Distanziatevi
ui_order_button_stand_closer|Restare vicini
ui_order_button_mount_horses|Montare a cavallo
ui_order_button_dismount|Smontate!
ui_order_button_hold_fire|Smettere di tirare
ui_order_button_fire_at_will|Tirare a volontà
ui_order_button_use_blunt_weapons|Usare solo armi contundenti
ui_order_button_use_any_weapon|Usare qualsiasi arma
ui_order_button_movement_orders|Ordini di movimento
ui_order_button_formation_orders|Ordini di formazione
ui_order_button_fire_orders|Ordini di tiro
ui_follow_me_e_|%s, seguitemi!
ui_charge_e_|%s, carica!!!
ui_stand_ground_e_|%s, restate a terra!
ui_retreat_e_|%s, ritirata!
ui_mount_horses_e_|%s, montate a cavallo!
ui_dismount_e_|%s, smontate!
ui_advance_e_|%s, avanzate di dieci passi!
ui_fall_back_e_|%s, ripiegate di dieci passi!
ui_stand_closer_e_|%s, serrate i ranghi!
ui_spread_out_e_|%s, distanziatevi!
ui_use_blunt_weapons_e_|%s, usate solo armi contundenti!
ui_use_any_weapon_e_|%s, usate armi qualsiasi!
ui_hold_fire_e_|%s, smettete di tirare!
ui_fire_at_will_e_|%s, tirate a volontà!
ui_hold_this_position_e_|%s, tenete questa posizione!
ui_infantry|Fanteria
ui_archers|Arcieri
ui_cavalry|Cavalleria
ui_companions|Compagni
ui_everyone_hear_me|Tutti quanti, ascoltatemi!
ui_everyone|Tutti quanti
ui_everyone_around_me|Soldati vicini
ui_str_hear_me|%s, ascoltatemi!
ui_str_and_str|%s e %s
ui_str_comma_str|%s, %s
ui_need_to_learn_prisoner_management|Il numero dei prigionieri è determinato dalla grandezza del tuo esercito.
ui_game_log|Registro di Gioco
ui_recent_messages|Messaggi recenti
ui_custom_battle|Battaglia Personalizzata
ui_player|Giocatore
ui_value_denars|%d peningas
ui_back|Indietro
ui_forward|Avanti
ui_display_on_map|Mostra sulla mappa
ui_info_pages|Concetti del gioco
ui_troops2|Personaggi
ui_locations|Luoghi
ui_click_button_to_view_note|Clicca su un collegamento per vedere le note
ui_this_page_contains_no_information|Questa pagina non contiene informazioni
ui_other_pages_that_link_here|Altre pagine che conducono qui: 
ui_report_is_value_days_old| (Rapporto vecchio di %d giorni)
ui_report_is_current| (Rapporto corrente)
ui_button_party_member_healthy_total|%s (%d/%d)
ui_button_party_member_total|%s (%d)
ui_button_party_member_hero_percentage_wounded|%s (%d%% - Ferito)
ui_button_party_member_hero_percentage|%s (%d%%)
ui_percentage_value|%d%%
ui_full|Pieno
ui_quick|Veloce
ui_none|Nessuno
ui_change|Cambia
ui_how_to_change|Come vuoi cambiarlo?
ui_change_directx_explanation|Puoi cambiare il metodo di renderizzazione tra DirectX 7 e DirectX 9 cliccando sul pulsante Configura nel menu principale che appare quando avvii per la prima volta gioco.
ui_dropping_picking_up|Lasciato %s Preso %s.
ui_dropping|Lasciato %s.
ui_picking_up|Preso %s.
ui_unable_to_take|Impossibile prenderlo.
ui_age|Anni
ui_cannot_be_used_on_horseback|Impossibile da usare a cavallo
ui_enable_vertex_shaders2|Metodo render:
ui_screen_size2|Risoluzione schermo:
ui_use_desktop_resolution2|Usa la risoluzione del desktop
ui_shadow_quality2|Qualità delle ombre:
ui_m_low2|Basso
ui_m_high2|Alto
ui_m_ultra_high2|Molto alto
ui_off2|Off
ui_group_header|Tipo di soldato
ui_group_rename|Rinomina gruppo
ui_group_1|Fanteria
ui_group_2|Arcieri
ui_group_3|Cavalleria
ui_group_4|Lancieri
ui_group_5|Schermagliatori
ui_group_6|Arcieri a cavallo
ui_group_7|Senza Nome 1
ui_group_8|Senza Nome 2
ui_group_9|Senza Nome 3
ui_group_rename|Rinomina gruppo
ui_group_close|Chiudi
ui_party_b_group_information|%s appartiene ora al gruppo %s
ui_thrown_or_s|Arma da lancio/%s
ui_ranged_damage|Danno da lancio: %d%s
ui_overall_quality|Qualità Generale
ui_shader_quality|Qualità Shader:
ui_flora_lod_detail|Dettagli Alberi:
ui_flora_degrade_distance|Distanza degrado vegetazione:
ui_antialiasing|AntiAliasing:
ui_use_depth_effects|Usa effetti di profondità
